hashtag,user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
alcoholtok,realtipsybartender,17753639,7.05E+18,So delicious! 😋 #tipsybartender #cocktails #drinks #shots #fireball #candyapple #alcoholtok,10-01-2022 14:46,45,https://www.tiktok.com/@realtipsybartender/video/7051712497962781998?lang=en,3700000,26700,8039,50100000
drunk,childishmau,6.80E+18,7.01E+18,Lightweights 😆😆😆#fyp #drunk #comedy #fypシ,03-10-2021 12:08,11,https://www.tiktok.com/@childishmau/video/7014918884851600645?lang=en,10100000,513300,148700,48800000
drunk,torrishelton,6.79E+18,6.97E+18,Alcohol pops 🤪 #mixeddrinks #popsicles #drunk #alcohol #memorialdayweekend #HoldMyMilk #InTheHeightsChallenge,30-05-2021 10:42,12,https://www.tiktok.com/@torrishelton/video/6968140029403122950?lang=en,3900000,75000,37900,32500000
alcoholtok,realtipsybartender,17753639,7.05E+18,You gotta see what happens when I drop it… #tipsybartender #cocktails #drinks #shots #alcoholtok,05-01-2022 18:49,38,https://www.tiktok.com/@realtipsybartender/video/7049919722183363886?lang=en,2300000,19600,6495,29600000
drunk,danielamazz,6.81E+18,6.90E+18,#drunk 💕@vz_ccme,27-11-2020 19:31,59,https://www.tiktok.com/@danielamazz/video/6900012143605812482?lang=en,3300000,54900,15000,29300000
drunk,marissam011,6.63E+18,6.87E+18,Alcohol may have been involved😏 #lasVegas #drunk #fremontstreetexperience #cake #xyzbca #TimeforTENET ￼#precovid ￼#dontbanme #barstoolsports,29-08-2020 19:48,10,https://www.tiktok.com/@marissam011/video/6866603549372026117?lang=en,1700000,53500,20400,28500000
alcoholtok,realtipsybartender,17753639,7.04E+18,This sparkling winter mimosa is perfect for the holidays! #tipsybartender #christmas #drinks #alcoholtok #mimosa,12-12-2021 19:26,53,https://www.tiktok.com/@realtipsybartender/video/7041023203984067845?lang=en,2400000,56900,10700,27300000
drunkaf,damoldmillennial,6.74E+18,6.93E+18,#stitch with @theemyricaljanee Who am I?! #greysanatomy #doctor #gaypride #drunkaf #whatwasithinking #oof #emergency,01-03-2021 13:35,58,https://www.tiktok.com/@damoldmillennial/video/6934802398498065669?lang=en,6300000,83000,32300,25400000
drunk,godfather_of_memes,6.82E+18,7.01E+18,#memes #fy #fypシ #drunk #discordmemes #amongus #trending,14-09-2021 17:27,10,https://www.tiktok.com/@godfather_of_memes/video/7007950505787788550?lang=en,2900000,101200,19500,25400000
drunk,michelleamin0,6.81E+18,6.84E+18,Here you go part 2. It wasn’t that bad lol 😂😂😂 #NO#HES#NOT#drunk LOL,23-06-2020 06:43,10,https://www.tiktok.com/@michelleamin0/video/6841538417180953861?lang=en,765200,9263,0,25200000
drunk,maddy_macrae_,6.81E+18,7.06E+18,Uh oh #drinking #drunk #comedy #sketch #acting #aussie #australia #pov #millennial #girlthings #hangover #relatable #tequila #espressomartini,03-02-2022 00:35,36,https://www.tiktok.com/@maddy_macrae_/video/7060399415789440257?lang=en,3400000,141700,12200,20900000
drunk,taylamcgrath8,6.80E+18,7.02E+18,Wait for it😂😂 #hsm #drunk,10-10-2021 02:10,8,https://www.tiktok.com/@taylamcgrath8/video/7017362420611943686?lang=en,4200000,273900,86400,20300000
drunk,maddy_macrae_,6.81E+18,7.13E+18,Here comes trouble #comedy #sketch #skit #funny #relatable #drinking #drunk #hungover #tequila #tequilashots #aussie #australia ,11-08-2022 03:47,64,https://www.tiktok.com/@maddy_macrae_/video/7130568391802309890?lang=en,4100000,104400,12000,20100000
drunk,_emve25_,6.77E+18,7.07E+18,The girl in the white was the real mvp for taking care of her girl because damn! Her girl was trynna fight everyone! #badbunnyconcert #badbunnychicago #badbunny #fyp #drunk #chicago #concert,11-03-2022 19:04,10,https://www.tiktok.com/@_emve25_/video/7074044316510915886?lang=en,661300,3025,2264,19000000
drunk,loganjed,6.90E+18,7.09E+18,Head felt that one 🤕 #drunk #alcohol #funny,20-04-2022 12:25,5,https://www.tiktok.com/@loganjed/video/7088769385074003205?lang=en,4500000,75900,60600,18600000
drunk,kiarrastorm,6.84E+18,7.06E+18,Oh god 😂 #bullriding #goingout #drunk,06-02-2022 09:23,74,https://www.tiktok.com/@kiarrastorm/video/7061648812091165998?lang=en,747000,13100,8775,17400000
drunk,itamadness,6.82E+18,6.97E+18,#fyp #foryou #fy #foryoupage #crazy #vibez #vibe #drink #liquid #danger #party #horny #fun #time #summer #drunk #alcohol #fact #nocap #goodtime,14-06-2021 08:11,10,https://www.tiktok.com/@itamadness/video/6973667376466365702?lang=en,2200000,91800,41300,17200000
drunk,papiinca,6.66E+18,6.91E+18,:/ #fyp #foryou #foru #drunk,15-12-2020 23:55,9,https://www.tiktok.com/@papiinca/video/6906759246235356422?lang=en,2900000,92500,40200,16700000
drunk,stephvecc,6.77E+18,6.84E+18,BIRTHDAY JUNGLE JUICE #foryourpage #fyp #drinks #drunk #summer #party #birthday #alcohol #drunkinthehouse,27-06-2020 13:11,15,https://www.tiktok.com/@stephvecc/video/6843122831182662917?lang=en,721100,87800,8122,16600000
drunk,samueljcomroe,6.94E+18,7.12E+18,Come see me perform live! Tour dates and tickets at samueljcomroe.com #funny #comedy #joke #agt #americasgottalent #party #dance #rap #hiphop #beatbox #boots #cats #tutorial #comroe #lol #drunk #drink,07-07-2022 05:52,57,https://www.tiktok.com/@samueljcomroe/video/7117612710627659054?lang=en,2300000,28900,4072,16000000
