video_id,video_timestamp,video_length,video_title,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_fn,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount
7051712497962781998,2022-01-10T14:46:01,45,So delicious! 😋 #tipsybartender #cocktails #drinks #shots #fireball #candyapple #alcoholtok,US,3700000,26700,8045,50100000,So delicious! 😋 #tipsybartender #cocktails #drinks #shots #fireball #candyapple #alcoholtok,False,realtipsybartender_video_7051712497962781998.mp4,realtipsybartender,tipsybartender,7300000,124,94400000,519,424
7014918884851600645,2021-10-03T12:08:00,11,Lightweights 😆😆😆#fyp #drunk #comedy #fypシ,US,10100000,513300,148700,48800000,Lightweights 😆😆😆#fyp #drunk #comedy #fypシ,False,childishmau_video_7014918884851600645.mp4,childishmau,CHILDISH MAU,146400,59,10200000,19,188
6968140029403122950,2021-05-30T10:42:11,12,Alcohol pops 🤪 #mixeddrinks #popsicles #drunk #alcohol #memorialdayweekend #HoldMyMilk #InTheHeightsChallenge,US,3900000,75000,37900,32500000,Alcohol pops 🤪 #mixeddrinks #popsicles #drunk #alcohol #memorialdayweekend #HoldMyMilk #InTheHeightsChallenge,False,torrishelton_video_6968140029403122950.mp4,torrishelton,Torri Lou,107300,651,4700000,55,19500
7049919722183363886,2022-01-05T18:49:07,38,You gotta see what happens when I drop it… #tipsybartender #cocktails #drinks #shots #alcoholtok,US,2300000,19600,6494,29600000,You gotta see what happens when I drop it… #tipsybartender #cocktails #drinks #shots #alcoholtok,False,realtipsybartender_video_7049919722183363886.mp4,realtipsybartender,tipsybartender,7300000,124,94400000,519,424
6900012143605812482,2020-11-27T19:31:12,59,#drunk 💕@vz_ccme,EC,3300000,54900,14900,29300000,#drunk 💕@vz_ccme,False,danielamazz_video_6900012143605812482.mp4,danielamazz,Daniela Mazzini,56400,104,3500000,6,1098
6866603549372026117,2020-08-29T19:48:55,10,Alcohol may have been involved😏 #lasVegas #drunk #fremontstreetexperience #cake #xyzbca #TimeforTENET ￼#precovid ￼#dontbanme #barstoolsports,US,1700000,53500,20400,28500000,Alcohol may have been involved😏 #lasVegas #drunk #fremontstreetexperience #cake #xyzbca #TimeforTENET ￼#precovid ￼#dontbanme #barstoolsports,False,marissam011_video_6866603549372026117.mp4,marissam011,Mars,52000,311,1700000,15,7128
7041023203984067845,2021-12-12T19:26:07,53,This sparkling winter mimosa is perfect for the holidays! #tipsybartender #christmas #drinks #alcoholtok #mimosa,US,2400000,56900,10700,27300000,This sparkling winter mimosa is perfect for the holidays! #tipsybartender #christmas #drinks #alcoholtok #mimosa,False,realtipsybartender_video_7041023203984067845.mp4,realtipsybartender,tipsybartender,7300000,124,94400000,519,424
6934802398498065669,2021-03-01T13:35:19,58,#stitch with @theemyricaljanee Who am I?! #greysanatomy #doctor #gaypride #drunkaf #whatwasithinking #oof #emergency,NL,6300000,83000,32300,25400000,#stitch with @theemyricaljanee Who am I?! #greysanatomy #doctor #gaypride #drunkaf #whatwasithinking #oof #emergency,False,damoldmillennial_video_6934802398498065669.mp4,damoldmillennial,Christiana,121200,754,9100000,278,64500
7007950505787788550,2021-09-14T17:27:08,10,#memes #fy #fypシ #drunk #discordmemes #amongus #trending,GB,2900000,101200,19500,25400000,#memes #fy #fypシ #drunk #discordmemes #amongus #trending,False,godfather_of_memes_video_7007950505787788550.mp4,godfather_of_memes,Godfather of memes,34500,10,3700000,161,4530
6841538417180953861,2020-06-23T06:43:16,10,Here you go part 2. It wasn’t that bad lol 😂😂😂 #NO#HES#NOT#drunk LOL,US,765200,9263,0,25200000,Here you go part 2. It wasn’t that bad lol 😂😂😂 #NO#HES#NOT#drunk LOL,False,michelleamin0_video_6841538417180953861.mp4,michelleamin0,Michelle Amin,359200,313,1600000,96,6480
7060399415789440257,2022-02-03T00:35:41,36,Uh oh #drinking #drunk #comedy #sketch #acting #aussie #australia #pov #millennial #girlthings #hangover #relatable #tequila #espressomartini,AU,3400000,141700,12200,20900000,Uh oh #drinking #drunk #comedy #sketch #acting #aussie #australia #pov #millennial #girlthings #hangover #relatable #tequila #espressomartini,False,maddy_macrae__video_7060399415789440257.mp4,maddy_macrae_,Maddy,1000000,219,35500000,238,1121
7017362420611943686,2021-10-10T02:10:11,8,Wait for it😂😂 #hsm #drunk,GB,4200000,273900,86400,20300000,Wait for it😂😂 #hsm #drunk,False,taylamcgrath8_video_7017362420611943686.mp4,taylamcgrath8,Tayla McGrath,18200,19,4300000,51,15400
7130568391802309890,2022-08-11T03:47:13,64,Here comes trouble #comedy #sketch #skit #funny #relatable #drinking #drunk #hungover #tequila #tequilashots #aussie #australia ,AU,4200000,106000,12100,20400000,Here comes trouble #comedy #sketch #skit #funny #relatable #drinking #drunk #hungover #tequila #tequilashots #aussie #australia ,False,maddy_macrae__video_7130568391802309890.mp4,maddy_macrae_,Maddy,1000000,219,35500000,238,1121
7074044316510915886,2022-03-11T19:04:53,10,The girl in the white was the real mvp for taking care of her girl because damn! Her girl was trynna fight everyone! #badbunnyconcert #badbunnychicago #badbunny #fyp #drunk #chicago #concert,US,661400,3025,2263,19000000,The girl in the white was the real mvp for taking care of her girl because damn! Her girl was trynna fight everyone! #badbunnyconcert #badbunnychicago #badbunny #fyp #drunk #chicago #concert,False,_emve25__video_7074044316510915886.mp4,_emve25_,Evelyn💋,21400,297,690700,9,22200
7088769385074003205,2022-04-20T12:25:39,5,Head felt that one 🤕 #drunk #alcohol #funny,GB,4500000,75900,60600,18600000,Head felt that one 🤕 #drunk #alcohol #funny,False,loganjed_video_7088769385074003205.mp4,loganjed,Logan Jed,18800,75,5200000,14,23200
7061648812091165998,2022-02-06T09:23:59,74,Oh god 😂 #bullriding #goingout #drunk,US,747100,13100,8770,17400000,Oh god 😂 #bullriding #goingout #drunk,False,kiarrastorm_video_7061648812091165998.mp4,kiarrastorm,kiarrastorm,242200,349,1300000,249,2451
6973667376466365702,2021-06-14T08:11:08,10,#fyp #foryou #fy #foryoupage #crazy #vibez #vibe #drink #liquid #danger #party #horny #fun #time #summer #drunk #alcohol #fact #nocap #goodtime,GB,2200000,91800,41300,17200000,#fyp #foryou #fy #foryoupage #crazy #vibez #vibe #drink #liquid #danger #party #horny #fun #time #summer #drunk #alcohol #fact #nocap #goodtime,False,itamadness_video_6973667376466365702.mp4,itamadness,Itsamadness,40400,401,4900000,70,23700
6906759246235356422,2020-12-15T23:55:10,9,:/ #fyp #foryou #foru #drunk,US,2900000,92500,40200,16700000,:/ #fyp #foryou #foru #drunk,False,papiinca_video_6906759246235356422.mp4,papiinca,PapiInca,80000,18,3400000,79,37800
6843122831182662917,2020-06-27T13:11:36,15,BIRTHDAY JUNGLE JUICE #foryourpage #fyp #drinks #drunk #summer #party #birthday #alcohol #drunkinthehouse,CA,721100,87800,8120,16600000,BIRTHDAY JUNGLE JUICE #foryourpage #fyp #drinks #drunk #summer #party #birthday #alcohol #drunkinthehouse,False,stephvecc_video_6843122831182662917.mp4,stephvecc,s t e p h,69800,147,969600,25,14100
7117612710627659054,2022-07-07T05:52:41,57,Come see me perform live! Tour dates and tickets at samueljcomroe.com #funny #comedy #joke #agt #americasgottalent #party #dance #rap #hiphop #beatbox #boots #cats #tutorial #comroe #lol #drunk #drink,US,2300000,29000,4073,16000000,Come see me perform live! Tour dates and tickets at samueljcomroe.com #funny #comedy #joke #agt #americasgottalent #party #dance #rap #hiphop #beatbox #boots #cats #tutorial #comroe #lol #drunk #drink,False,samueljcomroe_video_7117612710627659054.mp4,samueljcomroe,Samuel J Comroe,302100,5,4900000,293,22
