user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
loganjed,6903838348512560129,7088769385074003205,Head felt that one 🤕 #drunk #alcohol #funny,2022-04-20 12:25:39,5,https://www.tiktok.com/@loganjed/video/7088769385074003205?lang=en,4500000,75900,60600,18600000
michellebellexo,6811580033246233605,6949296457081965829,This is 1 of my go to cocktails when someone asks me to make them something #alcohol#vodkadrink#fruitydrink#bartender#customersbelike,2021-04-09 15:59:30,40,https://www.tiktok.com/@michellebellexo/video/6949296457081965829?lang=en,4200000,126500,11300,25900000
torrishelton,6785922246978503685,6968140029403122950,Alcohol pops 🤪 #mixeddrinks #popsicles #drunk #alcohol #memorialdayweekend #HoldMyMilk #InTheHeightsChallenge,2021-05-30 10:42:11,12,https://www.tiktok.com/@torrishelton/video/6968140029403122950?lang=en,3900000,75000,37900,32500000
chaelvato,6953553346351367174,7082510058260548869,Como meter alcohol a un festival #festival #concierto #ceremonia #alcohol #smirnoff #alcoholismo,2022-04-03 15:36:16,18,https://www.tiktok.com/@chaelvato/video/7082510058260548869?lang=en,3400000,101100,27500,37800000
chrisconnerz,7027901489125622790,7057995884587486511,Mothers Milk being canned is so satisfying 🤩 #brewery #brewing #brew #beer #alcohol #alcoholic #engineering #satisfying #can #machine #mothersmilk,2022-01-27 13:08:45,14,https://www.tiktok.com/@chrisconnerz/video/7057995884587486511?lang=en,3200000,29600,8151,124200000
officialdedeuk,6810547223354770437,7028294838390951173,Say Hello to the African Water Man💦 once again #dedeuk #fyp #cheersmodafuka #alcohol,2021-11-08 12:13:32,22,https://www.tiktok.com/@officialdedeuk/video/7028294838390951173?lang=en,3100000,35300,33400,21500000
thechristianmcgee,6766995175850132486,7062872627571887406,WA BAM💥 #fyp #funny #comedy #explore #alcohol #21,2022-02-09 16:33:00,13,https://www.tiktok.com/@thechristianmcgee/video/7062872627571887406?lang=en,2900000,25900,6431,12600000
griffinatortok,6729368689671767045,7120519467376938245,"Joe, Your Drunk 🍺#fyp #foryou #xyzbca #familyguy #alcohol",2022-07-15 01:52:18,27,https://www.tiktok.com/@griffinatortok/video/7120519467376938245?lang=en,2600000,30100,4426,17500000
michellebellexo,6811580033246233605,6961130877187296517,"I’m shocked at how many ppl don’t know this, but I’m always willing to try to fix any drink 🥰#bartender#alcohol#singleshot#tallglass#orderingdrinks",2021-05-11 13:23:06,30,https://www.tiktok.com/@michellebellexo/video/6961130877187296517?lang=en,2400000,5665,3634,12400000
dolly_broadway,6760792977013441541,6800462349460393222,Bethann your not betty crocker your cookies are horrible #fyp #foryoupage #checkthisout #papertowelchallenge #AfterMyCoffee #alcohol #grandma #drunk,2020-03-04 13:07:10,21,https://www.tiktok.com/@dolly_broadway/video/6800462349460393222?lang=en,2300000,87800,7514,10800000
itamadness,6821544016275489798,6973667376466365702,#fyp #foryou #fy #foryoupage #crazy #vibez #vibe #drink #liquid #danger #party #horny #fun #time #summer #drunk #alcohol #fact #nocap #goodtime,2021-06-14 08:11:08,10,https://www.tiktok.com/@itamadness/video/6973667376466365702?lang=en,2200000,91800,41300,17200000
rattenimschatten,6941731770425426949,6950641321346403589,#fyp #foryou #fypシ #foryoupage #champion #goat #viral #xyzbca #conormcgregor #mcgregor #khabib #ali #ufc #mma #ireland #irish #whiskey #alcohol,2021-04-13 06:58:17,18,https://www.tiktok.com/@rattenimschatten/video/6950641321346403589?lang=en,2200000,17500,22800,18000000
stefach02,6900239577505121286,7113661102092750086,La Cerveza quita el estrés ✨🤣#foryou #viral #fyp #alcohol #sarcasmo #cerveza #frases,2022-06-26 14:18:17,13,https://www.tiktok.com/@stefach02/video/7113661102092750086?lang=en,2200000,252200,7299,33400000
lugen.detodo,6835230006122464262,7091076487545228550,Papi paga #pelicula #peliculasdenetflix #film #filmclips #clips #series #seriesnetflix #netflix #tomholland #zendaya #uncharted #unchartedmovie #bar #barman #cantinero #drink #alcohol #fyp #fypシ #foryou #foryoupage #parati #fyppppppppppppppppppppppp,2022-04-26 17:38:26,53,https://www.tiktok.com/@lugen.detodo/video/7091076487545228550?lang=en,2000000,7642,3970,19200000
jaspardrinks,6926404830748853254,6981810756861971717,Creating the prefect drink for summer ✨#fyp #vodka #alcohol #smallbusiness,2021-07-06 06:51:37,12,https://www.tiktok.com/@jaspardrinks/video/6981810756861971717?lang=en,1800000,15000,17300,10300000
highonfetusbrains3.0,6940133944609915909,7120637359758134529,I cried when i found out 🫶🏻😿#fyp #foryou #alcohol #vodka,2022-07-15 09:29:48,9,https://www.tiktok.com/@highonfetusbrains3.0/video/7120637359758134529?lang=en,1800000,26600,19100,8400000
user285917194038179,6740767500601181189,6825324685647957254,#summer #fyp #alcohol #alcoholic #ideas #recipe,2020-05-10 14:05:41,13,https://www.tiktok.com/@user285917194038179/video/6825324685647957254?lang=en,1700000,39100,5103,7000000
diletta.tanga,6631877827837853701,7100310667520904453,problem solved @Vittoria Del Prete  #perte #genova #heets #heetsblue #alcohol,2022-05-21 14:51:44,8,https://www.tiktok.com/@diletta.tanga/video/7100310667520904453?lang=en,1700000,27400,10900,8500000
jennymartinezzz,6780135821942588422,6969007772159560966,Tamarindo Chamoy rim paste #mexican #beer #whiteclaws #mexico #mexicanrecipe #alcohol #modelo #latin #latina #chamoy #tajin,2021-06-01 18:49:29,59,https://www.tiktok.com/@jennymartinezzz/video/6969007772159560966?lang=en,1500000,40000,4790,12900000
