user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
qualityman180,6955550236808020998,6957881103608745221,hope u like #drink #bartender #foryoupage #foryou,2021-05-02 19:12:20,59,https://www.tiktok.com/@qualityman180/video/6957881103608745221?lang=en,8400000,32700,40700,67700000
xsalazarx,6872647023519990786,7001963469922684165,#bartender #cantinero el Héctor 🆗👍🏼,2021-08-29 14:14:22,79,https://www.tiktok.com/@xsalazarx/video/7001963469922684165?lang=en,6600000,24300,15000,62000000
courtneyshae__,6826227089730241541,6992056790334590214,Tipsy Mermaid #GetYourJeansOn #bartender,2021-08-02 21:31:26,32,https://www.tiktok.com/@courtneyshae__/video/6992056790334590214?lang=en,5900000,116800,19100,67200000
moxology_uk,7080113047990010886,7081971215522336006,The bartender#tiktok #interesting #bartender #wineproducts #cocktails #cool,2022-04-02 04:45:18,64,https://www.tiktok.com/@moxology_uk/video/7081971215522336006?lang=en,5500000,27200,17100,48300000
realtipsybartender,17753639,7117322479605042478,Kitchen Sink Jungle Juice #tipsybartender #tiktokpartner #tiktoktaughtme #wine #vodka #tequila #gin #everything #drink #cocktail #bartender #fruits,2022-07-06 11:06:17,59,https://www.tiktok.com/@realtipsybartender/video/7117322479605042478?lang=en,4800000,170800,64800,52400000
itsyaagirlkatelyn,6872906834359092230,7046814337205439790,#strippatok #striptok✨✨✨✨ #bartender #bartendinglife #cometoworkwithme #fyp #bartendersoftiktok,2021-12-28 09:58:39,93,https://www.tiktok.com/@itsyaagirlkatelyn/video/7046814337205439790?lang=en,4600000,6883,5400,13800000
realtipsybartender,17753639,7089517360322956590,TikTok’s Best Jungle Juice Ever #tipsybartender #bartender #whiteclaw #vodka #cocktail #drink #cocktails #drinks #candy #orange #lime #lemon #gum #gumdrop,2022-04-22 12:48:11,41,https://www.tiktok.com/@realtipsybartender/video/7089517360322956590?lang=en,4300000,72000,21100,49200000
michellebellexo,6811580033246233605,6949296457081965829,This is 1 of my go to cocktails when someone asks me to make them something #alcohol#vodkadrink#fruitydrink#bartender#customersbelike,2021-04-09 15:59:30,40,https://www.tiktok.com/@michellebellexo/video/6949296457081965829?lang=en,4200000,126500,11300,25900000
courtneyshae__,6826227089730241541,7016004936529956101,Raspberry Mojito #bartender #mojito,2021-10-06 10:22:26,80,https://www.tiktok.com/@courtneyshae__/video/7016004936529956101?lang=en,3700000,2714,4163,28900000
flyin.v,6761852373356856326,7079588807921765675,☄️Fireball! #lasvegas #bartender #spring #fireball #flairbartending #lasvegasbartender #circalasvegas #fireballchallenge,2022-03-26 18:40:19,27,https://www.tiktok.com/@flyin.v/video/7079588807921765675?lang=en,3600000,43800,14200,27600000
michellebellexo,6811580033246233605,7070608046862519598,w/ a lime = call police. On the rocks = need help getting a ride. Neat = need security to walk you to your car #angelshot#bartender#spreadawareness,2022-03-02 12:50:23,38,https://www.tiktok.com/@michellebellexo/video/7070608046862519598?lang=en,3500000,8041,2207,16800000
michellebellexo,6811580033246233605,7001576864422563077,She paid for her drunk friend’s drink so🤷‍♀️ #bartender#drunkfriends#bar#barskit#truestory#bartenderstories#,2021-08-28 13:14:09,46,https://www.tiktok.com/@michellebellexo/video/7001576864422563077?lang=en,3300000,3064,2343,21700000
cointrick,6733587083291935750,6807866273985318150,Thanks @pineapple_michael 🍻my greatest mistake 😅 #bartender #staytricky #fyp #foryou #foryoupage #featureme #hairtutorials #onlineclass #makeadrink,2020-03-24 12:58:12,51,https://www.tiktok.com/@cointrick/video/6807866273985318150?lang=en,3100000,19700,3281,12400000
drinkowithrico,6923990381210764293,6935112895000890629,Reply to @rissarae7 Pinnacle whipped & Blue MTN DEW!🍹#fyp #vodka #mtndew #drinkingthecomments #alcoholicdrinks #bartender #foryoupage #21 #pinnacle,2021-03-02 09:40:12,59,https://www.tiktok.com/@drinkowithrico/video/6935112895000890629?lang=en,2900000,172500,20400,18200000
benjispears,6748970411658331141,6987172064524389637,#greenscreen The Angel Shot could save your life 🥰 #fyp #foryou #foryoupage #serverlife #bartender #funny #comedy #trend #trending #food #cooking,2021-07-20 17:36:13,135,https://www.tiktok.com/@benjispears/video/6987172064524389637?lang=en,2800000,155200,22200,11300000
barrisstaelba,6600415545455263749,6916172823794846978,Reply to @kingkhanofficial786 it’s been long sorry #india #nonalcoholicdrink #fyp #bartender next request please,2021-01-10 08:42:52,31,https://www.tiktok.com/@barrisstaelba/video/6916172823794846978?lang=en,2700000,6393,43100,14200000
