user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
moxology_uk,7080113047990010886,7081971215522336006,The bartender#tiktok #interesting #bartender #wineproducts #cocktails #cool,2022-04-02 04:45:18,64,https://www.tiktok.com/@moxology_uk/video/7081971215522336006?lang=en,5500000,27200,17100,48300000
realtipsybartender,17753639,7089517360322956590,TikTok’s Best Jungle Juice Ever #tipsybartender #bartender #whiteclaw #vodka #cocktail #drink #cocktails #drinks #candy #orange #lime #lemon #gum #gumdrop,2022-04-22 12:48:11,41,https://www.tiktok.com/@realtipsybartender/video/7089517360322956590?lang=en,4300000,72000,21100,49200000
realtipsybartender,17753639,7051712497962781998,So delicious! 😋 #tipsybartender #cocktails #drinks #shots #fireball #candyapple #alcoholtok,2022-01-10 14:46:01,45,https://www.tiktok.com/@realtipsybartender/video/7051712497962781998?lang=en,3700000,26700,8039,50100000
the.buzzies,6910441864277574661,6978872139717905670,Electric Lemonade ⚡️⚠️ #mixology #cocktails #bartrick #leckererezepte #erfrischung #limonade,2021-06-28 08:48:16,31,https://www.tiktok.com/@the.buzzies/video/6978872139717905670?lang=en,3300000,58100,24100,18500000
realtipsybartender,17753639,7067242328565550382,Frozen Strawberry Mudslide 🍦🍓 #tipsybartender #drink #cocktail #icecream #strawberry #milkshake #chocolate #pink #cocktails #drinks,2022-02-21 11:09:41,59,https://www.tiktok.com/@realtipsybartender/video/7067242328565550382?lang=en,3100000,121100,18800,28700000
devontje08,6843181722860536838,7061353943921872175,#stitch with @ashbash0921 As soon as I saw this I was like omg there are more like him 😂 #drakesnest #millennial #cocktails #clearice #fyp,2022-02-05 14:19:44,41,https://www.tiktok.com/@devontje08/video/7061353943921872175?lang=en,2800000,26500,23300,20400000
_iamchristie,6807580432558195718,6948889665118227717,#bartender #bar #bartending #cocktails #mixeddrinks #mixology #victorasecretdrink #oceanspray #vodka #amaretto #malibu #peachschnapps,2021-04-08 13:40:56,59,https://www.tiktok.com/@_iamchristie/video/6948889665118227717?lang=en,2700000,57300,29000,13800000
theparadise.bartender,6782735743665603590,6793077128523943174,Thirsty Thursday ft. a Long Beach this week.#JustAddGlitter #bartender #MyInstaxShoutout #fyp #cocktails #valentinesday #industry #jobtips #nightshift,2020-02-13 15:28:43,37,https://www.tiktok.com/@theparadise.bartender/video/6793077128523943174?lang=en,2700000,39100,10200,14900000
realtipsybartender,17753639,7049919722183363886,You gotta see what happens when I drop it… #tipsybartender #cocktails #drinks #shots #alcoholtok,2022-01-05 18:49:07,38,https://www.tiktok.com/@realtipsybartender/video/7049919722183363886?lang=en,2300000,19600,6495,29600000
lui_fern,6777870375743112197,7063873497092836655,#stitch with @likeablecocktails Why did i not know this?! #cocktails #bartender #drinks #bartendersoftiktok,2022-02-12 09:16:54,15,https://www.tiktok.com/@lui_fern/video/7063873497092836655?lang=en,2200000,107500,6832,25900000
realtipsybartender,17753639,7077658079260871982,Mega Margarita Jungle Juice 🍹🍉🍊#tipsybartender #tequila #cocktail #drink #junglejuice #watermelon #pineapple #lime #drinks #cocktails #bartender #fruit,2022-03-21 13:48:07,58,https://www.tiktok.com/@realtipsybartender/video/7077658079260871982?lang=en,1900000,42000,11800,21100000
barchemistry,6722658442044163078,6924801439134928133,Follow me on IG or YouTube 🥺 I’m active #cocktails #bartender #bartending #whiskey,2021-02-02 14:46:27,57,https://www.tiktok.com/@barchemistry/video/6924801439134928133?lang=en,1800000,55400,6707,9600000
kims_worldxo,1238876,7043703367587073281,"Bit of ASMR, if you’re into that sort of thing🤷‍♀️ #bartesian #cocktailmaker #cocktails #bartesianowner #bartesiandrinks #asmr",2021-12-20 00:46:29,140,https://www.tiktok.com/@kims_worldxo/video/7043703367587073281?lang=en,1700000,47200,10400,14800000
lorynpowell,18115889,7078786121442037038,Testing Cocktail Caviar against a breathalyzer #cocktails #drinkreview #cocktailcaviar,2022-03-24 14:45:29,91,https://www.tiktok.com/@lorynpowell/video/7078786121442037038?lang=en,1600000,20600,5614,8900000
elizapenders1,6747215985193206789,6981024494630472962,Cocktail night 🍸🍹 #fyp #cocktails #cocktailnight #foryou,2021-07-04 04:00:32,31,https://www.tiktok.com/@elizapenders1/video/6981024494630472962?lang=en,1500000,93700,9487,11100000
spiriticevice,6819419152433103878,6997762155755916550,Customer Video.  #iceball #iceballmaker #cocktails #bourbon #scotch #spiriticevice #whisky #whiskey #iceballmachine,2021-08-18 06:31:09,160,https://www.tiktok.com/@spiriticevice/video/6997762155755916550?lang=en,1400000,9468,6056,7700000
beeatreee,6866238648943313925,7130000565471513902,King neptune 🧜🏼‍♂️ by @andriabarbie #alcohol #starbucks #cocktails,2022-08-09 15:03:43,15,https://www.tiktok.com/@beeatreee/video/7130000565471513902?lang=en,1300000,95900,5351,15500000
johnrondi,6745156689979081733,7080272885884914986,Impersonating my dad Pt. 3: Cinnamon Old Fashioned @Clear Water Distilling Co 🥃 #johnnydrinks #scandalust #whiskey #cocktails #fyp #drinks #bourbon #fireball,2022-03-28 14:54:54,43,https://www.tiktok.com/@johnrondi/video/7080272885884914986?lang=en,1300000,5704,2037,12500000
realtipsybartender,17753639,7098024091466157358,Strawberry Pink Lemonade 🍓🍋 #tipsybartender #bartender #lemonade #strawberry #cocktail #drinks #drink #cocktails #rum #vodka #pinklemonade #7up #sprite,2022-05-15 10:58:38,58,https://www.tiktok.com/@realtipsybartender/video/7098024091466157358?lang=en,1200000,18700,4724,8100000
theparadise.bartender,6782735743665603590,6803421213029977350,"A little whiskey drink this Thursday! Stay safe, stay healthy. #lifeathome #oneminutevlog #notapro #cocktails #bartender #serverlife #hawaii #positive",2020-03-12 13:29:01,29,https://www.tiktok.com/@theparadise.bartender/video/6803421213029977350?lang=en,1200000,15100,4377,9200000
thewhyteelephant,6885521857207698437,7043547992174972165,#oldfashioned #cocktails #fyp,2021-12-19 14:43:34,53,https://www.tiktok.com/@thewhyteelephant/video/7043547992174972165?lang=en,1100000,17700,6554,11900000
artofsucre,6721150473930671109,7003491353313234181,Love you to the moon and back (literally) #cottoncandy #weddingtiktok #cocktails #bartock,2021-09-02 17:03:21,30,https://www.tiktok.com/@artofsucre/video/7003491353313234181?lang=en,1100000,6819,1797,5700000
barchemistry,6722658442044163078,6993449902550306053,#duet with @kevintomacino and a plastic cup? 🤨🤨🤨 #cocktails #bartender #bartending,2021-08-06 15:37:23,34,https://www.tiktok.com/@barchemistry/video/6993449902550306053?lang=en,1100000,2676,2778,6700000
luxxdrops,6717689597679289349,7087877287873416454,Reply to @mirela14._ it looks so good ❤️💖 #cocktails #drinkgarnishes #fyp,2022-04-18 02:43:53,12,https://www.tiktok.com/@luxxdrops/video/7087877287873416454?lang=en,982700,3773,1592,15800000
lorynpowell,18115889,7096575286120205614,Testing boozy pickles against a breathalyzer #moonshine #cocktails,2022-05-11 13:16:35,75,https://www.tiktok.com/@lorynpowell/video/7096575286120205614?lang=en,950400,11800,3488,7300000
mexicanspiritsmx,6875513709986841602,6990042949551770885,#pegar un video de @mackenzi_bramdon  póngase pila plebes !! 🥂 #parati #recomendaciones #mixologia #mixology #cocktails #cocteles #bares #bar,2021-07-28 11:16:40,25,https://www.tiktok.com/@mexicanspiritsmx/video/6990042949551770885?lang=en,935600,958,2036,11200000
barchemistry,6722658442044163078,7050211269546118406,What’s cardi b got to do with whipped cream or shots 🤨 #cocktails #bartender #bartending #whippedshots,2022-01-06 13:40:29,50,https://www.tiktok.com/@barchemistry/video/7050211269546118406?lang=en,934600,7154,2376,5800000
han.gryy,6745999659091510277,6980973645115952385,Girls Cocktail Night 🍸#fyp #foryou #cocktail #cocktails #cocktailnight #girlsnight,2021-07-04 00:43:12,23,https://www.tiktok.com/@han.gryy/video/6980973645115952385?lang=en,923200,13300,4785,5600000
myhealthydish,6688712754218566662,6849144834586840325,I don’t drink because I suffer from Asian Flush aka Asian Glow #cocktails #asianglow #asianflush #drinks,2020-07-13 18:40:03,35,https://www.tiktok.com/@myhealthydish/video/6849144834586840325?lang=en,899100,9878,3965,4400000
cocktails,6828618553478988805,7073568763618053419,I need this purse 😅🥰 @Thea Anna #cocktails #fyp #viral,2022-03-10 12:19:29,17,https://www.tiktok.com/@cocktails/video/7073568763618053419?lang=en,882700,20600,8514,6200000
realtipsybartender,17753639,7105131425539558698,Vodka Skittles by the Gallon 🍬 #tipsybartender #bartender #skittles #candy #cocktail #drink #smirnoff #smirnoffice #strawberry #orange #drinks #cocktails #vodka #delicious,2022-06-03 14:38:44,56,https://www.tiktok.com/@realtipsybartender/video/7105131425539558698?lang=en,843000,7891,3962,11200000
realtipsybartender,17753639,7032762932173901103,MINI BOOZY WATERMELON 🍉 #tipsybartender #drink #drinks #cocktail #cocktails #watermelon #melon #fun #staytipsy,2021-11-20 13:12:01,29,https://www.tiktok.com/@realtipsybartender/video/7032762932173901103?lang=en,804100,23600,3697,6100000
barchemistry,6722658442044163078,6844267848978746629,Reply to @xxmiselxx tryna be like @cointricktwitch my boy NICO. This shit hard bruh #cocktails #bartender #replytocomments #bartending,2020-06-30 15:14:51,58,https://www.tiktok.com/@barchemistry/video/6844267848978746629?lang=en,793600,3493,1132,2900000
barchemistry,6722658442044163078,7034997484053138694,#duet with @drink_hubb you could power a small lawn mower with this drink #cocktails #bartender #bartending,2021-11-26 13:43:13,14,https://www.tiktok.com/@barchemistry/video/7034997484053138694?lang=en,791000,1365,701,8200000
chloe.amy.avery,6574381508177772549,6581819356869561605,Enjoy your summer make it better with some embroidered cocktails!#cocktails #summer #embroidery,2018-07-24 09:20:37,14,https://www.tiktok.com/@chloe.amy.avery/video/6581819356869561605?lang=en,780700,4074,1414,9300000
theparadise.bartender,6782735743665603590,6814951533256396038,Happy Easter! Enjoy this remake of The Blue Hawaiian! #remake #makeadrink #cocktails #freshice #easter #sundayfunday #bartender #fyp #positivevibes,2020-04-12 15:12:33,56,https://www.tiktok.com/@theparadise.bartender/video/6814951533256396038?lang=en,780100,11500,3358,4000000
drinkowithrico,6923990381210764293,7105887534424673582,Silly Citrus Jungle Juice!🍊🍋 #fyp #drinktok #bartender #drinks #cocktails #drink #rum #vodka #orange #lemon #pineapple #peach #juice #mango #delicious,2022-06-05 15:32:49,56,https://www.tiktok.com/@drinkowithrico/video/7105887534424673582?lang=en,778600,18500,4262,5500000
johnrondi,6745156689979081733,6960812005544578309,White Claw: Iced Tea Review 🧊 🍵 #johnnydrinks #cocktails #whiteclaw #icedtea #cocktails #MillionActsofLove #fyp #xyz,2021-05-10 16:45:44,58,https://www.tiktok.com/@johnrondi/video/6960812005544578309?lang=en,772300,15700,3307,6300000
maladj0,6823149101364200453,7131286448271117573,"Bro we did not look serious at all, shirts they gave us weren’t even ironed 😭😭 still managed to get tips at the end of the night tho 🤣🤝🏽 @Jay jay90 #cocktails #unserious #bartenders",2022-08-13 02:14:01,53,https://www.tiktok.com/@maladj0/video/7131286448271117573?lang=en,770000,4888,2549,4100000
recephusein,6665242280343486470,6946654421300284677,#fyp #foryoupage #foryou #cocktails #cocktail #mocktails,2021-04-02 13:07:03,27,https://www.tiktok.com/@recephusein/video/6946654421300284677?lang=en,757500,8753,1783,13400000
theparadise.bartender,6782735743665603590,6805636211001085189,Let’s bring something colorful into the world today! Stay bright and positive! #happyathome #homebar #fyp #cocktails #bartender #makeadrink #bestlife,2020-03-18 12:44:22,49,https://www.tiktok.com/@theparadise.bartender/video/6805636211001085189?lang=en,756900,10700,3864,3800000
luxxdrops,6717689597679289349,7107930969457315078,Hot girl summer drank ❤️🤍 #drinks #fyp #cocktails,2022-06-11 03:42:27,22,https://www.tiktok.com/@luxxdrops/video/7107930969457315078?lang=en,750600,1550,777,8900000
realtipsybartender,17753639,7096585931158785322,The Blue Candy Fishbowl 🍭 #tipsybartender #bartender #cocktail #drink #cocktails #drinks #vodka #blue #candy #hpnotiq #smirnoffice #slush #slushie #delicious #tasty,2022-05-11 13:57:51,51,https://www.tiktok.com/@realtipsybartender/video/7096585931158785322?lang=en,745100,8302,2822,7900000
johnrondi,6745156689979081733,6994110400249777413,Hungover? We gotchu! Try out the Johnny Drinks hangover concoction 👍🏻 #johnnydrinks #hangovercure #hangover #hungover #hydrant #fyp #cocktails #xyz,2021-08-08 10:20:27,48,https://www.tiktok.com/@johnrondi/video/6994110400249777413?lang=en,732700,25600,2692,6700000
realtipsybartender,17753639,7079502656691031339,Sour Worm Popsicles 🍹🥶#bartender #tipsybartender #cocktail #popsicle #vodka #cocktails #candy #gummy #treat #dessert,2022-03-26 13:06:01,44,https://www.tiktok.com/@realtipsybartender/video/7079502656691031339?lang=en,727700,8650,4333,5700000
johnrondi,6745156689979081733,7041693416702479662,A little holiday eggnog cocktail! 🥛 🥃 @clearwaterdistilling #johnnydrinks #cocktails #whisky #eggnog #eggnogchallenge #fireball #cinnamon,2021-12-14 14:46:52,52,https://www.tiktok.com/@johnrondi/video/7041693416702479662?lang=en,714000,23900,1919,7900000
