user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
maggiie.anne,6614220155897856005,6947356180826180870,Mom wasn’t too happy #FreeFreeDance #easter #bottomlessmimosa #mimosas,2021-04-04 10:30:14,9,https://www.tiktok.com/@maggiie.anne/video/6947356180826180870?lang=en,2200000,145100,25600,21200000
mvirviescas,6744257707857708038,7066908973529615662,New York bottomless mimosas just hit different 😅 #brunch #mimosas #nyc #materialgirl #motionsickness #helenahoward,2022-02-20 13:36:07,10,https://www.tiktok.com/@mvirviescas/video/7066908973529615662?lang=en,1100000,19800,4551,6600000
nickdapeach,6665764273778589701,7049722048637275438,#mimosas #brunch #blitzed #recap #problem,2022-01-05 06:02:07,9,https://www.tiktok.com/@nickdapeach/video/7049722048637275438?lang=en,1000000,27500,2113,7900000
nailsbycin,6779602029624542213,7069428166984633646,When It’s been a long week #seattlewashington #washingtoncheck #fyp #longnailscheck #acrylicnails #mimosas #longweek #kube933 #fyp,2022-02-27 08:31:53,17,https://www.tiktok.com/@nailsbycin/video/7069428166984633646?lang=en,726700,933,322,5700000
joshuareasoner,6770739483337753606,6908797796669754629,Brunch gets the best of us all sometimes 😅 #sundaybrunch #drunktok #mimosas,2020-12-21 11:44:11,57,https://www.tiktok.com/@joshuareasoner/video/6908797796669754629?lang=en,581500,15800,1672,2600000
leta2104,6803615598427505669,6909413665754123525,#stitch with @angelynallezayort #mimosas #agentorange #bubbleup #StrikeAPosay,2020-12-23 03:34:34,37,https://www.tiktok.com/@leta2104/video/6909413665754123525?lang=en,513700,24200,2649,3000000
adrianabarajas28,6800460007810188293,7118527368796343594,but ma’aaam ! #fyp #alcoholism #htx #thepost #pregnant #mimosas #brunchin,2022-07-09 17:01:51,5,https://www.tiktok.com/@adrianabarajas28/video/7118527368796343594?lang=en,418700,5517,1124,5200000
realtipsybartender,17753639,7088421244575681838,Crown Apple Mimosa 🍏 #tipsybartender #bartender #caramel #apple #champagne #cocktail #drink #cocktails #drinks #crownroyal #whiskey #mimosa #mimosas,2022-04-19 13:54:42,48,https://www.tiktok.com/@realtipsybartender/video/7088421244575681838?lang=en,321300,6036,786,3300000
speedymcnasty,6614190174299750406,6910369353712127237,Bottomless mimosas #fy #foryou #Christmas2020 #airfryer #mimosas,2020-12-25 17:22:40,9,https://www.tiktok.com/@speedymcnasty/video/6910369353712127237?lang=en,315800,29800,5139,1900000
samandsea,6879329032409367557,7022312878271220997,How to make new mom friends #momfriends #momsoftiktok #mimosas #soccermom,2021-10-23 10:20:28,18,https://www.tiktok.com/@samandsea/video/7022312878271220997?lang=en,306800,42100,4023,4700000
