hashtag,user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
alcohol,chrisconnerz,7027901489125622790,7057995884587486511,Mothers Milk being canned is so satisfying 🤩 #brewery #brewing #brew #beer #alcohol #alcoholic #engineering #satisfying #can #machine #mothersmilk,2022-01-27 13:08:45,14,https://www.tiktok.com/@chrisconnerz/video/7057995884587486511?lang=en,3200000,29600,8151,124200000
bartender,qualityman180,6955550236808020998,6957881103608745221,hope u like #drink #bartender #foryoupage #foryou,2021-05-02 19:12:20,59,https://www.tiktok.com/@qualityman180/video/6957881103608745221?lang=en,8400000,32700,40700,67700000
bartender,courtneyshae__,6826227089730241541,6992056790334590214,Tipsy Mermaid #GetYourJeansOn #bartender,2021-08-02 21:31:26,32,https://www.tiktok.com/@courtneyshae__/video/6992056790334590214?lang=en,5900000,116800,19100,67200000
bartender,xsalazarx,6872647023519990786,7001963469922684165,#bartender #cantinero el Héctor 🆗👍🏼,2021-08-29 14:14:22,79,https://www.tiktok.com/@xsalazarx/video/7001963469922684165?lang=en,6600000,24300,15000,62000000
bartender,realtipsybartender,17753639,7117322479605042478,Kitchen Sink Jungle Juice #tipsybartender #tiktokpartner #tiktoktaughtme #wine #vodka #tequila #gin #everything #drink #cocktail #bartender #fruits,2022-07-06 11:06:17,59,https://www.tiktok.com/@realtipsybartender/video/7117322479605042478?lang=en,4800000,170800,64800,52400000
cocktails,realtipsybartender,17753639,7051712497962781998,So delicious! 😋 #tipsybartender #cocktails #drinks #shots #fireball #candyapple #alcoholtok,2022-01-10 14:46:01,45,https://www.tiktok.com/@realtipsybartender/video/7051712497962781998?lang=en,3700000,26700,8039,50100000
bartender,realtipsybartender,17753639,7089517360322956590,TikTok’s Best Jungle Juice Ever #tipsybartender #bartender #whiteclaw #vodka #cocktail #drink #cocktails #drinks #candy #orange #lime #lemon #gum #gumdrop,2022-04-22 12:48:11,41,https://www.tiktok.com/@realtipsybartender/video/7089517360322956590?lang=en,4300000,72000,21100,49200000
bartender,nicolepessman,6804992389649400838,7123283445123616046,Feelin’ it friday #bartender #bartendertiktok #bartenderchallenge #shots #fyp #foryoupage,2022-07-22 12:37:54,9,https://www.tiktok.com/@nicolepessman/video/7123283445123616046?lang=en,750000,4990,1081,49100000
bartender,moxology_uk,7080113047990010886,7081971215522336006,The bartender#tiktok #interesting #bartender #wineproducts #cocktails #cool,2022-04-02 04:45:18,64,https://www.tiktok.com/@moxology_uk/video/7081971215522336006?lang=en,5500000,27200,17100,48300000
bartender,wengshuangkin,7044796000418464774,7090874937564728622,Blue fairy fizz so incredibly #fyp #cocktail #bartender #wine,2022-04-26 04:36:19,42,https://www.tiktok.com/@wengshuangkin/video/7090874937564728622?lang=en,2700000,16700,11700,44400000
bartender,preparation28,7057524915324797999,7062680502335163694,#zyxcba #cocktail #bartending #peachschnapps #foryou #viral #fyp #bartender,2022-02-09 04:07:31,27,https://www.tiktok.com/@preparation28/video/7062680502335163694?lang=en,2300000,56600,12800,40700000
alcohol,chaelvato,6953553346351367174,7082510058260548869,Como meter alcohol a un festival #festival #concierto #ceremonia #alcohol #smirnoff #alcoholismo,2022-04-03 15:36:16,18,https://www.tiktok.com/@chaelvato/video/7082510058260548869?lang=en,3400000,101100,27500,37800000
vodka,gifds_,6956380289272169477,6990852086753725701,preparativos para euphoria party ✨💜 #fypシ #euphoria #vodka #euphoriaparty #drink,2021-07-30 15:36:32,13,https://www.tiktok.com/@gifds_/video/6990852086753725701?lang=en,3500000,68700,25500,35400000
alcohol,stefach02,6900239577505121286,7113661102092750086,La Cerveza quita el estrés ✨🤣#foryou #viral #fyp #alcohol #sarcasmo #cerveza #frases,2022-06-26 14:18:17,13,https://www.tiktok.com/@stefach02/video/7113661102092750086?lang=en,2200000,252200,7299,33400000
whiskey,adamjrigby,6781757460949861381,6915863173820206337,Ice wedge whiskey 🥃 🧊 #haigclubman #haigclub #haig #icewedge #shots #whiskey,2021-01-09 12:41:18,15,https://www.tiktok.com/@adamjrigby/video/6915863173820206337?lang=en,1600000,65300,4965,33200000
alcohol,torrishelton,6785922246978503685,6968140029403122950,Alcohol pops 🤪 #mixeddrinks #popsicles #drunk #alcohol #memorialdayweekend #HoldMyMilk #InTheHeightsChallenge,2021-05-30 10:42:11,12,https://www.tiktok.com/@torrishelton/video/6968140029403122950?lang=en,3900000,75000,37900,32500000
bartender,wengshuangkin,7044796000418464774,7115806456028630318,Creative cocktail.the best summer night drink:Cointreau fizz #fyp #cocktail #bartender #wine,2022-07-02 09:03:22,65,https://www.tiktok.com/@wengshuangkin/video/7115806456028630318?lang=en,2200000,7297,9330,30600000
cocktails,realtipsybartender,17753639,7049919722183363886,You gotta see what happens when I drop it… #tipsybartender #cocktails #drinks #shots #alcoholtok,2022-01-05 18:49:07,38,https://www.tiktok.com/@realtipsybartender/video/7049919722183363886?lang=en,2300000,19600,6495,29600000
bartender,courtneyshae__,6826227089730241541,7016004936529956101,Raspberry Mojito #bartender #mojito,2021-10-06 10:22:26,80,https://www.tiktok.com/@courtneyshae__/video/7016004936529956101?lang=en,3700000,2714,4163,28900000
bartender,wengshuangkin,7044796000418464774,7103916385847446830,Creative cocktail bayberry whisky!the best drink for summer #fyp #cocktail #summer #bartender,2022-05-31 08:03:46,62,https://www.tiktok.com/@wengshuangkin/video/7103916385847446830?lang=en,2200000,7550,7517,28800000
