user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
realtipsybartender,17753639,7117322479605042478,Kitchen Sink Jungle Juice #tipsybartender #tiktokpartner #tiktoktaughtme #wine #vodka #tequila #gin #everything #drink #cocktail #bartender #fruits,2022-07-06 11:06:17,59,https://www.tiktok.com/@realtipsybartender/video/7117322479605042478?lang=en,4800000,170800,64800,52400000
realtipsybartender,17753639,7089517360322956590,TikTok’s Best Jungle Juice Ever #tipsybartender #bartender #whiteclaw #vodka #cocktail #drink #cocktails #drinks #candy #orange #lime #lemon #gum #gumdrop,2022-04-22 12:48:11,41,https://www.tiktok.com/@realtipsybartender/video/7089517360322956590?lang=en,4300000,72000,21100,49200000
nick.digiovanni,6758495542861808645,7040545289446411567,Reply to @money_teoo ONE YEAR LATER. Vanilla extract complete. #vanillaextract #vanilla #vodka,2021-12-11 12:31:33,30,https://www.tiktok.com/@nick.digiovanni/video/7040545289446411567?lang=en,3900000,4567,7985,20300000
gifds_,6956380289272169477,6990852086753725701,preparativos para euphoria party ✨💜 #fypシ #euphoria #vodka #euphoriaparty #drink,2021-07-30 15:36:32,13,https://www.tiktok.com/@gifds_/video/6990852086753725701?lang=en,3500000,68700,25500,35400000
nick.digiovanni,6758495542861808645,6905137392232025349,I can chug water real quick 💯 #vanilla #vanillaextract #vodka #masterchef,2020-12-11 15:00:01,32,https://www.tiktok.com/@nick.digiovanni/video/6905137392232025349?lang=en,3000000,17300,12200,15700000
drinkowithrico,6923990381210764293,6935112895000890629,Reply to @rissarae7 Pinnacle whipped & Blue MTN DEW!🍹#fyp #vodka #mtndew #drinkingthecomments #alcoholicdrinks #bartender #foryoupage #21 #pinnacle,2021-03-02 09:40:12,59,https://www.tiktok.com/@drinkowithrico/video/6935112895000890629?lang=en,2900000,172500,20400,18200000
vladk.ruso,6590111579496398853,6993786867216862469,#Cargando en Rusia existía una receta médica casera donde para curar la tos se le daba té con vodka a los niños #rusia #ruso #vodka,2021-08-07 13:24:59,11,https://www.tiktok.com/@vladk.ruso/video/6993786867216862469?lang=en,2800000,24900,20100,16300000
vladk.ruso,6590111579496398853,6961567511821208837,#pegar un video de @hijadeputin así lo hacemos en madre Rusia #vodka,2021-05-12 17:37:28,59,https://www.tiktok.com/@vladk.ruso/video/6961567511821208837?lang=en,2700000,41200,21900,14700000
_iamchristie,6807580432558195718,6948889665118227717,#bartender #bar #bartending #cocktails #mixeddrinks #mixology #victorasecretdrink #oceanspray #vodka #amaretto #malibu #peachschnapps,2021-04-08 13:40:56,59,https://www.tiktok.com/@_iamchristie/video/6948889665118227717?lang=en,2700000,57300,29000,13800000
dokaryan,215109628081172480,6984151100324662533,I left steak in vodka for a month 🥩 #steak #vodka #inajar #dokaryan #pickled #fyp #yqr @lmdistillery,2021-07-12 14:13:20,52,https://www.tiktok.com/@dokaryan/video/6984151100324662533?lang=en,2100000,56600,21900,16300000
vladk.ruso,6590111579496398853,6990402133497515269,Responder a @xmelocoton cuidado si usan audífonos jajaja #comedia #humor #ruso #rusia #vodka,2021-07-29 10:30:29,46,https://www.tiktok.com/@vladk.ruso/video/6990402133497515269?lang=en,2100000,3530,15700,14000000
realtipsybartender,17753639,7105812205253266730,Hairy Buffalo Jungle Juice 🍓🍉 #tipsybartender #bartender #cocktail #drink #gin #vodka #tequila #cranberry #strawberry #strawberries #orange #juice #watermelon #mango #tropical,2022-06-05 10:40:30,59,https://www.tiktok.com/@realtipsybartender/video/7105812205253266730?lang=en,2100000,15700,7677,23600000
dokaryan,215109628081172480,6986523839735860486,I left Warheads in 90% vodka for a week #warheads #vodka #inajar #dokaryan #pickled #fyp #yqr @smooth42sk,2021-07-18 23:40:54,60,https://www.tiktok.com/@dokaryan/video/6986523839735860486?lang=en,2000000,16200,5890,10900000
realtipsybartender,17753639,7118465205096500523,Tropical Bravery 🍹 #tipsybartender #tiktokpartner #tiktoktaughtme  #everclear #rum #malibu #orange #vodka #fruitpunch #pineapple #juice #cocktail #drink,2022-07-09 13:00:38,58,https://www.tiktok.com/@realtipsybartender/video/7118465205096500523?lang=en,2000000,22700,13400,25000000
dokaryan,215109628081172480,6981671397365927174,I left a jalapeño in vodka for a month 🌶 #jalapeno #vodka #inajar #dokaryan #pickled #fyp #yqr @lmdistillery,2021-07-05 21:50:52,49,https://www.tiktok.com/@dokaryan/video/6981671397365927174?lang=en,2000000,15900,9984,13500000
realtipsybartender,17753639,7093628888558931242,Boozy Jolly Rancher Watermelon 🍉 🍬 #tipsybartender #bartender #watermelon #jollyrancher #candy #rum #vodka #cocktail #drink,2022-05-03 14:43:01,54,https://www.tiktok.com/@realtipsybartender/video/7093628888558931242?lang=en,1900000,3464,5483,17800000
ginaflksn,6619277290235445253,6944433793843334406,#fy #fyp #blue #absolut #vodka,2021-03-27 13:29:53,34,https://www.tiktok.com/@ginaflksn/video/6944433793843334406?lang=en,1900000,61000,28600,10000000
drinkowithrico,6923990381210764293,7076145828427238702,Reply to @blessedlady2011 Truly Vodka ?!👀 #fyp #drinktok #truly #vodka #fruits #drink #review #21,2022-03-17 11:59:51,26,https://www.tiktok.com/@drinkowithrico/video/7076145828427238702?lang=en,1900000,147400,11400,14500000
vladk.ruso,6590111579496398853,6952571587166080261,Así lo hacemos en la madre Rusia! #rusia #rusos #fyp #tijuana #vodka #ruso #mexico #parati,2021-04-18 11:48:41,26,https://www.tiktok.com/@vladk.ruso/video/6952571587166080261?lang=en,1800000,32000,14900,10200000
