user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
rattenimschatten,6941731770425426949,6950641321346403589,#fyp #foryou #fypシ #foryoupage #champion #goat #viral #xyzbca #conormcgregor #mcgregor #khabib #ali #ufc #mma #ireland #irish #whiskey #alcohol,2021-04-13 06:58:17,18,https://www.tiktok.com/@rattenimschatten/video/6950641321346403589?lang=en,2200000,17500,22800,18000000
barrescue,6722525819203240965,6990001305565646085,"“Even if you had straight whiskey, you’re not safe in this bar!” 🤢 #BarRescue #fyp #bugs #expired #dirty #whiskey",2021-07-28 08:35:04,66,https://www.tiktok.com/@barrescue/video/6990001305565646085?lang=en,2000000,5812,3913,9500000
michellebellexo,6811580033246233605,6976340170140388613,I used to drink #skrewball almost everyday before I was #pregnant so I’m super excited about these! #banana#peanutbutter#shot#elvisshot#elvis#whiskey,2021-06-21 13:02:55,48,https://www.tiktok.com/@michellebellexo/video/6976340170140388613?lang=en,1800000,17900,2918,10800000
barchemistry,6722658442044163078,6924801439134928133,Follow me on IG or YouTube 🥺 I’m active #cocktails #bartender #bartending #whiskey,2021-02-02 14:46:27,57,https://www.tiktok.com/@barchemistry/video/6924801439134928133?lang=en,1800000,55400,6707,9600000
whiskey_the_munchkin,6964091271275660294,7008934813973417221,Smol boy 🥺 #catsoftiktok #foryou #fyp #kitten #munchkinkitten #fypage #fy #fypシ #foryoupage #whiskey,2021-09-17 09:06:45,8,https://www.tiktok.com/@whiskey_the_munchkin/video/7008934813973417221?lang=en,1600000,44200,6914,6400000
buceethebeaver_numba1fan,6521461402320770063,6934759858541497606,#stitch with @allycat.99 I SAID CLEAR ICE WHISKEY BALLS. Yes it makes regular ice too.... dual ice makers baby. #LG #Whiskey #fyp,2021-03-01 10:50:11,52,https://www.tiktok.com/@buceethebeaver_numba1fan/video/6934759858541497606?lang=en,1600000,100100,8491,12100000
adamjrigby,6781757460949861381,6915863173820206337,Ice wedge whiskey 🥃 🧊 #haigclubman #haigclub #haig #icewedge #shots #whiskey,2021-01-09 12:41:18,15,https://www.tiktok.com/@adamjrigby/video/6915863173820206337?lang=en,1600000,65300,4965,33200000
spiriticevice,6819419152433103878,6997762155755916550,Customer Video.  #iceball #iceballmaker #cocktails #bourbon #scotch #spiriticevice #whisky #whiskey #iceballmachine,2021-08-18 06:31:09,160,https://www.tiktok.com/@spiriticevice/video/6997762155755916550?lang=en,1400000,9468,6056,7700000
thewinesavant,6969588680148550661,7083568309186071850,#smallbusinesscheck #whiskey #whiskeydecanter #winedecanter #bourbonlover,2022-04-06 12:02:50,24,https://www.tiktok.com/@thewinesavant/video/7083568309186071850?lang=en,1400000,2750,1255,13200000
drew_talbert,6809837990555698181,7035289267295276334,I’m just shocked Brad was able to sell him on that $20 hooch (co-write w/ @andrea.kelley) #whiskey #redneck #serverlife,2021-11-27 08:35:30,27,https://www.tiktok.com/@drew_talbert/video/7035289267295276334?lang=en,1300000,23100,3223,9400000
johnrondi,6745156689979081733,7080272885884914986,Impersonating my dad Pt. 3: Cinnamon Old Fashioned @Clear Water Distilling Co 🥃 #johnnydrinks #scandalust #whiskey #cocktails #fyp #drinks #bourbon #fireball,2022-03-28 14:54:54,43,https://www.tiktok.com/@johnrondi/video/7080272885884914986?lang=en,1300000,5704,2037,12500000
tempted_1,6810147838283826181,6913624763797605637,Genius. @lucky_red85 @trucker_wife #fyp #foryou #foryourpage #whiskey #shot #mouthwash #mouthwashchallenge #genius,2021-01-03 11:55:17,55,https://www.tiktok.com/@tempted_1/video/6913624763797605637?lang=en,1300000,75600,8292,7300000
trevorholmesmusic,6676100258165310469,6995335743119871238,#SyncYourMiO #countrymusic #fyp #whiskey #viral,2021-08-11 17:35:25,13,https://www.tiktok.com/@trevorholmesmusic/video/6995335743119871238?lang=en,1200000,2227,2255,11300000
realtipsybartender,17753639,7115118122394242346,Marble Candy Apple 🍏 #tipsybartender #tiktokpartner #tiktoktaughtme #apple #candy #jollyrancher #vodka #whiskey #applerings #cocktail #treat,2022-06-30 12:32:15,44,https://www.tiktok.com/@realtipsybartender/video/7115118122394242346?lang=en,1200000,6093,3711,9100000
dokaryan,215109628081172480,6995786869552319750,I left Sour Patch Kids in whiskey for a month 🥃 #sourpatchkids #whiskey #inajar #dokaryan #whisky #fyp #yqr @lmdistillery,2021-08-12 22:46:04,60,https://www.tiktok.com/@dokaryan/video/6995786869552319750?lang=en,1200000,24700,6296,5900000
dokaryan,215109628081172480,7028440292105702662,I left Werther’s Caramel in whiskey for a week #caramel #whiskey #inajar #dokaryan #fyp #yxe @lmdistillery,2021-11-08 21:38:01,59,https://www.tiktok.com/@dokaryan/video/7028440292105702662?lang=en,1100000,32600,5647,5600000
crowboy69,6617579282083102725,7029821191401573638,Reply to @thevelvetelvisofficial Crowld Fashioneds #oldfashioned #oldfashion #whiskey #bourbon #alcohol #bar #crowbar #drink #drinks #crowboy #drunk,2021-11-12 14:56:34,135,https://www.tiktok.com/@crowboy69/video/7029821191401573638?lang=en,1100000,35300,7960,6600000
litwa_202,7061529903091287046,7136589905026731269,I think Whiskey can be a metalcore singer 😅 what You think? #fyp #boa #snake #whiskey ,2022-08-27 09:13:47,15,https://www.tiktok.com/@litwa_202/video/7136589905026731269?lang=en,883100,28900,9701,15400000
sillylilart,6810800145007264773,6919146724812410118,#canadiancheck #fyp #foryoupage #foryou #swimmin #canadian #canadianpartylife #polardip #whiskey #🇨🇦,2021-01-18 09:03:18,10,https://www.tiktok.com/@sillylilart/video/6919146724812410118?lang=en,856300,15600,9220,16700000
full_ammo_cans,6836124390259934213,6840673755790953734,Alcohol makes it fun #Jameson #navy #military #whiskey #fyp,2020-06-20 22:47:59,9,https://www.tiktok.com/@full_ammo_cans/video/6840673755790953734?lang=en,853800,29300,2244,9300000
michellebellexo,6811580033246233605,6962248866271923462,Cheers to 600k!🍻Thank you! I love you ALL😘#bartender#whiskey#gingerbeer#whiskeylover#summerdrink#refreshingdrink,2021-05-14 13:41:28,39,https://www.tiktok.com/@michellebellexo/video/6962248866271923462?lang=en,822400,3007,1872,5000000
timthetankofficial,6645259825818255365,7117426511518485803,Reply to @itsyahboizachariah  First Up - ALASKA! #alaska #unitedstates  #travel #bartender #fyp #tiktoktaughtme #coffee #whiskey,2022-07-06 17:49:58,59,https://www.tiktok.com/@timthetankofficial/video/7117426511518485803?lang=en,788500,7302,17700,7100000
drinkowithrico,6923990381210764293,7030214213163388165,Reply to @danielle.prather 🍑 Cobbler Drink!?🍹 #fyp #peach #whiskey #fireball #soda #drinks #review #bartender #foryoupage #kingofdrinks #drinktok,2021-11-13 16:21:41,54,https://www.tiktok.com/@drinkowithrico/video/7030214213163388165?lang=en,765600,16900,2637,5600000
drinkowithrico,6923990381210764293,6980418205873409285,Reply to @aaronmartinez239 Random Whiskey & Sonic Drink!🍹 #fyp #peach #whiskey #slushie #drinkingthecomments #bartender #foryoupage #sonic #21,2021-07-02 12:47:47,56,https://www.tiktok.com/@drinkowithrico/video/6980418205873409285?lang=en,691500,549,1902,4200000
dokaryan,215109628081172480,7025344404068125958,I left Warheads Candy in whiskey for a week #whiskey #warheads #inajar #dokaryan #fyp #yqr @lmdistillery,2021-10-31 14:24:20,60,https://www.tiktok.com/@dokaryan/video/7025344404068125958?lang=en,671200,4618,2793,3300000
liquorstore352,7049450943310775342,7069899816775552302,Do you f***k with the peanut butter? #liquorstore #whiskey #liquorstorescene #skrewball #peanutbutterwhiskey #impress #collegelife #collegehumor #bro,2022-02-28 15:02:05,32,https://www.tiktok.com/@liquorstore352/video/7069899816775552302?lang=en,665300,1655,2050,7300000
marcosmolinar1,6790920378685834246,6947410044707179782,Tiktok took this down at 80k views.  Please help this get back up! #shots #dadsoftiktok #viral #funny #whiskey,2021-04-04 13:59:15,19,https://www.tiktok.com/@marcosmolinar1/video/6947410044707179782?lang=en,653600,2520,1469,3500000
llby_dirtylikemy6.6,6821975000746476549,6918088470950890758,What Blue-Coller wives think they’re getting. #bluecollar #work #viral #fyp #foryou #mullet #carhart #arizona #beer #whiskey #country #sorrynotsorry #,2021-01-15 12:36:46,59,https://www.tiktok.com/@llby_dirtylikemy6.6/video/6918088470950890758?lang=en,627500,73300,5002,5500000
freakinreviews,6737764844914803717,6821189537574702342,"You may not need it, but some people will want this ice wedge glass. #whiskey #ice #glass #gadget #whatisthis",2020-04-29 10:39:11,14,https://www.tiktok.com/@freakinreviews/video/6821189537574702342?lang=en,622400,10600,1062,7400000
thewinesavant,6969588680148550661,7062374857220082991,what should i do? #whiskeydecanter #whiskey #whiskeywednesday🥃 #karensgonewild #gunsoftiktok,2022-02-08 08:21:25,38,https://www.tiktok.com/@thewinesavant/video/7062374857220082991?lang=en,616600,1918,5494,8100000
dokaryan,215109628081172480,7031371340753947910,I left canned peaches in whiskey #peaches #whiskey #dokaryan #inajar #fyp #yqr,2021-11-16 19:11:56,58,https://www.tiktok.com/@dokaryan/video/7031371340753947910?lang=en,601700,5669,2996,3000000
whiskey_the_munchkin,6964091271275660294,7019904355847458053,Ferocious little thing #fypage #trending #viral #fyp #fypシ #catsoftiktok #kitten #fy #fy #tiktok #munchkincat #foryou #whiskey  #foryoupage,2021-10-16 22:34:13,13,https://www.tiktok.com/@whiskey_the_munchkin/video/7019904355847458053?lang=en,559700,26900,1689,3000000
defnotgerald,6807234338095531013,6928967730313907461,He’s in a league of his own. #hozier #current #ireland #irish #whiskey #fyp  #foryou #relaxation @hozierofficial video credits to “The Current” on YT.,2021-02-13 20:13:56,44,https://www.tiktok.com/@defnotgerald/video/6928967730313907461?lang=en,553200,59100,5030,3000000
thewildinitiative,101268038762565632,6974102583149448453,Props to my big sister for her guest appearance. #thewildinitiative #28XTREMES #whiskey #countryboy #alcohol #dogsoftiktok #puppies #drunk #alcoholic,2021-06-15 12:19:56,10,https://www.tiktok.com/@thewildinitiative/video/6974102583149448453?lang=en,548800,4635,1749,5200000
tipsyscoop,6848992490156016646,6955187864007101701,Up to 5% ABV in every flavor🍦#boozyicecream #tipsyscoop #liquor #vodka #whiskey #tequilla #tipsy #boozy #cocktails #icecream #desserttiktok,2021-04-25 13:01:10,14,https://www.tiktok.com/@tipsyscoop/video/6955187864007101701?lang=en,546100,11900,7719,3300000
liquorstore352,7049450943310775342,7071357990066097454,No way! #liquor #liquorstore #liquorstorescene  #whiskey #whiskeysour #japanese #yamazaki #singlemalt #spittake #cocktail #collegelife,2022-03-04 13:20:33,20,https://www.tiktok.com/@liquorstore352/video/7071357990066097454?lang=en,517800,10200,4007,10300000
drinkowithrico,6923990381210764293,7114069409404095790,Reply to @ayyebaybay Motorcyclists Favorite Mixed Drink!🍹 #fyp #drinktok #stranger #mixeddrinks #whiskey #lemonade #drink #review #tastetest #drink #21,2022-06-27 16:42:41,49,https://www.tiktok.com/@drinkowithrico/video/7114069409404095790?lang=en,515800,1934,1214,3400000
realtipsybartender,17753639,7102878886609964331,Caramel Dip Crown Apple Slush 🍏 #tipsybartender #bartender #whiskey #apple #caramel #jollyrancher #crownroyal #applejuice #cocktail #drink #drinks #cocktails #slush #slushie,2022-05-28 12:57:46,51,https://www.tiktok.com/@realtipsybartender/video/7102878886609964331?lang=en,490300,17900,1274,4400000
dokaryan,215109628081172480,7003580850692427014,I left cherries in whiskey for a month 🍒 #cherry #whiskey #inajar #dokaryan #whisky #yqr #fyp @lmdistillery,2021-09-02 22:50:40,59,https://www.tiktok.com/@dokaryan/video/7003580850692427014?lang=en,490200,924,2019,2500000
theirishconnection,6940964426262594565,7037912112299216134,Hozier - Humours of Whiskey 🥃  #Hozier #HumoursOfWhiskey #Acapella #HozierTok #Whiskey #IrishMusic #IrishConnection #Ireland #foryou #fyp #parati #fy,2021-12-04 10:13:28,44,https://www.tiktok.com/@theirishconnection/video/7037912112299216134?lang=en,488300,22700,2072,4000000
hyewestsaloon,6976067308252251141,7035789087663508783,“That’s hot” -  Josh.  #infinitybarrel addition with some #heavensdoor #bourbon #bourbontiktok #whiskey #blend #homebar #cheers,2021-11-28 16:55:03,28,https://www.tiktok.com/@hyewestsaloon/video/7035789087663508783?lang=en,479200,5333,1429,3900000
garythebbqchef,6762645033923150853,6914082373562846469,OH MY GOD!!! #fyp #whiskey #jackdaniels #shots #MyRoutine,2021-01-04 17:31:05,33,https://www.tiktok.com/@garythebbqchef/video/6914082373562846469?lang=en,478100,48100,3842,3500000
anotherbourbonshow,6954891053880116230,7010420311417949445,END OF OCTOBER!!! #bourbon #bourbontiktok #whiskey #whiskeytiktok #whiskeydouche #bourbondouche #pappyvanwinkle #btac #buffalotrace,2021-09-21 09:11:14,45,https://www.tiktok.com/@anotherbourbonshow/video/7010420311417949445?lang=en,474500,1699,2323,5000000
deedeepatterson55,6978627974871827462,7003039351990930694,Speechless!  #troops #2ndadmendment #patriot #vodka #whiskey #whiskeytowers #patrotism,2021-09-01 11:49:20,76,https://www.tiktok.com/@deedeepatterson55/video/7003039351990930694?lang=en,466700,23600,11600,3000000
abrahampiper,6783840105544614917,6937684422917426437,The last tip is the most important. #hangovercure #lifehack #hangover #whiskey #wine #beer #drinking #drinkingalone #partiedtoohard,2021-03-09 07:58:53,58,https://www.tiktok.com/@abrahampiper/video/6937684422917426437?lang=en,465900,7659,3090,3100000
