user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
m1lkbunniee,6957326159051539462,7124382759526599978,so guess who's going on break because of another somewhat traumatic experience? #fypシ #vent #dontdodrugs #minor #ediblegummy #ididntknow #fypp #rant #digitalart #iwasscared #fypage #fypシ゚viral,2022-07-25 11:43:46,15,https://www.tiktok.com/@m1lkbunniee/video/7124382759526599978?lang=en,37500,111,121,100000
demitrianna,6780536550918947846,7086848927844125998,Once that bad boy kicks in I’m ✨GOLDEN✨#fupシ #fyp #viral #ediblegummy #socialanxiety #anxiety #anxietyrelief #shmokersonly #shmokertok #shmokerthings #funny #4U #follow #trendingsound,2022-04-15 08:13:18,15,https://www.tiktok.com/@demitrianna/video/7086848927844125998?lang=en,1339,97,76,26700
queenaries0325,6822434706073764870,7027104205609569583,I can’t be the only one #ediblegummy #JustDanceWithCamila #comedy #lgbt #lesbiantiktok🌈 #pansexuał #high,2021-11-05 08:13:18,15,https://www.tiktok.com/@queenaries0325/video/7027104205609569583?lang=en,748,40,124,9880
lostboytaylor,6622748505814761477,7091379912237501739,How would they know? 😂 #tsacheck #tsa #ediblegummy #foryou #traveltiktok,2022-04-27 13:15:50,5,https://www.tiktok.com/@lostboytaylor/video/7091379912237501739?lang=en,379,7,7,4419
rivkah143,7012259864018879493,7097035056274836778,Oops🍃💨 I’m sober tho. #smoke #ediblegummy #relatable #sober #smokersunite #smokefree #fyp #foryou #funny #funnyvideo #oops #viralvideo #viral #blowthisup,2022-05-12 19:00:41,15,https://www.tiktok.com/@rivkah143/video/7097035056274836778?lang=en,291,2,25,3536
mylawknee,6879220412623455237,7109963089516203306,#stitch with @gayonsaturday_ them things get you if youre not ready for it. Different kinda high 😂 #AmazonMusicProudHeroes #ediblegummy #iwasntready,2022-06-16 15:08:03,26,https://www.tiktok.com/@mylawknee/video/7109963089516203306?lang=en,261,11,24,4006
chyseven25,6924501496642896901,7078764911656045866,#ediblegang #ediblegummy #OscarsAtHome #LizzosBigGrrrls #WomenOwnedBusiness #AEMembersAlways #tiktok #ifollowback #over40 #blackgirltiktok #over40club #fyp #momsoftiktok #fypシ #blackgirlmagic  #over40club #houston #tiktoker #ediblefoodcravings,2022-03-24 13:23:11,30,https://www.tiktok.com/@chyseven25/video/7078764911656045866?lang=en,199,17,48,1709
velvetdawnlunsford,6833485074354209798,7092949198299073835,Michigan lake flashbacks 😅 #lipsync #ediblegummy #fyp #fypシ #allten,2022-05-01 18:45:28,15,https://www.tiktok.com/@velvetdawnlunsford/video/7092949198299073835?lang=en,362,21,5,3003
stephanie_amber1112,6641952692497448965,7064206714463358255,lol I hope he learned his lesson when it comes to eating things. haha little turd #dogsofttiktok #ediblegummy #ilovemydogs  #gothigh #fyp,2022-02-13 06:49:58,17,https://www.tiktok.com/@stephanie_amber1112/video/7064206714463358255?lang=en,141,18,6,6064
candiaplred,6617965019916419077,7087933983140547886,When they ate my whole pack of edible gummies 🤣😂😂 #fyp #ediblegummy #mybestfriend #mybestfriends #high #highasf #foryourpage #funnymoments #makingmemories,2022-04-18 06:23:54,41,https://www.tiktok.com/@candiaplred/video/7087933983140547886?lang=en,132,5,7,4147
cindeela,6887353163692901382,7034610227702074671,I ate a “gummy bear” and watched the parade this morning. It was an interesting experience #macysthanksgivingdayparade #ediblegummy #fyp #scarypuppet,2021-11-25 12:40:28,30,https://www.tiktok.com/@cindeela/video/7034610227702074671?lang=en,112,3,2,819
kmalynnj,6808650127718188037,7091319024088304938,I was very much not okay and i had to go to la escuela the next day #ediblegummy #trend #school,2022-04-27 09:19:34,6,https://www.tiktok.com/@kmalynnj/video/7091319024088304938?lang=en,206,5,1,3386
yourhighness2022,6591030721057177606,7010396578628340997,FOR LEGAL REASONS PAULA AND DARYLL WERENT HARMED! #ihavenofriends #ThatCloseMessenger #ediblegummy,2021-09-21 07:39:09,12,https://www.tiktok.com/@yourhighness2022/video/7010396578628340997?lang=en,83,1,30,448
jessasmalls,6799496064493585414,7125954307345845550,When they give You that prescribed good good 😂🤣 #fyp #MickeyFriendsStayTrue #ediblegummy #viral,2022-07-29 17:22:10,22,https://www.tiktok.com/@jessasmalls/video/7125954307345845550?lang=en,72,4,13,788
cheybeckk,6790642606487225349,7082754932629081386,Back with another review of medical gummies 😎 #ediblegummy #medicalmarijuana #fyp #fypシ #medicalthc #IL #illinois #chicago #asmr #ediblereview   #Chicago #asmr #trending #butterflyinthesky,2022-04-04 07:26:31,68,https://www.tiktok.com/@cheybeckk/video/7082754932629081386?lang=en,69,0,3,3510
sassbrina,1860740,6965768089581489413,&I’m signing off #stiizy #ediblegummy #fyp,2021-05-24 01:18:00,14,https://www.tiktok.com/@sassbrina/video/6965768089581489413?lang=en,66,0,8,1373
sparklysapphic69,6801952375277339654,6999423812156525830,poster that came with yasmin 💗 #yasmin #bratz #2000s #y2k #ayeshaeroitica #ediblegummy #childhood #comfortitems #bratzdolls #fyp #fy #fypシ,2021-08-22 17:59:12,9,https://www.tiktok.com/@sparklysapphic69/video/6999423812156525830?lang=en,57,0,7,518
blhutch,282065907428941824,7022561906997103878,#stitch with @smileyrena #toxicstepmom #ediblegummy,2021-10-24 02:26:51,149,https://www.tiktok.com/@blhutch/video/7022561906997103878?lang=en,56,0,4,1423
richblkman,6840135315191546885,7077934772693093674,Underestimated those gummies #ediblegummy #contentcreator #gamer #streamer,2022-03-22 07:41:51,15,https://www.tiktok.com/@richblkman/video/7077934772693093674?lang=en,53,11,3,1006
dlaciebunn,6758846959416558597,7050742309633346862,Lol it's funny because it's true! #fyp #outlawfam4life #fypシ #tiktok #tiktokfamily #ediblegummy,2022-01-08 00:01:12,59,https://www.tiktok.com/@dlaciebunn/video/7050742309633346862?lang=en,52,2,4,683
mrnmrsransom,6915202834506777605,7077959253276822826,#fyp #ediblegummy,2022-03-22 09:16:50,15,https://www.tiktok.com/@mrnmrsransom/video/7077959253276822826?lang=en,51,6,4,595
bigmamabluebear,6922251798770975749,7098739555922169131,When the @pandbkitchen chocolates hit... #pandbkitchen #chocolates #gummies #ediblechocolate #ediblegummy #fypシ #fyp🌱 #foryoupage #softandsquishy #iwanttobeamarshmallow🍄Blanket by @abitoads,2022-05-17 09:15:02,17,https://www.tiktok.com/@bigmamabluebear/video/7098739555922169131?lang=en,45,0,4,335
binkybvr,7112632716352324650,7123273988830416174,I spoke too soon #illusination #ediblegummy #vrchat #vrchat #vrchatcommunity #fyp,2022-07-22 12:01:11,8,https://www.tiktok.com/@binkybvr/video/7123273988830416174?lang=en,45,0,3,271
vonshae_vonshae,6809416655225439237,7056158979092778287,#RufflesOwnYourRidges #fyp #foryoupage #ediblegummy #vsgcommunity #gastricsleeve,2022-01-22 14:20:37,12,https://www.tiktok.com/@vonshae_vonshae/video/7056158979092778287?lang=en,44,1,18,847
kayrlove,6809048203858674693,7033929062632492293,That was rude and I’m just trifling’ for eating 3! I should know better. 🤣😂 #ediblegummy #frozeintime #munchies,2021-11-23 16:37:12,59,https://www.tiktok.com/@kayrlove/video/7033929062632492293?lang=en,38,5,4,913
jennknows,6756179168449381382,6951857178659572998,"Migraine pain eased back. Natural relief instead of 💊 pills, I ain’t use to it😂😂#migrainerelief #whymyearstickle #ediblegummy #twohoursitkickedin",2021-04-16 13:36:24,10,https://www.tiktok.com/@jennknows/video/6951857178659572998?lang=en,35,0,5,631
spookylilpumpkin,6676515469615137797,6948266802296130821,,2021-04-06 21:23:59,15,https://www.tiktok.com/@spookylilpumpkin/video/6948266802296130821?lang=en,32,0,0,329
robertwhitten0,6799417067159782406,7007586285011422469,#ediblegummy  #Pennsylvania,2021-09-13 17:53:46,32,https://www.tiktok.com/@robertwhitten0/video/7007586285011422469?lang=en,31,1,2,2724
k_mp4,6887956476528575493,7077976804228746538,#ediblegummy #Fyp #dontdoit #Comdey#bubbadub94,2022-03-22 10:24:56,49,https://www.tiktok.com/@k_mp4/video/7077976804228746538?lang=en,31,3,6,670
