user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
yourstrulyxo1,6809771661568115718,7047933054597287174,There’s two types of me.. 🤣🤣 #ediblehigh #drunk #chill #relax #lit #fyp,2021-12-31 10:19:50,34,https://www.tiktok.com/@yourstrulyxo1/video/7047933054597287174?lang=en,58,2,1,896
seriouslyquisha,6784940908582700038,6958275044803890438,when that edible kick in 🥴 #ediblehigh #fyp,2021-05-03 20:41:03,15,https://www.tiktok.com/@seriouslyquisha/video/6958275044803890438?lang=en,22,0,3,242
blueeyedbandit76,6771210286650508294,7055019819422207279,#Ediblehigh why the the letter W starts with a D lol say the letter out loud tell me im lieing lmfao,2022-01-19 12:40:06,15,https://www.tiktok.com/@blueeyedbandit76/video/7055019819422207279?lang=en,22,4,1,378
evaontiveros4,6634642248778645509,7022466917772414213,#ladiestripbelike #whosthere #almostleaving #doggetsout #liquorfoodrun #drinkup #ediblehigh #coloradogirl #sleepover,2021-10-23 20:18:14,16,https://www.tiktok.com/@evaontiveros4/video/7022466917772414213?lang=en,14,0,0,353
illmason82,6980000645609391109,7071866143006379306,#comedy #redeyes #highaf #ediblehigh #tohigh #thchigh #weededibles,2022-03-05 22:12:27,11,https://www.tiktok.com/@illmason82/video/7071866143006379306?lang=en,10,2,1,814
vidalocamadre,6863190931349832710,7058122822664703279,#ediblehigh #elfitup #rufflesownyourridges #foryoupage #momsoftiktok #818valley #drgreenthumb #candycandy #fyp,2022-01-27 21:21:21,8,https://www.tiktok.com/@vidalocamadre/video/7058122822664703279?lang=en,7,0,1,268
sharsimoneee,6966930376483750917,7066678345840495918,#pinata #ediblehigh happy birthday Reshma!!!!,2022-02-19 22:41:09,60,https://www.tiktok.com/@sharsimoneee/video/7066678345840495918?lang=en,6,0,0,588
aaliea.j,6784224829887038469,7100009499007733035,#ediblehigh #fyp #foryourpage #foryou #ondagangnem #viral,2022-05-20 19:23:04,15,https://www.tiktok.com/@aaliea.j/video/7100009499007733035?lang=en,12,0,0,178
c137mr,6657711795196133382,6979863363669003525,🫂that warm embrace🫂 #ediblehigh #muleshine #cod #callofduty #modernwarfare #tigerblood,2021-07-01 00:54:50,42,https://www.tiktok.com/@c137mr/video/6979863363669003525?lang=en,5,0,0,247
blazin_honey,6789061403402060805,7086623141216210219,#fyp #viral #foryou #ediblehigh #asain #ye #monster #cloud9,2022-04-14 17:37:08,15,https://www.tiktok.com/@blazin_honey/video/7086623141216210219?lang=en,3,0,0,1101
crownnobl3,6786642789003412486,6812341409845136645,How high am I? #fyp #ediblehigh,2020-04-05 14:23:57,5,https://www.tiktok.com/@crownnobl3/video/6812341409845136645?lang=en,2,0,0,148
solarflarekid,6813054273744569349,6926688984886168837,Magic butter at work baby 😍😍😍 #smoreplease #ediblehigh #greenbutter #oreganotiktok #ouidtok🍃🍃 #TurboTaxLivePick6 #PepsiHalftimeChallenge #foodie,2021-02-07 16:51:07,15,https://www.tiktok.com/@solarflarekid/video/6926688984886168837?lang=en,66,4,0,837
jowjowshiro,6810543430763856902,7135303815149997355,How liquid edible made me feel the other day🙆🏽‍♀️🙆🏽‍♀️🙆🏽‍♀️🙆🏽‍♀️  yoooohhh!!!  I didn’t even take myself to bed😅😅😅😅😅 #naskiawahchallenge #ediblehigh #kenyantiktok #JOAN #fyp,2022-08-23 22:03:04,15,https://www.tiktok.com/@jowjowshiro/video/7135303815149997355?lang=en,16,1,0,264
necka_nik555,6916959116041094149,7123373378534116650,#ediblehigh #viral,2022-07-22 18:26:51,5,https://www.tiktok.com/@necka_nik555/video/7123373378534116650?lang=en,10,0,1,181
vibewith_eliza,6808593612852528133,7133084200072187179,My fault gang 😂😂😂@tati💍@Eliza Brown #DoritosDareToBeBurned #fyp #fypage #ediblehigh #viral #viraltiktok #vir #eliza  ,2022-08-17 22:30:02,22,https://www.tiktok.com/@vibewith_eliza/video/7133084200072187179?lang=en,9,0,2,108
bigbeastnopuppies,6894686918501336070,7003143723575954694,#Fyp #ForYou #EdibleHigh #3stepChallenge,2021-09-01 18:34:22,15,https://www.tiktok.com/@bigbeastnopuppies/video/7003143723575954694?lang=en,8,0,0,715
x.deadboi,6775304351198331909,7043530532600171782,I ate an edible and im smacked #ediblehigh #schmacked,2021-12-19 13:35:48,14,https://www.tiktok.com/@x.deadboi/video/7043530532600171782?lang=en,2,0,0,32
msloyalty00,6835615318695724037,6939149102756285701,#foryoupage #tripping #netflix #ediblehigh,2021-03-13 06:42:35,48,https://www.tiktok.com/@msloyalty00/video/6939149102756285701?lang=en,1,0,0,81
lovefoodk2020,7088503533935264810,7115659595418242346,#latenights #viral #bfffl #ediblehigh #FNF 😂😂,2022-07-01 23:33:29,15,https://www.tiktok.com/@lovefoodk2020/video/7115659595418242346?lang=en,7,0,0,9
