video_id,video_timestamp,video_length,video_title,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_fn,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount
7124382759526599978,2022-07-25T11:43:46,15,so guess who's going on break because of another somewhat traumatic experience? #fypシ #vent #dontdodrugs #minor #ediblegummy #ididntknow #fypp #rant #digitalart #iwasscared #fypage #fypシ゚viral,US,37600,111,121,100200,so guess who's going on break because of another somewhat traumatic experience? #fypシ #vent #dontdodrugs #minor #ediblegummy #ididntknow #fypp #rant #digitalart #iwasscared #fypage #fypシ゚viral,False,m1lkbunniee_video_7124382759526599978.mp4,kitaesun,↷: ❝ 𝐄𝐋𝐈𝐇𝐀𝐒 ❞,141000,142,4400000,263,75900
7086848927844125998,2022-04-15T08:13:18,15,Once that bad boy kicks in I’m ✨GOLDEN✨#fupシ #fyp #viral #ediblegummy #socialanxiety #anxiety #anxietyrelief #shmokersonly #shmokertok #shmokerthings #funny #4U #follow #trendingsound,US,1341,97,76,26700,Once that bad boy kicks in I’m ✨GOLDEN✨#fupシ #fyp #viral #ediblegummy #socialanxiety #anxiety #anxietyrelief #shmokersonly #shmokertok #shmokerthings #funny #4U #follow #trendingsound,False,demitrianna_video_7086848927844125998.mp4,demitrianna,D E M I T R I A N N A,7860,2618,80700,770,55700
7027104205609569583,2021-11-05T08:13:18,15,I can’t be the only one #ediblegummy #JustDanceWithCamila #comedy #lgbt #lesbiantiktok🌈 #pansexuał #high,US,749,42,124,9930,I can’t be the only one #ediblegummy #JustDanceWithCamila #comedy #lgbt #lesbiantiktok🌈 #pansexuał #high,False,queenaries0325_video_7027104205609569583.mp4,queenaries0325,Aries Queen,23200,6927,408500,1728,47300
7064206714463358255,2022-02-13T06:49:58,17,lol I hope he learned his lesson when it comes to eating things. haha little turd #dogsofttiktok #ediblegummy #ilovemydogs  #gothigh #fyp,US,141,18,6,6123,lol I hope he learned his lesson when it comes to eating things. haha little turd #dogsofttiktok #ediblegummy #ilovemydogs  #gothigh #fyp,False,stephanie_amber1112_video_7064206714463358255.mp4,stephanie_amber1112,Stephanie Schopieray,1912,4180,554,26,20200
7065720403544558895,2022-02-17T08:43:51,85,#whenthegummieskickin #thc #high #fyp #finelikewine #puertorico,US,135,15,11,4866,#whenthegummieskickin #thc #high #fyp #finelikewine #puertorico,False,nats_house_video_7065720403544558895.mp4,nats_house,Natshouse,2111,579,23700,68,1136
7091379912237501739,2022-04-27T13:15:50,5,How would they know? 😂 #tsacheck #tsa #ediblegummy #foryou #traveltiktok,US,379,7,7,4445,How would they know? 😂 #tsacheck #tsa #ediblegummy #foryou #traveltiktok,False,lostboytaylor_video_7091379912237501739.mp4,lostboytaylor,Taylor Mendiola,26900,74,321900,376,54100
7087933983140547886,2022-04-18T06:23:54,41,When they ate my whole pack of edible gummies 🤣😂😂 #fyp #ediblegummy #mybestfriend #mybestfriends #high #highasf #foryourpage #funnymoments #makingmemories,US,134,5,7,4301,When they ate my whole pack of edible gummies 🤣😂😂 #fyp #ediblegummy #mybestfriend #mybestfriends #high #highasf #foryourpage #funnymoments #makingmemories,False,candiaplred_video_7087933983140547886.mp4,candiaplred,CandiAplRed,91,343,177,5,1212
7109963089516203306,2022-06-16T15:08:03,26,#stitch with @gayonsaturday_ them things get you if youre not ready for it. Different kinda high 😂 #AmazonMusicProudHeroes #ediblegummy #iwasntready,US,264,11,24,4044,#stitch with @gayonsaturday_ them things get you if youre not ready for it. Different kinda high 😂 #AmazonMusicProudHeroes #ediblegummy #iwasntready,False,mylawknee_video_7109963089516203306.mp4,mylawknee,Lani,41600,1032,143700,149,8536
7097035056274836778,2022-05-12T19:00:41,15,Oops🍃💨 I’m sober tho. #smoke #ediblegummy #relatable #sober #smokersunite #smokefree #fyp #foryou #funny #funnyvideo #oops #viralvideo #viral #blowthisup,US,292,3,25,3603,Oops🍃💨 I’m sober tho. #smoke #ediblegummy #relatable #sober #smokersunite #smokefree #fyp #foryou #funny #funnyvideo #oops #viralvideo #viral #blowthisup,False,rivkah143_video_7097035056274836778.mp4,rivkah143,Rivkah❤️,7245,526,19800,149,9078
7082754932629081386,2022-04-04T07:26:31,68,Back with another review of medical gummies 😎 #ediblegummy #medicalmarijuana #fyp #fypシ #medicalthc #IL #illinois #chicago #asmr #ediblereview   #Chicago #asmr #trending #butterflyinthesky,US,70,0,3,3707,Back with another review of medical gummies 😎 #ediblegummy #medicalmarijuana #fyp #fypシ #medicalthc #IL #illinois #chicago #asmr #ediblereview   #Chicago #asmr #trending #butterflyinthesky,False,cheybeckk_video_7082754932629081386.mp4,cheybeckk,Chey Beckk,724,614,3108,129,13000
7091319024088304938,2022-04-27T09:19:34,6,I was very much not okay and i had to go to la escuela the next day #ediblegummy #trend #school,US,206,5,1,3474,I was very much not okay and i had to go to la escuela the next day #ediblegummy #trend #school,False,kmalynnj_video_7091319024088304938.mp4,kmalynnj,KATIEEEE,49,129,1754,14,92100
7094251439513455918,2022-05-05T06:58:50,5,Sometimes you have to roll down a hill when you’re feeling it. 💯#sometimesyougotta #rollingpanda  #whenthegummieskickin #easygoing,US,322,29,269,3165,Sometimes you have to roll down a hill when you’re feeling it. 💯#sometimesyougotta #rollingpanda  #whenthegummieskickin #easygoing,False,mykey4real_video_7094251439513455918.mp4,mykey4real,Mikey,20000,9541,209300,152,96300
7092949198299073835,2022-05-01T18:45:28,15,Michigan lake flashbacks 😅 #lipsync #ediblegummy #fyp #fypシ #allten,US,362,21,5,3004,Michigan lake flashbacks 😅 #lipsync #ediblegummy #fyp #fypシ #allten,False,velvetdawnlunsford_video_7092949198299073835.mp4,velvetdawnlunsford,Velvet Dawn Lunsford,1007,100,3585,66,4019
7007586285011422469,2021-09-13T17:53:46,32,#ediblegummy  #Pennsylvania,US,31,1,2,2724,#ediblegummy  #Pennsylvania,False,robertwhitten0_video_7007586285011422469.mp4,robertwhitten0,THAT GUY,46300,700,1300000,765,5929
7054008246746795310,2022-01-16T19:14:41,30,#whenthegummieskickin #icantunderstandyou  judging living our best lives! Hahah,US,79,23,8,1974,#whenthegummieskickin #icantunderstandyou  judging living our best lives! Hahah,False,nickicoontz_video_7054008246746795310.mp4,nickicoontz,Nicki Coontz,15600,1750,836600,327,27600
7078764911656045866,2022-03-24T13:23:11,30,#ediblegang #ediblegummy #OscarsAtHome #LizzosBigGrrrls #WomenOwnedBusiness #AEMembersAlways #tiktok #ifollowback #over40 #blackgirltiktok #over40club #fyp #momsoftiktok #fypシ #blackgirlmagic  #over40club #houston #tiktoker #ediblefoodcravings,US,199,17,48,1714,#ediblegang #ediblegummy #OscarsAtHome #LizzosBigGrrrls #WomenOwnedBusiness #AEMembersAlways #tiktok #ifollowback #over40 #blackgirltiktok #over40club #fyp #momsoftiktok #fypシ #blackgirlmagic  #over40club #houston #tiktoker #ediblefoodcravings,False,chyseven25_video_7078764911656045866.mp4,chyseven25,Chimira Jenee,2832,2465,7155,52,1525
6967178390163983622,2021-05-27T20:30:34,12,#stayinguplate #whenthegummieskickin #18plusonly,US,46,24,3,1477,#stayinguplate #whenthegummieskickin #18plusonly,False,hispet85_heranswer69_video_6967178390163983622.mp4,hispet85_heranswer69,HisPet85,10700,7887,92000,246,34900
7022561906997103878,2021-10-24T02:26:51,149,#stitch with @smileyrena #toxicstepmom #ediblegummy,US,56,0,4,1427,#stitch with @smileyrena #toxicstepmom #ediblegummy,False,blhutch_video_7022561906997103878.mp4,blhutch,Blhutch,384,771,2253,157,17400
6965768089581489413,2021-05-24T01:18:00,14,&I’m signing off #stiizy #ediblegummy #fyp,US,66,0,8,1375,&I’m signing off #stiizy #ediblegummy #fyp,False,sassbrina_video_6965768089581489413.mp4,sassbrina,Sabrina,1914,509,12800,71,22800
7078387766601501995,2022-03-23T12:59:40,15,#whenthegummieskickin #fyp #mickeymouse,US,31,20,10,1332,#whenthegummieskickin #fyp #mickeymouse,False,teresa78n_video_7078387766601501995.mp4,teresa78n,TeresaN504,1436,530,7055,226,73
7124382759526599978,2022-07-25T11:43:46,15,so guess who's going on break because of another somewhat traumatic experience? #fypシ #vent #dontdodrugs #minor #ediblegummy #ididntknow #fypp #rant #digitalart #iwasscared #fypage #fypシ゚viral,US,37600,111,121,100300,so guess who's going on break because of another somewhat traumatic experience? #fypシ #vent #dontdodrugs #minor #ediblegummy #ididntknow #fypp #rant #digitalart #iwasscared #fypage #fypシ゚viral,False,m1lkbunniee_video_7124382759526599978.mp4,kitaesun,↷: ❝ 𝐄𝐋𝐈𝐇𝐀𝐒 ❞,141000,140,4400000,263,75900
7086848927844125998,2022-04-15T08:13:18,15,Once that bad boy kicks in I’m ✨GOLDEN✨#fupシ #fyp #viral #ediblegummy #socialanxiety #anxiety #anxietyrelief #shmokersonly #shmokertok #shmokerthings #funny #4U #follow #trendingsound,US,1341,97,76,26700,Once that bad boy kicks in I’m ✨GOLDEN✨#fupシ #fyp #viral #ediblegummy #socialanxiety #anxiety #anxietyrelief #shmokersonly #shmokertok #shmokerthings #funny #4U #follow #trendingsound,False,demitrianna_video_7086848927844125998.mp4,demitrianna,D E M I T R I A N N A,7861,2623,80800,771,55800
7027104205609569583,2021-11-05T08:13:18,15,I can’t be the only one #ediblegummy #JustDanceWithCamila #comedy #lgbt #lesbiantiktok🌈 #pansexuał #high,US,749,42,124,9932,I can’t be the only one #ediblegummy #JustDanceWithCamila #comedy #lgbt #lesbiantiktok🌈 #pansexuał #high,False,queenaries0325_video_7027104205609569583.mp4,queenaries0325,Aries Queen,23200,6927,408600,1728,47300
