user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
beasteater,223269,7023893780461849861,It’s a feeling I can’t explain 😍😩 @westcoastcure #4twenty #horrortok #dabbersdaily #worldseries #youredone #waxlife #dabbers #sarcus #0uid #0uidtikt,2021-10-27 16:35:11,13,https://www.tiktok.com/@beasteater/video/7023893780461849861?lang=en,549700,3800,3963,7700000
patient0hoes,6823164558220674054,7046913052607859974,#4twenty,2021-12-28 16:21:43,5,https://www.tiktok.com/@patient0hoes/video/7046913052607859974?lang=en,217100,4822,3724,1100000
lazydayz4200,7006784838859293702,7097629208913923374,Jus snitching on urself 😂😂 #wellthatsyou #letsplay #fyp #indianatok #st0netok #4twenty #supportsmallbusiness #xyzbca,2022-05-14 09:26:18,5,https://www.tiktok.com/@lazydayz4200/video/7097629208913923374?lang=en,138900,72,325,789200
jennauncensored,6777554400480773125,6885461738230156549,the note said I’d bring homemade infused deserts😏💨🌿 #4twenty #friendly #neighbor,2020-10-19 15:28:49,19,https://www.tiktok.com/@jennauncensored/video/6885461738230156549?lang=en,105300,155,314,566800
gemdolll,6532321668176543746,7088560410235899179,#takeaNAIRbreak #4twenty #4twentytiktok #foryoupage #fyp #viral,2022-04-19 22:54:45,11,https://www.tiktok.com/@gemdolll/video/7088560410235899179?lang=en,94300,989,1632,493600
phoebsl0l,6944160395310171141,7088985893222010118,yd wieiad #4twenty  #whatieatinaday #wieiad #wieiadedrecovery #wieiadrealistic,2022-04-21 02:25:52,69,https://www.tiktok.com/@phoebsl0l/video/7088985893222010118?lang=en,85300,91,351,500500
mr_coalman,7021969697939899398,7106519840118099206,#mrcoalman #wales #thevalleys #4twenty #coneflip,2022-06-07 08:26:32,8,https://www.tiktok.com/@mr_coalman/video/7106519840118099206?lang=en,78900,4617,2264,841500
blunteezbyraisethevibe,6795374810664993797,7132449473489571118,Handmade Multi-functional Pendant #Blunteez #onthelefthandside #glassesholder #crystals #4twenty #lavender #rose #sage #perfectgifts #etsy,2022-08-16 05:26:49,15,https://www.tiktok.com/@blunteezbyraisethevibe/video/7132449473489571118?lang=en,65800,777,574,861900
crayon.juice,6781114482665276422,7130052822304886021,Plastic stash pot for #boomtown :)) #thebiglezshow #tbls #wadiyatalkinabeet #sassythesasquash #uk #fyp #jarradwright #4twenty #art #stashjar #stashpot #smellproof,2022-08-09 18:26:32,11,https://www.tiktok.com/@crayon.juice/video/7130052822304886021?lang=en,63300,502,461,447300
vanndraws,6643594097708187653,7078825807367408939,Reply to @mypoemhub.com LASHES video now uppppp ! Omggg what y’all thinkkkk 😍❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥 #HaloSilverTeam #OscarsAtHome #LizzosBigGrrrls #WomenOwnedBusiness #AEMembersAlways #makeup #eyeshadow #arttok #artistoftiktok #bratz #fypシ #fyp #4twenty,2022-03-24 17:19:29,59,https://www.tiktok.com/@vanndraws/video/7078825807367408939?lang=en,60000,51,160,302800
