user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
joey_sarghis,6912194062555464710,7033891473825303854,#stitch with @campcanna #badtrip #triptokk #psychedelictok #710 #710community #710dabs #cannatok #cannatiktok #cannalife #4twenty #4twentyfriendly,2021-11-23 14:11:20,35,https://www.tiktok.com/@joey_sarghis/video/7033891473825303854?lang=en,56600,375,1239,376100
yourweedteacher,6865384671812846598,6868769670720163077,Each state’s current laws on cannabis part 4. #ywt #cannalaw #cannalife #education #learnontiktok #onlineschool #learn #states #yourweedteacher #foryo,2020-09-04 15:54:40,33,https://www.tiktok.com/@yourweedteacher/video/6868769670720163077?lang=en,27200,64,273,184400
everyseedcannaco,6930971925695628294,7001863426955955461,#plantsoverpills #healersnotdealers #cannatiktok #endthestigma #cannalife #oklahoma,2021-08-29 07:46:10,23,https://www.tiktok.com/@everyseedcannaco/video/7001863426955955461?lang=en,12700,747,269,83300
healings.new.name,6878719446459188229,6974088188289633541,😁 I'll be waiting! #staystoney #cannalife #reefermadness #feelgood #letmehelpyou,2021-06-15 11:24:05,87,https://www.tiktok.com/@healings.new.name/video/6974088188289633541?lang=en,8287,355,919,77200
dabgoddess.710,6837688840204059653,7020781396503432453,"They got used to who I was a year ago. It’s been a whole different vibe since then, where you been? #fyp #soberlife #cannalife",2021-10-19 07:17:33,10,https://www.tiktok.com/@dabgoddess.710/video/7020781396503432453?lang=en,5218,43,42,48300
everyseedcannaco,6930971925695628294,7016857548041014533,🌳🍪💨helps me manage my pain & mental health which is a better alternative for me & my family than💊vs nothing. Do what’s best for YOU💚#plantsoverpills #endthestigma #healersnotdealers #cannatiktok #cannafam #cannatok #cannalife,2021-10-08 17:31:00,16,https://www.tiktok.com/@everyseedcannaco/video/7016857548041014533?lang=en,3099,55,104,29900
everyseedcannaco,6930971925695628294,7007884902569987334,Let’s🍃t💨ke🌳about it! #plantsoverpills #endthestigma #healersnotdealers #cannatiktok #cannafam #cannalife #cannatok,2021-09-14 13:12:33,28,https://www.tiktok.com/@everyseedcannaco/video/7007884902569987334?lang=en,2816,27,842,27700
murderinomeow88,6768605933918012422,6990363663454555397,Opening up the comments for questions about your terp profile! What do you need cannabis to do for you? Ask all the things!! #terpenes #cannalife,2021-07-29 08:01:12,84,https://www.tiktok.com/@murderinomeow88/video/6990363663454555397?lang=en,2147,40,116,13400
desertdessertss,7055767444011451398,7056532423030541614,This girl just brought her first pack of MUNCHIEZ from out MUNCHIEZ machine!! 😅😂 #viral #food #funny #comedy #candy #cannalife #cannaladies #vending,2022-01-23 14:29:47,18,https://www.tiktok.com/@desertdessertss/video/7056532423030541614?lang=en,1850,61,67,27200
everyseedcannaco,6930971925695628294,7015587600803155205,"As always.. MAY, because everyone is different 😆💚#plantsoverpills #endthestigma #healersnotdealers #cannatiktok #cannafam #oklahoma #cannalife",2021-10-05 07:22:58,9,https://www.tiktok.com/@everyseedcannaco/video/7015587600803155205?lang=en,1804,72,45,29100
thelibraqueen1018,6803801306291471365,6880896322669497606,,2020-10-07 08:12:49,10,https://www.tiktok.com/@thelibraqueen1018/video/6880896322669497606?lang=en,1625,23,28,11300
babybibibibpd,6903399598275281921,7119615762788044038,#budtendertok#budtender#budtender_og#staysafe#stayaware#belairdirectdrivechallenge#PrimeDayDreamDeals#spooked#pleasebekind#dontbeacreep#bc#cannalife#cannalifestyle,2022-07-12 15:25:24,15,https://www.tiktok.com/@babybibibibpd/video/7119615762788044038?lang=en,998,0,50,15100
unapologetically_dory,6972990897840030725,7051776332614896943,#hernando #scaredofnothing #painmanagement #chronicillness #laughingatlife #disabilitytiktok #cannafriends #cannalife #laughingatlife #enchanto #pain,2022-01-10 18:53:43,5,https://www.tiktok.com/@unapologetically_dory/video/7051776332614896943?lang=en,963,10,4,3470
doobieden,6926326461801137158,6982287156450495745,#tockletrunch #42ocontentcreator #tiktoke #stoneyladies420 #puffpuffpass #cannalife #highlyliftedhomies,2021-07-07 13:40:17,9,https://www.tiktok.com/@doobieden/video/6982287156450495745?lang=en,924,7,96,3823
olivaaamichelle,6798532067358573573,7004822997525679365,,2021-09-06 07:10:48,9,https://www.tiktok.com/@olivaaamichelle/video/7004822997525679365?lang=en,799,5,65,6050
everyseedcannaco,6930971925695628294,7016423447400172806,We are cheering for ALL of you to attain your greatest quality of life💚 #plantsoverpills #healersnotdealers #endthestigma #cannatiktok #cannafam #oklahoma #cannalife,2021-10-07 13:26:29,17,https://www.tiktok.com/@everyseedcannaco/video/7016423447400172806?lang=en,759,12,34,6568
chrisricechex,7015609429492597765,7017934045854043397,"Sculpture I made and animated. Surely this can get a like, share, comment, and follow. I'm new to tiktok. #cannalife #pokesmot",2021-10-11 15:08:22,15,https://www.tiktok.com/@chrisricechex/video/7017934045854043397?lang=en,722,33,72,3169
mevmenz,6768608894002004997,6853529427326913798,,2020-07-25 14:14:30,8,https://www.tiktok.com/@mevmenz/video/6853529427326913798?lang=en,716,15,15,4552
witchbythebay,6823353239778542598,6976785266040261893,,2021-06-22 17:50:08,8,https://www.tiktok.com/@witchbythebay/video/6976785266040261893?lang=en,699,3,15,3569
everyseedcannaco1,6980104788415644678,7007203052021091589,"Our main account is banned, looking for our🍃canna💚friends🌳#plantsoverpills #endthestigma #oklahoma #cannatiktok #cannafam #cannalife #cannatok #healersnotdealers",2021-09-12 17:06:38,15,https://www.tiktok.com/@everyseedcannaco1/video/7007203052021091589?lang=en,639,8,55,5396
everyseedcannaco,6930971925695628294,7008623587141733637,"We love you all, friends 🍃💚#plantsoverpills #endthestigma #oklahoma #healersnotdealers #cannatiktok #cannafam #cannalife",2021-09-16 12:59:02,15,https://www.tiktok.com/@everyseedcannaco/video/7008623587141733637?lang=en,620,2,22,6778
everyseedcannaco,6930971925695628294,6980337720979737862,,2021-07-02 07:35:29,11,https://www.tiktok.com/@everyseedcannaco/video/6980337720979737862?lang=en,614,8,45,4644
everyseedcannaco,6930971925695628294,7001227675473906949,Reply to @ericadenyse learn your terp profile with us💚live tomorrow night 8pm #cannatiktok #plantsoverpills #healersnotdealers #cannalife #oklahoma,2021-08-27 14:39:07,16,https://www.tiktok.com/@everyseedcannaco/video/7001227675473906949?lang=en,602,38,34,5954
everyseedcannaco,6930971925695628294,7011337139770182917,#plantsoverpills #endthestigma #oklahoma #healersnotdealers #cannatiktok #cannafam #cannalife,2021-09-23 20:29:01,17,https://www.tiktok.com/@everyseedcannaco/video/7011337139770182917?lang=en,569,8,33,3966
dabbaabbadoo,6928749910884172806,7108734353001205038,Where’s my vape? 💚 #cannatok #wheresmyvape #fyp #fypage #cannalife #herblife #cannatoker #budtenderlife #blondeshavemorefun #hotmomsummer #summer,2022-06-13 07:39:56,7,https://www.tiktok.com/@dabbaabbadoo/video/7108734353001205038?lang=en,566,1,4,8878
everyseedcannaco,6930971925695628294,6975939424160926981,,2021-06-20 11:07:49,10,https://www.tiktok.com/@everyseedcannaco/video/6975939424160926981?lang=en,563,44,42,9184
everyseedcannaco,6930971925695628294,7017232626297736454,#plantsoverpills #endthestigma #healersnotdealers #cannatiktok #cannalife #cannafam #oklahoma,2021-10-09 17:46:30,7,https://www.tiktok.com/@everyseedcannaco/video/7017232626297736454?lang=en,559,22,14,6649
