user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
1miraclebailey,6902106900378895366,6994825120963415301,Pink Panties Pizza got me in my feels 🥰💚#detroitpizza #detroitfoodie #thingstodoindetroit #cannatok #bestpizzaindetroit,2021-08-10 08:33:56,18,https://www.tiktok.com/@1miraclebailey/video/6994825120963415301?lang=en,75700,6830,1072,739100
lilbbygg,6757869888750404614,6964278972918074630,#fyp #Squintz #Cannatok,2021-05-20 00:59:31,15,https://www.tiktok.com/@lilbbygg/video/6964278972918074630?lang=en,58600,174,252,301300
joey_sarghis,6912194062555464710,7033891473825303854,#stitch with @campcanna #badtrip #triptokk #psychedelictok #710 #710community #710dabs #cannatok #cannatiktok #cannalife #4twenty #4twentyfriendly,2021-11-23 14:11:20,35,https://www.tiktok.com/@joey_sarghis/video/7033891473825303854?lang=en,56600,375,1239,376100
dat.dabbin.dude,6875020670713218054,7046944676431039791,#foryoupage #fyp #4u #foryou #cannatok #tiktoke #felontok #prisontok,2021-12-28 18:24:26,21,https://www.tiktok.com/@dat.dabbin.dude/video/7046944676431039791?lang=en,47700,6818,684,723800
joey_sarghis,6912194062555464710,7091751346705157419,#triptokk#trippytok#psychedelictok #psychedelic#trippyvibes#trippingballs #psychonaut#psychonauts#cidtok #mushtok#cannatok#cannatiktok #luciddream#luciddreams#dreamtok #luciddreaming#weirddream#trippy,2022-04-28 13:17:12,6,https://www.tiktok.com/@joey_sarghis/video/7091751346705157419?lang=en,43900,404,1749,225400
comegethighwithus,6986184447285216261,7037149370537528582,You know you’re an introvert when 😂 #high #😶‍🌫️ #stonetok #🍃💨 #cannatok #hightiktok #pot #puffpuffpass💨 #cannatiktok #introvert,2021-12-02 08:53:38,14,https://www.tiktok.com/@comegethighwithus/video/7037149370537528582?lang=en,36600,1119,680,170000
mysticscrochet,7066677585929749551,7108887106252164398,3/3 Restock June 17th! 🌸 #hippietok #cottagecore #crochetplushie #crochetplush #stashjar #squishtok #cannatok #witchytok,2022-06-13 17:32:41,9,https://www.tiktok.com/@mysticscrochet/video/7108887106252164398?lang=en,28300,350,278,151800
cannabichem,6920776190743561222,6977490812489698565,plot twist @miyabephd and I are friends… and clearly not actors 😹 #decarb #cannatok #420education,2021-06-24 15:28:00,10,https://www.tiktok.com/@cannabichem/video/6977490812489698565?lang=en,26000,231,269,241000
ciarahempseed,6926704505204507653,6940410506100395269,✨ I mean everyone knew✨ #herstory #canada #bc #vancouver #canadianproblems #trauma #traumatized #cannatok #yvr,2021-03-16 17:17:29,11,https://www.tiktok.com/@ciarahempseed/video/6940410506100395269?lang=en,21000,279,540,300100
badbabatunde,6596191141690179589,7056349709656427781,Don't ask eh such eh silly Questions eh 😴 #cannafam #cannatok #4twentyfriendly #4twenty #itshightimes #hightimes #🍃 #💚,2022-01-23 02:40:46,12,https://www.tiktok.com/@badbabatunde/video/7056349709656427781?lang=en,17700,532,205,171700
imcannabaetae2.0,6999296464020177925,7095871418751094059,What’s life like over there? All unmedicated and what not?! 😂🥴 #fyp #cannatok #roundofapplause #science #americanidol,2022-05-09 15:45:10,15,https://www.tiktok.com/@imcannabaetae2.0/video/7095871418751094059?lang=en,16100,753,1599,111900
everyseedcannaco,6930971925695628294,6958035340024122630,,2021-05-03 05:10:52,13,https://www.tiktok.com/@everyseedcannaco/video/6958035340024122630?lang=en,15700,663,138,213000
cannacowb0y,6794070195881493510,7077629876466945282,The best wait to unwind after a long week 🤠 #youknowmesowell #fourtwenty #bakedtok #cannatok #cannafam #🍃 #🍃🍃 #🍃tiktok #🍃tok #🍃humor #wakenbake #🍃💨 #smoketok #seshtok #fourtwentyfriendly #sesh #cannahumor #🍃friendly,2022-03-21 11:58:40,7,https://www.tiktok.com/@cannacowb0y/video/7077629876466945282?lang=en,15100,216,110,86000
lostitlongago,6841316543063360517,7049895134606937346,Cannatalk Ep.2: What products are available #cannatalk #australia #aussie #aussietiktok #cannatok #medicaltiktok,2022-01-05 17:13:44,63,https://www.tiktok.com/@lostitlongago/video/7049895134606937346?lang=en,11300,178,373,117500
odmeister,6624045111146659846,7082675350752300289,Its the truth #fyp #cannatok #joke,2022-04-04 02:17:43,10,https://www.tiktok.com/@odmeister/video/7082675350752300289?lang=en,10900,515,216,92400
lostitlongago,6841316543063360517,7074877883801472257,CANNATALK: Accessing your medicine #cannatalk #medical #aussie #aussietiktok #australia #alternativemedicine #cannatok #education #alternaleaf,2022-03-14 01:59:33,43,https://www.tiktok.com/@lostitlongago/video/7074877883801472257?lang=en,10800,610,407,141900
badbabatunde,6596191141690179589,7058984296958201094,Hit the + for more 💩 like this!  #reshoot #hightimes #itshightimes #cannatok #4twentyfriendly #4twenty #🍃 #🍃💨,2022-01-30 05:04:18,8,https://www.tiktok.com/@badbabatunde/video/7058984296958201094?lang=en,10800,274,196,149100
iwishitwassunday,6917372148689929222,6998153790213885190,Dancing is not my thing.. #fypシ #friends #cannatok #highcommunity #nc #harrypotter #weirdtok,2021-08-19 07:50:52,15,https://www.tiktok.com/@iwishitwassunday/video/6998153790213885190?lang=en,10400,28,805,45000
tiredmom.com,6515808392789890048,6963666352573877509,do yall watch my tiktoks?! #lmk  #SpotlightAPI #newfriends #cannatok #ohiocheck #sayhigh #breakfastrecipes,2021-05-18 09:22:02,15,https://www.tiktok.com/@tiredmom.com/video/6963666352573877509?lang=en,8621,134,395,88800
cannacowb0y,6794070195881493510,7083230633534704898,Always makes the situation positive somehow 🤣 #fourtwenty #bakedtok #🍃tok #🍃tiktok #🍃 #🍃🍃 #cannatok #🍃humor #cannafam #wakenbake #smoketok #seshtok #fourtwentyfriendly #sesh #🍃friendly #cannahumor #t0kelikeagirl,2022-04-05 14:12:30,6,https://www.tiktok.com/@cannacowb0y/video/7083230633534704898?lang=en,8533,76,111,59300
cannacowb0y,6794070195881493510,7081000562317085954,It makes everything a lil more fun 🤠 #fourtwenty #bakedtok #cannatok #cannafam #🍃 #🍃🍃 #🍃tiktok #🍃tok #🍃humor #wakenbake #🍃💨 #smoketok #fourtwentyfriendly #cannahumor #🍃friendly #sesh #seshtok #t0kelikeagirl,2022-03-30 13:58:40,8,https://www.tiktok.com/@cannacowb0y/video/7081000562317085954?lang=en,8540,92,75,59500
