user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
vivienne131313,6829147137633436677,7114591429690772737,they are happy and safe ya’ll ❤️😩 #catsoftiktok #cat #cats #cattok #catlover #funnycat #funnycats #funnycatsoftiktok #high #fourtwenty #veterinarian #catlovers #kitten #kittens #kittensoftiktok #cutecat #cutecats,2022-06-29 02:28:28,24,https://www.tiktok.com/@vivienne131313/video/7114591429690772737?lang=en,4700000,202600,26200,19700000
httpswhyuu.u,6532700461148143618,7103850613481491738,#fourtwenty #fourtwentymusic #fourtwentyquotes #mangu #konser  “jangan ketergantungan kawan”,2022-05-31 03:48:31,16,https://www.tiktok.com/@httpswhyuu.u/video/7103850613481491738?lang=en,861900,61900,2363,10500000
subideos,7106486384877339654,7122608196115647750,#beetlejuice #entrevista #fourtwenty #cuatroveinte,2022-07-20 16:57:35,35,https://www.tiktok.com/@subideos/video/7122608196115647750?lang=en,351100,5579,768,3900000
cprcrntzy,6809042511203828741,7102837938337090843,kau pantas dapatkan yang baik didunia #rumahkerumah #collaboration #hindia #feast #arilesmana #fourtwenty #evaluasi #evakuasi #menaridenganbayangan #m3 #apapunyangterjadi #membasuh,2022-05-28 10:18:50,171,https://www.tiktok.com/@cprcrntzy/video/7102837938337090843?lang=en,209600,7722,1288,1800000
moximoments,6644859264266649606,7088715753863580934,Boy was FADED😳😭 (via @Louisthehuskyy) #fourtwenty #blazing #huskiesoftiktok #oopsie #highasf,2022-04-20 08:57:33,20,https://www.tiktok.com/@moximoments/video/7088715753863580934?lang=en,186200,8194,1235,1200000
collegehumor,6690997762961507334,7016010967666429189,Now about those sandwiches though… #sketch #comedy #pot #collegehumor #relatable #fourtwenty,2021-10-06 10:45:50,64,https://www.tiktok.com/@collegehumor/video/7016010967666429189?lang=en,174700,2242,979,758000
jamie.wav,6882871444767425538,7009732685174213894,There is NO other option #st0nedontiktok #fourtwenty #subway #fyp #viral,2021-09-19 12:42:53,9,https://www.tiktok.com/@jamie.wav/video/7009732685174213894?lang=en,330700,17500,1300,2200000
iangott207,6615199030497312774,7055108348554972462,how it went for me #CloseYourRings #boostofhope #fyp #ArbysDiabloDare #fourtwenty,2022-01-19 18:23:38,5,https://www.tiktok.com/@iangott207/video/7055108348554972462?lang=en,150100,4948,1861,1700000
bungibal,6789293393773921282,7131049417033010458,hampir kecewa penonton wak #fourtwenty #jogja #fourtwentymusic #goodday,2022-08-12 10:53:58,92,https://www.tiktok.com/@bungibal/video/7131049417033010458?lang=en,144800,674,371,1400000
_ccpavez_,172305315676336128,7066902864156691718,Celu al agua y todo😳🤪 #aka #ak420 #tota #fourtwenty #siemprefine #chile #talca #fyp #parati #viral,2022-02-20 13:12:23,89,https://www.tiktok.com/@_ccpavez_/video/7066902864156691718?lang=en,144000,489,234,992100
