user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
badbabatunde,6596191141690179589,7038913296992439557,💚Breaker #BIGASYOOX #shmoke #42ofyp #42ofriendswelcome #hightimes #fourtwentyoclock #fourtwenty #shmokewithme #🍃 #💚,2021-12-07 02:58:36,8,https://www.tiktok.com/@badbabatunde/video/7038913296992439557?lang=en,68500,2353,564,1400000
badbabatunde,6596191141690179589,7040398806243953925,Pray for us 🥶 #hightimes #42ofyp #fyp #fourtwentyoclock #prayforus,2021-12-11 03:03:08,15,https://www.tiktok.com/@badbabatunde/video/7040398806243953925?lang=en,6599,442,285,52200
wastedxyouth,298442052730634240,6924572691089362182,jesus loves you #🔌🍃 #fourtwentyoclock,2021-02-01 23:59:19,11,https://www.tiktok.com/@wastedxyouth/video/6924572691089362182?lang=en,3681,8,39,11300
blind_momofboys,6763010450952848389,7083258318470286638,#blindmomofboys #club #fourtwentyoclock,2022-04-05 15:59:54,22,https://www.tiktok.com/@blind_momofboys/video/7083258318470286638?lang=en,2558,4,132,32100
doobieannbeauty,6731961206490465286,7102946651538525486,Bigger Blessings!!💙💙 #biggerhoopsbiggerblessings #foryoupage #fyp #doobieannbeauty #parati #womenownedbusiness #supportsmallbiz #fourtwentyoclock #paratipage #thebiggerthehoopthebiggertheblessings,2022-05-28 17:20:41,10,https://www.tiktok.com/@doobieannbeauty/video/7102946651538525486?lang=en,2348,44,40,31100
puffythabody,7072424689339876398,7111461457929194794,do you go on solo dates? its necessary self care! 🎬 #moviesforone #movies #doctorstrangeinthemultiverseofmadness #mcdonalds #tanqueray #imsuchagoodtime #ihadpeachringstoo #daydrinking #letsgoviral #letsgogirls #fyp #foryoupage #fourtwentyoclock,2022-06-20 16:02:29,60,https://www.tiktok.com/@puffythabody/video/7111461457929194794?lang=en,2071,10,25,12300
jeriqthehustler,7024810618247185413,7088657573108354309,#happyfourtwenty #fourtwenty #fourtwentymusic #fourtwentyoclock #jeriq #zoro #nomorenleka,2022-04-20 05:11:48,14,https://www.tiktok.com/@jeriqthehustler/video/7088657573108354309?lang=en,2000,54,48,22200
celestemelody,6924103098014598150,7105803674349341994,#LOL #sofunny #DementiaDad remembers #fourtwentyoclock 😆 #oldhippiesneverdie #fourtwenty😎  #dementia #dementiacare #hesocute #bing #fourtwentydad #fourtwenty #disabilitypride #funny #haha  #plantmedicine,2022-06-05 10:07:24,29,https://www.tiktok.com/@celestemelody/video/7105803674349341994?lang=en,1022,10,49,9542
noklayev,6752219513750062086,7067555093326875906,they don't think I'd figure it out 💀 #xyzbca #fourtwnty #fourtwentyfriendly #fourtwentyoclock,2022-02-22 07:23:22,5,https://www.tiktok.com/@noklayev/video/7067555093326875906?lang=en,745,7,12,15000
shotime_q,6725521174472688645,7085044675110898990,Man how tables turn #fyp #shotimeq #follow #like #share #runitup #smoketok #fourtwentyoclock,2022-04-10 11:31:53,15,https://www.tiktok.com/@shotime_q/video/7085044675110898990?lang=en,551,2,14,3549
lily_anne.x,6791013810284282885,7124564559372750086,Choosing violence this morn 🤗#becauseican #becausethisismylife #fourtwentyfriendly #fourtwentyoclock #420girl4life #fyp #NatWestWhatYouWaitingFor,2022-07-25 23:29:23,6,https://www.tiktok.com/@lily_anne.x/video/7124564559372750086?lang=en,422,0,16,5502
doobieannbeauty,6731961206490465286,7102647332402908459,Blue anyone?? #fyp #foryoupage #doobieannbeauty #parati #womenownedbusiness #supportsmallbiz #fourtwentyfriendly #fourtwentyoclock,2022-05-27 21:59:13,11,https://www.tiktok.com/@doobieannbeauty/video/7102647332402908459?lang=en,401,4,32,2909
calleykush,6763891116241896453,7085554863681178922,Anybody else enjoy le 🍃0u!d🍃 combos?? They’re twice as nice #fourtwenty #fourtwentyoclock #st0nerontiktok,2022-04-11 20:31:42,5,https://www.tiktok.com/@calleykush/video/7085554863681178922?lang=en,384,1,7,4593
badbabatunde,6596191141690179589,7041476279920545029,Sounds deeeeecent! I'll take a Q! #shmokewithme #cannafamily🌿 #fourtwentyoclock #hightimes #🍃 #💚 #,2021-12-14 00:44:18,8,https://www.tiktok.com/@badbabatunde/video/7041476279920545029?lang=en,339,4,3,4662
badbabatunde,6596191141690179589,7040467426093354246,and I'd get the boosters and the booster back ups as long as its on point! 🤡  #cannafamily🌿 #fourtwentyoclock #42ofyp #fyp #🍃 #💚,2021-12-11 07:29:23,5,https://www.tiktok.com/@badbabatunde/video/7040467426093354246?lang=en,295,6,10,5386
_17_dgtlprncss_,7020758161598759942,7138130970464750894,Yeah! #GenX50s #aginggracefullyihope #GenerationX #Birthday #ReTokforNature #Mama #GiGi #Patriot #ConservativeWoman #fourtwentyoclock ,2022-08-31 12:53:51,26,https://www.tiktok.com/@_17_dgtlprncss_/video/7138130970464750894?lang=en,307,0,73,1536
doobieannbeauty,6731961206490465286,7106933605120740651,Are you dumb!🤣🤣 #allmen #foryoupage #fyp #doobieannbeauty #foryoupage #fourtwentyoclock #paratipage #parati #supportsmallbiz #fourtwentyfriendly,2022-06-08 11:12:07,18,https://www.tiktok.com/@doobieannbeauty/video/7106933605120740651?lang=en,289,5,20,1738
scorpianqueen24,6747052854425502726,7072298588314897707,😮‍💨😮‍💨😮‍💨 #abow #fypdoesntwork #goofy #wheed #fourtwentyoclock #blurnts,2022-03-07 02:10:40,5,https://www.tiktok.com/@scorpianqueen24/video/7072298588314897707?lang=en,268,0,0,1220
abiscannabis,6804177903396832262,7065837925514136878,A little cumbia to soothe my soul yesterday 💚 #puracumbia #chicanatok #indigenousbaddies #fourtwentyoclock #plantmedicines #iztapalaparifa #soulsoothing #nikecortezclassics,2022-02-17 16:19:53,15,https://www.tiktok.com/@abiscannabis/video/7065837925514136878?lang=en,478,0,15,3505
x_jadv_x,6777081204404814853,7088717513588002094,Take hit for me 🗣💨💚 #420 #fourtwentyfriendly #fourtwentyoclock #puffpuffpass💨 #april20 #trending,2022-04-20 09:04:23,12,https://www.tiktok.com/@x_jadv_x/video/7088717513588002094?lang=en,225,0,2,849
happygaljess,7066539880911078446,7094010322503257390,My all time two favorite words! #💚💨🍃 #cannajokes #cannaposts #💚💨fam #💨🍃💚 #🍃💨friendly #cannahumor #cbdforlife #maryjanefriendly #💚💨😎 #🍃💨💨 #cannafam💚🌿 #cannafriends💚 #californiaforall #fourtwentyoclock,2022-05-04 15:23:10,5,https://www.tiktok.com/@happygaljess/video/7094010322503257390?lang=en,215,4,17,3960
