user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
lilaspeach,93651826356473856,7073928118381104390,😏✨ #monaco #monacolife #luxurylifestyle #motivation #success #lifestyle #millionnaire #luxury #highlife #nightlife #vibe #night,2022-03-11 11:33:58,8,https://www.tiktok.com/@lilaspeach/video/7073928118381104390?lang=en,2100000,56400,61200,12200000
_aabae,6805994191081735174,6980020836279291141,Stop Smoking 🥴 #HotwireHotelGoals #fy #embarrased #fypシ #funnyy #highlife #potheads,2021-07-01 11:05:47,16,https://www.tiktok.com/@_aabae/video/6980020836279291141?lang=en,645000,1243,716,3800000
fangirlsociety,6810569041016112133,7006832877132451077,rob & his goddaughter scarlett (also his costar in High Life) #robertpattinson #highlife #twilight #thebatman,2021-09-11 17:10:10,11,https://www.tiktok.com/@fangirlsociety/video/7006832877132451077?lang=en,545800,4017,2161,3800000
nomoredirtyroofs,6680143483514143749,6684205690916965638,#powerwash #highlife #nomoredirtyroofs #doityourself #sickcleaning,2019-04-26 07:11:54,14,https://www.tiktok.com/@nomoredirtyroofs/video/6684205690916965638?lang=en,507300,4692,1283,9400000
mrclipperuk,7069538536399275013,7070823919124516102,WINDY DAY 🌬 🌬 NO PROBLEM!! 👌🏻 #foryou #clipper #tiktok #perte #foryoupage #fyp #clippers #MrClipper #MrClipperUK #Rizla #420 #HighLife #HighTimes,2022-03-03 02:48:06,10,https://www.tiktok.com/@mrclipperuk/video/7070823919124516102?lang=en,502600,19700,9926,6000000
lilaspeach,93651826356473856,7096160963287633158,Demonic r8 🖤 #luxury #luxurylife #gmk #aberrant #luxurylifestyle #motivation #success #highlife #lifestyle #supercars #car #audi #r8,2022-05-10 10:28:47,6,https://www.tiktok.com/@lilaspeach/video/7096160963287633158?lang=en,315700,7876,4255,1600000
emreveryone,6916113115339998213,6946717376629034245,Yüksek Adrenalin! Part 1 @redbullltr @gopro  /cr:Adrenaline Addiction yt/#adrenaline #pov #insane #highlife #adrenalin #goprovideo,2021-04-02 17:11:22,60,https://www.tiktok.com/@emreveryone/video/6946717376629034245?lang=en,307600,4197,251,3000000
johnnynandez,6714456925830726662,6964218968630496517,Buddy was high asf #fyp #foryoupage #highlife #funnyy #viral,2021-05-19 21:06:33,10,https://www.tiktok.com/@johnnynandez/video/6964218968630496517?lang=en,298200,7191,2193,1600000
_keyanimason,6767926508201051142,6901886326858173701,Lmaooo should I do another one? I have a lot more. #fyp #foryou #foryoupage #CashAppInBio #HomeCooked #GiftOfGame #relatable #highlife,2020-12-02 20:44:42,13,https://www.tiktok.com/@_keyanimason/video/6901886326858173701?lang=en,289900,6107,2300,1200000
lordtrunks,6809023624152253446,6950419724979195142,My kid would be so proud. 😎 TT took this one down! #rave #fyp #highlife #comedy #partyanimal,2021-04-12 16:38:22,17,https://www.tiktok.com/@lordtrunks/video/6950419724979195142?lang=en,255100,14800,1362,1600000
bebe.elos111,6544422541012156418,6933360951144041733,This is so funny omg #fyp #highlife #foryou #mood,2021-02-25 16:21:47,26,https://www.tiktok.com/@bebe.elos111/video/6933360951144041733?lang=en,421900,2676,1906,2200000
kriszizzo,6731480309978743814,6932267045631298822,Maybe it’s time to trade the boots in. #bluecollar #whitecollar #highlife #influencer,2021-02-22 17:36:53,30,https://www.tiktok.com/@kriszizzo/video/6932267045631298822?lang=en,196600,11900,9230,1300000
israelrodriguez22,73415418131992576,7078043627053780230,Aqui aprendiendo a hacer chamuscas con High Life 🤤🤤🤤 #caguamas #micheladas #chamucas #highlife #caguameando #caguamasbienpinchesheladas #caguamatime,2022-03-22 14:44:15,44,https://www.tiktok.com/@israelrodriguez22/video/7078043627053780230?lang=en,181900,5612,1001,1900000
davibabi,6728858046943069190,6815703787487890693,continue 2 minutes #collegememories #keepingbusy #progamer #breathwork #highlife #snack #gooutside #wellnesstips,2020-04-14 15:51:42,12,https://www.tiktok.com/@davibabi/video/6815703787487890693?lang=en,173700,14500,1324,1200000
frittenwerk,6787298160151774213,6978779790274809093,Gönn dir! 💸✈️🏖 #gönnjamin #trinkgeld #jetsetter #highlife  #pommes #frittenwerk c: @thebros.030,2021-06-28 02:50:00,16,https://www.tiktok.com/@frittenwerk/video/6978779790274809093?lang=en,158900,4375,1594,1700000
lilaspeach,93651826356473856,7086913415410699525,🐉🐉 #luxury #luxurylife #highlife #motivation #success #luxurylifestyle #supercars #monaco #monacolife #lifestyle #lamborghini,2022-04-15 12:23:33,9,https://www.tiktok.com/@lilaspeach/video/7086913415410699525?lang=en,155300,984,771,755500
lilaspeach,93651826356473856,7073170783329193221,Monaco lifestyle 🖤 #monaco #monacolife #luxurylifestyle #motivation #success #lifestyle #millionnaire #luxury #highlife #nightlife #vibe #night,2022-03-09 10:35:07,17,https://www.tiktok.com/@lilaspeach/video/7073170783329193221?lang=en,146000,6266,1150,1100000
drecishywanee,2645607,7007178482341907717,When your friends pass you the roach 🪳😩 #smokertokertok #highlife #foryoupage #smoker,2021-09-12 15:31:17,11,https://www.tiktok.com/@drecishywanee/video/7007178482341907717?lang=en,145700,8672,2911,527200
