user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
itsjustmani_,6726395745828553733,6891749788916681989,this why I only hang with stoners #hightiktok,2020-11-05 13:09:40,14,https://www.tiktok.com/@itsjustmani_/video/6891749788916681989?lang=en,178800,7007,2108,1100000
nochilldj,1580711,6837209212242644229,Disjointed is the show to watch while 🍃 #disjointed #high #hightiktok,2020-06-11 14:43:44,10,https://www.tiktok.com/@nochilldj/video/6837209212242644229?lang=en,132000,1006,283,637300
q.uaevo,6986427770456949761,6998787141849337090,The most generous ppl at a party I swear. #fyp #hightiktok,2021-08-21 00:48:36,8,https://www.tiktok.com/@q.uaevo/video/6998787141849337090?lang=en,108300,1786,1140,515700
asiaagjolie,6784148153262326790,6886592791833562374,Shoot 😒 #fy #foryou #fyp #hightiktok,2020-10-22 16:37:51,13,https://www.tiktok.com/@asiaagjolie/video/6886592791833562374?lang=en,88200,1363,645,430700
gracesworldxo,6753794215405061125,6982251233822199046,i hate myself and my time management or therefore lack of #fypシ #lashes #hightiktok,2021-07-07 11:20:54,15,https://www.tiktok.com/@gracesworldxo/video/6982251233822199046?lang=en,67000,44,48,879300
groovymackk,6740763789870842885,7024144167324437766,i hate bøwls #high #hightiktok #fyp #🍃 #voiceeffects the voice thing makes it funny,2021-10-28 08:46:49,7,https://www.tiktok.com/@groovymackk/video/7024144167324437766?lang=en,63900,1243,1318,513100
flaka.huncho,6780534728229651462,7056240498188782895,Jus too take pics n shi😂 #hightiktok #fyp,2022-01-22 19:36:57,6,https://www.tiktok.com/@flaka.huncho/video/7056240498188782895?lang=en,54400,813,460,285800
sundae.school,7021604058880934917,7114692456091782442,safety meeting time 💚💨 #hightiktok #fyp,2022-06-29 09:00:27,5,https://www.tiktok.com/@sundae.school/video/7114692456091782442?lang=en,49400,690,85,439500
patauni,7096109055413208069,7098407624583957766,Punti di vista (TikTok sono maggiorenne fake body) #cosedifattanza #hightiktok  #puntidivista,2022-05-16 11:46:58,6,https://www.tiktok.com/@patauni/video/7098407624583957766?lang=en,47700,480,194,407400
comegethighwithus,6986184447285216261,7037149370537528582,You know you’re an introvert when 😂 #high #😶‍🌫️ #stonetok #🍃💨 #cannatok #hightiktok #pot #puffpuffpass💨 #cannatiktok #introvert,2021-12-02 08:53:38,14,https://www.tiktok.com/@comegethighwithus/video/7037149370537528582?lang=en,36600,1119,680,170000
majestique.niya,6777188844150621190,7060245135677934894,Let’s hope this reaches the right side of TikTok #fyp #hightiktok #stoner,2022-02-02 14:37:00,19,https://www.tiktok.com/@majestique.niya/video/7060245135677934894?lang=en,69900,1299,386,784500
lulairi,6843415745360724998,6937716418498596101,,2021-03-09 10:03:02,11,https://www.tiktok.com/@lulairi/video/6937716418498596101?lang=en,17200,452,116,106200
jade.laluzerne,4692977,6892929472690015493,,2020-11-08 17:27:19,13,https://www.tiktok.com/@jade.laluzerne/video/6892929472690015493?lang=en,16900,435,109,145600
alexxxxsaladdddd,6649060954989723653,6898387604627000581,Finally. #hightiktok #fyp,2020-11-23 10:27:43,9,https://www.tiktok.com/@alexxxxsaladdddd/video/6898387604627000581?lang=en,16400,218,145,146200
trippyvids00,6971592182949397509,6971614190326910213,#fypシ #foryou #greenscreenvideo #foryoupage #trippy ##high #hightiktok,2021-06-08 19:23:44,10,https://www.tiktok.com/@trippyvids00/video/6971614190326910213?lang=en,15000,1567,332,315700
lulairi,6843415745360724998,6943274721710492934,,2021-03-24 10:32:05,10,https://www.tiktok.com/@lulairi/video/6943274721710492934?lang=en,13800,549,214,104800
