hashtag,user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
fourtwenty,vivienne131313,6829147137633436677,7114591429690772737,they are happy and safe ya’ll ❤️😩 #catsoftiktok #cat #cats #cattok #catlover #funnycat #funnycats #funnycatsoftiktok #high #fourtwenty #veterinarian #catlovers #kitten #kittens #kittensoftiktok #cutecat #cutecats,2022-06-29 02:28:28,24,https://www.tiktok.com/@vivienne131313/video/7114591429690772737?lang=en,4700000,202600,26200,19700000
highlife,lilaspeach,93651826356473856,7073928118381104390,😏✨ #monaco #monacolife #luxurylifestyle #motivation #success #lifestyle #millionnaire #luxury #highlife #nightlife #vibe #night,2022-03-11 11:33:58,8,https://www.tiktok.com/@lilaspeach/video/7073928118381104390?lang=en,2100000,56400,61200,12200000
maryjane,ernwstito,7033503156400571397,7033936620877368582,:( #Spiderman #spiderman2 #tomholland #spidermanedit #spidermannowayhome #spiderverse #andrewgarfield #tiktok #maryjane #maryjanewatson,2021-11-23 17:06:32,25,https://www.tiktok.com/@ernwstito/video/7033936620877368582?lang=en,1300000,31600,8092,12200000
maryjane,_angela_154,6879988750987215878,7033203729885138181,"pt.2 Escribe ""Mary Jane es muy..."" y deja que tu teclado siga #angela_154 #fypシ #fyp #foryou #maryjane #viral #elhombrearaña #fypシ #foryou #viral #💔",2021-11-21 17:42:33,10,https://www.tiktok.com/@_angela_154/video/7033203729885138181?lang=en,1200000,3259,10100,11500000
fourtwenty,httpswhyuu.u,6532700461148143618,7103850613481491738,#fourtwenty #fourtwentymusic #fourtwentyquotes #mangu #konser  “jangan ketergantungan kawan”,2022-05-31 03:48:31,16,https://www.tiktok.com/@httpswhyuu.u/video/7103850613481491738?lang=en,861900,61900,2363,10500000
highlife,nomoredirtyroofs,6680143483514143749,6684205690916965638,#powerwash #highlife #nomoredirtyroofs #doityourself #sickcleaning,2019-04-26 07:11:54,14,https://www.tiktok.com/@nomoredirtyroofs/video/6684205690916965638?lang=en,507300,4692,1283,9400000
maryjane,obscurejay,6901104723324732422,6921016629862108422,Did you know this about Spider-Man? #spiderman #peterparker #maryjane #moviefacts #moviedetails #easteregg,2021-01-23 09:59:30,39,https://www.tiktok.com/@obscurejay/video/6921016629862108422?lang=en,1800000,7347,4643,9000000
maryjane,no.digas.mmds.mary.jane,7026796917170504710,7058505071616642309,#nodigasmmdsmaryjane #maryjane @TikTok,2022-01-28 22:04:42,6,https://www.tiktok.com/@no.digas.mmds.mary.jane/video/7058505071616642309?lang=en,1300000,20800,7550,8400000
maryjane,clips.idk,7020577794355971077,7029102391349742854,#fyp #foryoupage #parati #destacame #maryjanewatson #maryjane #spiderman #peterparker #juansguanizo  #juansguarnizoclip #unboxing #hottoys,2021-11-10 16:27:15,71,https://www.tiktok.com/@clips.idk/video/7029102391349742854?lang=en,1100000,2328,1162,8000000
4twenty,beasteater,223269,7023893780461849861,It’s a feeling I can’t explain 😍😩 @westcoastcure #4twenty #horrortok #dabbersdaily #worldseries #youredone #waxlife #dabbers #sarcus #0uid #0uidtikt,2021-10-27 16:35:11,13,https://www.tiktok.com/@beasteater/video/7023893780461849861?lang=en,549700,3800,3963,7700000
smokeshop,julinemassis,6705409469620519942,7053611560547224879,Arabs be like: #whatdoyoudoforliving #arab #arabtiktok #middleeastern #part2 #oil #smokeshop #land,2022-01-15 17:35:20,25,https://www.tiktok.com/@julinemassis/video/7053611560547224879?lang=en,410100,2319,1282,6700000
maryjane,nikandrews8,75706135026028544,6917256239223229702,Flight Delayed Due To “Stinky Odor” Coming From Luggage #drugdog #maryjane #busted #sike #nothingfound #justsmelly @kelly.teeter11,2021-01-13 06:47:23,52,https://www.tiktok.com/@nikandrews8/video/6917256239223229702?lang=en,1000000,14600,5844,6100000
highlife,mrclipperuk,7069538536399275013,7070823919124516102,WINDY DAY 🌬 🌬 NO PROBLEM!! 👌🏻 #foryou #clipper #tiktok #perte #foryoupage #fyp #clippers #MrClipper #MrClipperUK #Rizla #420 #HighLife #HighTimes,2022-03-03 02:48:06,10,https://www.tiktok.com/@mrclipperuk/video/7070823919124516102?lang=en,502600,19700,9926,6000000
maryjane,no.digas.mmds.mary.jane,7026796917170504710,7059261995861806341,Responder a @feli.zaes  #nodigasmmdsmaryjane #maryjane #peterparker,2022-01-30 23:01:58,10,https://www.tiktok.com/@no.digas.mmds.mary.jane/video/7059261995861806341?lang=en,336400,16100,1976,6000000
maryjane,zoiesummerdat,6893955553812136966,7027934578346282287,When you gotta take @Weedies® the brand  infused cereal to get through a work shift. #fyp #fypシ #xbcyza #herbs #maryjane  #funny,2021-11-07 12:55:32,15,https://www.tiktok.com/@zoiesummerdat/video/7027934578346282287?lang=en,1200000,48900,7175,5400000
maryjane,no.digas.mmds.mary.jane,7026796917170504710,7059057354347777285,#nodigasmmdsmaryjane #maryjane #sincontexto,2022-01-30 09:47:48,12,https://www.tiktok.com/@no.digas.mmds.mary.jane/video/7059057354347777285?lang=en,447300,9363,1940,5200000
maryjane,shipkaedits,6892950259095045122,7080284887252618501,Parabéns Oscar por esses comediantes sem noção #oscar #fy #foryou #fyp #kirstendunst #maryjane #willsmith #oscar2022 #hollywood #treta #thepowerofthedog #fypp #viral,2022-03-28 15:41:29,10,https://www.tiktok.com/@shipkaedits/video/7080284887252618501?lang=en,665300,964,1660,5100000
maryjane,l550films,6533771174306911247,7055412101065493765,El meme se volvió realidad. #fyp #viral #humor #spiderman #spidermannowayhome #MaryJane,2022-01-20 14:02:22,12,https://www.tiktok.com/@l550films/video/7055412101065493765?lang=en,760700,36300,4640,5000000
fourtwenty,daggum_dingus,7056976903399965701,7135590129221078315,"Not gonna lie, I kinda panicked when I pulled this out of his backpack 😂 I asked him where he got his snack from and he said his teacher so of course I'm like..""did everyone get the same snack?"" and he says ""yeah! we all got watermelon today, yesterday it was an orange but idk what it will be tomorrow yet"". Well, as long as it's edible and not AN EDIBLE 🥴😂😂😂 Tf these teachers going though? My teachers wish list said ziplock bags but maybe I misread it 🤗😂 it's in the fridge now and it's mine lol, just to be on the safe side #kidsbelike #teachersbelike #snacks #fy #fyp #shooketh #ilaughedwaytohard #viral #whatonearth #ifkyk #fourtwenty #confused #ummm #ihavequestions #afternoonsnack #edibl #e #motherhood #motherhoodbelike",2022-08-24 16:34:05,7,https://www.tiktok.com/@daggum_dingus/video/7135590129221078315?lang=en,268600,2600,1671,4700000
maryjane,no.digas.mmds.mary.jane,7026796917170504710,7088738479898627334,#nodigasmmdsmaryjane #maryjane #humor #gringa,2022-04-20 10:25:44,10,https://www.tiktok.com/@no.digas.mmds.mary.jane/video/7088738479898627334?lang=en,384800,10800,3047,4500000
