user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
julinemassis,6705409469620519942,7053611560547224879,Arabs be like: #whatdoyoudoforliving #arab #arabtiktok #middleeastern #part2 #oil #smokeshop #land,2022-01-15 17:35:20,25,https://www.tiktok.com/@julinemassis/video/7053611560547224879?lang=en,410100,2319,1282,6700000
uwu_neenes,6691366571560207366,7129205108218367274,Think Rodrick from diary of a wimpy kid #vibes #arizona #🍯 #foryou #fyp #alt #alttiktok #altsmoke #teenagedirtbag #trend #pan #pansexual #lgbt #dirtbag #findyourgrace #smokeshop #nominors #ofage #fourtwenty #seventen #altgirlcheck,2022-08-07 11:36:57,9,https://www.tiktok.com/@uwu_neenes/video/7129205108218367274?lang=en,91300,65,896,444800
ja.lw,6767002743129654277,7029369584167980335,That would be the most disrespectful action in my mind #waterpipe #🍃 #smokeshop #comedy #funny #lgbtq #ForzaHorizon5GO,2021-11-11 09:44:06,28,https://www.tiktok.com/@ja.lw/video/7029369584167980335?lang=en,85600,1364,768,388300
bangersbydan,6806521185930888197,7128818397282061614,Im 31 #retail #smokeshop #millennial,2022-08-06 10:36:19,12,https://www.tiktok.com/@bangersbydan/video/7128818397282061614?lang=en,71000,965,991,424800
maytieneflow2,6948895975768556550,7069951216503115054,🤣🤣 @itsgabriiela_ #fyp #parati #imitheproblem #wristband #work #smokeshop,2022-02-28 18:21:33,15,https://www.tiktok.com/@maytieneflow2/video/7069951216503115054?lang=en,30900,52,802,206200
victoria__fricker,6773935890592842758,7052562280445201665,We know ur underage kyle #brisbane #toowong #lgbt🌈 #bi #vape #smokeshop #toowoong,2022-01-12 21:43:36,7,https://www.tiktok.com/@victoria__fricker/video/7052562280445201665?lang=en,30900,60,138,457900
the_vault_bcn,7079588380506047494,7093296132905913606,🪴🪴🪴🪴🪴🪴🪴🪴🪴🪴 #barcelona  #glass #glassofig #handmade #art #glassforsale #glassblowing #bestofglass #glassartist #barcelona #500€ #glassporn #tiktokbrasil #thevaultbcn #dabs #glasslife #amazing #naturevibes  #shop #available  #smokeshop #glassmarbles #artglass #functionalglassart #thousandollarglass #glassartistb#glassforsell #artist #society,2022-05-02 17:11:47,22,https://www.tiktok.com/@the_vault_bcn/video/7093296132905913606?lang=en,22700,3,7,87900
ya.abbyyyy,6772722099963692038,7051309042282745134,Couldn’t finish it cause she made me laugh but smoke shop things 😂 #fypシ #smokeshop,2022-01-09 12:40:24,8,https://www.tiktok.com/@ya.abbyyyy/video/7051309042282745134?lang=en,19900,145,80,95400
kara_tush_2.0,6743545729036649478,7070455806449274114,#facsmok #переписка #charonbaby🤤❤️ #якаждыйдень #smokeshop #одноразки,2022-03-02 02:59:37,10,https://www.tiktok.com/@kara_tush_2.0/video/7070455806449274114?lang=en,18100,23,63,143400
kara_tush_2.0,6743545729036649478,7070449911921134850,#facsmok #переписка #charonbaby🤤❤️ #якаждыйдень #smokeshop #minifit,2022-03-02 02:36:45,7,https://www.tiktok.com/@kara_tush_2.0/video/7070449911921134850?lang=en,14500,44,1893,125700
