video_id,video_timestamp,video_length,video_title,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_fn,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount
7114591429690772737,2022-06-29T02:28:28,24,they are happy and safe ya’ll ❤️😩 #catsoftiktok #cat #cats #cattok #catlover #funnycat #funnycats #funnycatsoftiktok #high #fourtwenty #veterinarian #catlovers #kitten #kittens #kittensoftiktok #cutecat #cutecats,AU,4800000,202800,26300,19800000,they are happy and safe ya’ll ❤️😩 #catsoftiktok #cat #cats #cattok #catlover #funnycat #funnycats #funnycatsoftiktok #high #fourtwenty #veterinarian #catlovers #kitten #kittens #kittensoftiktok #cutecat #cutecats,False,vivienne131313_video_7114591429690772737.mp4,vivienne131313,Jo Viv,32700,236,5300000,12,2697
7073928118381104390,2022-03-11T11:33:58,8,😏✨ #monaco #monacolife #luxurylifestyle #motivation #success #lifestyle #millionnaire #luxury #highlife #nightlife #vibe #night,FR,2100000,56400,61200,12200000,😏✨ #monaco #monacolife #luxurylifestyle #motivation #success #lifestyle #millionnaire #luxury #highlife #nightlife #vibe #night,False,lilaspeach_video_7073928118381104390.mp4,lilaspeach,Lilaspeach,214500,401,7400000,241,75700
7033936620877368582,2021-11-23T17:06:32,25,:( #Spiderman #spiderman2 #tomholland #spidermanedit #spidermannowayhome #spiderverse #andrewgarfield #tiktok #maryjane #maryjanewatson,MX,1300000,31600,8090,12200000,:( #Spiderman #spiderman2 #tomholland #spidermanedit #spidermannowayhome #spiderverse #andrewgarfield #tiktok #maryjane #maryjanewatson,False,ernwstito_video_7033936620877368582.mp4,ernwstito,pantunflacosmica🫡,17200,158,1400000,10,22700
7033203729885138181,2021-11-21T17:42:33,10,"pt.2 Escribe ""Mary Jane es muy..."" y deja que tu teclado siga #angela_154 #fypシ #fyp #foryou #maryjane #viral #elhombrearaña #fypシ #foryou #viral #💔",MX,1200000,3259,10100,11500000,"pt.2 Escribe ""Mary Jane es muy..."" y deja que tu teclado siga #angela_154 #fypシ #fyp #foryou #maryjane #viral #elhombrearaña #fypシ #foryou #viral #💔",False,_angela_154_video_7033203729885138181.mp4,_angela_154,Ángela Águilar,596000,496,17200000,399,16400
7103850613481491738,2022-05-31T03:48:31,16,#fourtwenty #fourtwentymusic #fourtwentyquotes #mangu #konser  “jangan ketergantungan kawan”,ID,862000,61900,2363,10500000,#fourtwenty #fourtwentymusic #fourtwentyquotes #mangu #konser  “jangan ketergantungan kawan”,False,httpswhyuu.u_video_7103850613481491738.mp4,httpswhyuu.u,𝖂𝖆𝖍𝖞𝖚⚔️,23800,54,1100000,146,11500
6684205690916965638,2019-04-26T07:11:54,14,#powerwash #highlife #nomoredirtyroofs #doityourself #sickcleaning,US,507300,4692,1283,9400000,#powerwash #highlife #nomoredirtyroofs #doityourself #sickcleaning,False,nomoredirtyroofs_video_6684205690916965638.mp4,nomoredirtyroofs,Hector the Powerwasher,25500,1075,999300,403,2808
6921016629862108422,2021-01-23T09:59:30,39,Did you know this about Spider-Man? #spiderman #peterparker #maryjane #moviefacts #moviedetails #easteregg,US,1800000,7347,4642,9000000,Did you know this about Spider-Man? #spiderman #peterparker #maryjane #moviefacts #moviedetails #easteregg,False,obscurejay_video_6921016629862108422.mp4,obscurejay,Jay,215300,223,12700000,116,1409
7058505071616642309,2022-01-28T22:04:42,6,#nodigasmmdsmaryjane #maryjane @TikTok,MX,1300000,20800,7532,8400000,#nodigasmmdsmaryjane #maryjane @TikTok,False,no.digas.mmds.mary.jane_video_7058505071616642309.mp4,no.digas.mmds.mary.jane,No digas mmds Mary Jane,721700,61,9800000,140,290
7029102391349742854,2021-11-10T16:27:15,71,#fyp #foryoupage #parati #destacame #maryjanewatson #maryjane #spiderman #peterparker #juansguanizo  #juansguarnizoclip #unboxing #hottoys,MX,1100000,2328,1162,8000000,#fyp #foryoupage #parati #destacame #maryjanewatson #maryjane #spiderman #peterparker #juansguanizo  #juansguarnizoclip #unboxing #hottoys,False,clips.idk_video_7029102391349742854.mp4,clips.idk,clips idk 🧿,483200,57,12400000,69,3034
7023893780461849861,2021-10-27T16:35:11,13,It’s a feeling I can’t explain 😍😩 @westcoastcure #4twenty #horrortok #dabbersdaily #worldseries #youredone #waxlife #dabbers #sarcus #0uid #0uidtikt,US,549700,3800,3961,7700000,It’s a feeling I can’t explain 😍😩 @westcoastcure #4twenty #horrortok #dabbersdaily #worldseries #youredone #waxlife #dabbers #sarcus #0uid #0uidtikt,False,beasteater_video_7023893780461849861.mp4,beasteater,BeastEater,19500000,5466,663700000,811,2900
7053611560547224879,2022-01-15T17:35:20,25,Arabs be like: #whatdoyoudoforliving #arab #arabtiktok #middleeastern #part2 #oil #smokeshop #land,US,410200,2319,1283,6700000,Arabs be like: #whatdoyoudoforliving #arab #arabtiktok #middleeastern #part2 #oil #smokeshop #land,False,julinemassis_video_7053611560547224879.mp4,julinemassis,Juline Massis,98300,69,4700000,278,478
6917256239223229702,2021-01-13T06:47:23,52,Flight Delayed Due To “Stinky Odor” Coming From Luggage #drugdog #maryjane #busted #sike #nothingfound #justsmelly @kelly.teeter11,US,1000000,14600,5843,6100000,Flight Delayed Due To “Stinky Odor” Coming From Luggage #drugdog #maryjane #busted #sike #nothingfound #justsmelly @kelly.teeter11,False,nikandrews8_video_6917256239223229702.mp4,nikandrews8,Nicole Andrews,6614,494,1100000,24,10300
7070823919124516102,2022-03-03T02:48:06,10,WINDY DAY 🌬 🌬 NO PROBLEM!! 👌🏻 #foryou #clipper #tiktok #perte #foryoupage #fyp #clippers #MrClipper #MrClipperUK #Rizla #420 #HighLife #HighTimes,GB,502600,19700,9922,6000000,WINDY DAY 🌬 🌬 NO PROBLEM!! 👌🏻 #foryou #clipper #tiktok #perte #foryoupage #fyp #clippers #MrClipper #MrClipperUK #Rizla #420 #HighLife #HighTimes,False,mrclipperuk_video_7070823919124516102.mp4,mrclipperuk,Mr. Clipper®,148700,28,2400000,163,1309
7059261995861806341,2022-01-30T23:01:58,10,Responder a @feli.zaes  #nodigasmmdsmaryjane #maryjane #peterparker,MX,336400,16100,1973,6000000,Responder a @feli.zaes  #nodigasmmdsmaryjane #maryjane #peterparker,False,no.digas.mmds.mary.jane_video_7059261995861806341.mp4,no.digas.mmds.mary.jane,No digas mmds Mary Jane,721700,61,9800000,140,290
7027934578346282287,2021-11-07T12:55:32,15,When you gotta take @Weedies® the brand  infused cereal to get through a work shift. #fyp #fypシ #xbcyza #herbs #maryjane  #funny,US,1200000,48900,7172,5400000,When you gotta take @Weedies® the brand  infused cereal to get through a work shift. #fyp #fypシ #xbcyza #herbs #maryjane  #funny,False,zoiesummerdat_video_7027934578346282287.mp4,zoiesummerdat,Zoie Summer,145200,357,3500000,87,3109
7059057354347777285,2022-01-30T09:47:48,12,#nodigasmmdsmaryjane #maryjane #sincontexto,MX,447300,9363,1936,5200000,#nodigasmmdsmaryjane #maryjane #sincontexto,False,no.digas.mmds.mary.jane_video_7059057354347777285.mp4,no.digas.mmds.mary.jane,No digas mmds Mary Jane,721700,61,9800000,140,290
7080284887252618501,2022-03-28T15:41:29,10,Parabéns Oscar por esses comediantes sem noção #oscar #fy #foryou #fyp #kirstendunst #maryjane #willsmith #oscar2022 #hollywood #treta #thepowerofthedog #fypp #viral,BR,665400,964,1657,5100000,Parabéns Oscar por esses comediantes sem noção #oscar #fy #foryou #fyp #kirstendunst #maryjane #willsmith #oscar2022 #hollywood #treta #thepowerofthedog #fypp #viral,False,shipkaedits_video_7080284887252618501.mp4,shipkaedits,Anya Taylor,11300,20,1300000,104,3117
7055412101065493765,2022-01-20T14:02:22,12,El meme se volvió realidad. #fyp #viral #humor #spiderman #spidermannowayhome #MaryJane,MX,760800,36400,4642,5000000,El meme se volvió realidad. #fyp #viral #humor #spiderman #spidermannowayhome #MaryJane,False,l550films_video_7055412101065493765.mp4,l550films,Luis,15800,258,792000,40,5451
7135590129221078315,2022-08-24T16:34:05,7,"Not gonna lie, I kinda panicked when I pulled this out of his backpack 😂 I asked him where he got his snack from and he said his teacher so of course I'm like..""did everyone get the same snack?"" and he says ""yeah! we all got watermelon today, yesterday it was an orange but idk what it will be tomorrow yet"". Well, as long as it's edible and not AN EDIBLE 🥴😂😂😂 Tf these teachers going though? My teachers wish list said ziplock bags but maybe I misread it 🤗😂 it's in the fridge now and it's mine lol, just to be on the safe side #kidsbelike #teachersbelike #snacks #fy #fyp #shooketh #ilaughedwaytohard #viral #whatonearth #ifkyk #fourtwenty #confused #ummm #ihavequestions #afternoonsnack #edibl #e #motherhood #motherhoodbelike",US,268600,2600,0,4700000,"Not gonna lie, I kinda panicked when I pulled this out of his backpack 😂 I asked him where he got his snack from and he said his teacher so of course I'm like..""did everyone get the same snack?"" and he says ""yeah! we all got watermelon today, yesterday it was an orange but idk what it will be tomorrow yet"". Well, as long as it's edible and not AN EDIBLE 🥴😂😂😂 Tf these teachers going though? My teachers wish list said ziplock bags but maybe I misread it 🤗😂 it's in the fridge now and it's mine lol, just to be on the safe side #kidsbelike #teachersbelike #snacks #fy #fyp #shooketh #ilaughedwaytohard #viral #whatonearth #ifkyk #fourtwenty #confused #ummm #ihavequestions #afternoonsnack #edibl #e #motherhood #motherhoodbelike",False,daggum_dingus_video_7135590129221078315.mp4,daggum_dingus,Rissa,1083,198,269200,58,1349
7088738479898627334,2022-04-20T10:25:44,10,#nodigasmmdsmaryjane #maryjane #humor #gringa,MX,384800,10800,3024,4500000,#nodigasmmdsmaryjane #maryjane #humor #gringa,False,no.digas.mmds.mary.jane_video_7088738479898627334.mp4,no.digas.mmds.mary.jane,No digas mmds Mary Jane,721700,61,9800000,140,290
7114591429690772737,2022-06-29T02:28:28,24,they are happy and safe ya’ll ❤️😩 #catsoftiktok #cat #cats #cattok #catlover #funnycat #funnycats #funnycatsoftiktok #high #fourtwenty #veterinarian #catlovers #kitten #kittens #kittensoftiktok #cutecat #cutecats,AU,4800000,202900,26300,19800000,they are happy and safe ya’ll ❤️😩 #catsoftiktok #cat #cats #cattok #catlover #funnycat #funnycats #funnycatsoftiktok #high #fourtwenty #veterinarian #catlovers #kitten #kittens #kittensoftiktok #cutecat #cutecats,False,vivienne131313_video_7114591429690772737.mp4,vivienne131313,Jo Viv,32800,236,5300000,12,2697
7073928118381104390,2022-03-11T11:33:58,8,😏✨ #monaco #monacolife #luxurylifestyle #motivation #success #lifestyle #millionnaire #luxury #highlife #nightlife #vibe #night,FR,2100000,56400,61200,12200000,😏✨ #monaco #monacolife #luxurylifestyle #motivation #success #lifestyle #millionnaire #luxury #highlife #nightlife #vibe #night,False,lilaspeach_video_7073928118381104390.mp4,lilaspeach,Lilaspeach,214700,401,7400000,241,75700
