hashtag,user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
cigars,terencereilly,6681286145177191429,6744088698243140870,Rolling Aganorsa Leaf in Miami #aganorsa #cigars #cigaraficionado,2019-10-04 16:08:37,13,https://www.tiktok.com/@terencereilly/video/6744088698243140870?lang=en,424500,5849,944,35000000
cigars,tooturnttony,6757817457937499141,6991497872038497541,it’s lit. #cigars #booty,2021-08-01 09:22:30,12,https://www.tiktok.com/@tooturnttony/video/6991497872038497541?lang=en,1700000,32700,12000,32800000
cigars,tooturnttony,6757817457937499141,7061718909048818991,…wait for it🥺❤️ #granddaddy #cigars,2022-02-06 13:56:00,29,https://www.tiktok.com/@tooturnttony/video/7061718909048818991?lang=en,869400,2346,5770,8900000
cigars,vladimirnesky,6776428069928797189,6789103723625909509,cigar roller #cigar #cigaraficionado #cigars #tobacco #cuba #cuban #cubancigar #havana,2020-02-02 22:29:55,15,https://www.tiktok.com/@vladimirnesky/video/6789103723625909509?lang=en,119600,3304,481,6800000
cigars,qikutoex,7005103475627475974,7089080487251021099,##Luxury #cigars #foryou #Handwork #Transformers#fyp #Qikutoex,2022-04-21 08:32:54,180,https://www.tiktok.com/@qikutoex/video/7089080487251021099?lang=en,132700,2465,503,6100000
cigars,ricamontes.cigars,6906947779065021446,6910756466282466566,"And no, I’m not liking any part of the cigar. We use an organic glue made by ourselves 🔥 #fyp #cigars #owl #viral #handmade",2020-12-26 18:24:52,21,https://www.tiktok.com/@ricamontes.cigars/video/6910756466282466566?lang=en,290800,2185,1104,5700000
cigars,thetopgtates,7112835882079699973,7124346096943418629,#andrewtate #cigars #NatWestWhatYouWaitingFor #fyp#trending #viral,2022-07-25 09:21:31,24,https://www.tiktok.com/@thetopgtates/video/7124346096943418629?lang=en,284000,325,651,4600000
cigars,drinkstation.ro,6924027801319228422,7071322487828647174,Viral video 2022#cigars #santodelrey #trabucuridelux #cigar #trabuc #cigaraficionado #cigarfamily #cigarsociety,2022-03-04 11:02:47,7,https://www.tiktok.com/@drinkstation.ro/video/7071322487828647174?lang=en,99900,346,264,3800000
cigars,habanoscity,6725452585144632325,6821506169329372421,☕️ would you enjoy a freshly rolled one? #neverfitin #onecommunity #quarantine #love #cigars #cigaraficionado,2020-04-30 07:07:54,46,https://www.tiktok.com/@habanoscity/video/6821506169329372421?lang=en,95700,1041,423,3400000
cigars,howthatworks,6929624860118549509,6963888308699122950,⚠️Follow for more⚠️ #didyouknow #viral #foryoupage #Ourhouse2021 #interesting #foryou #fyp #cigars,2021-05-18 23:43:29,18,https://www.tiktok.com/@howthatworks/video/6963888308699122950?lang=en,132900,495,536,3300000
cigars,cigars365,6957313197667173381,7019620625358671109,HOW TO HOLD A CIGAR pt2? #cigars #cigar #afficionado,2021-10-16 04:13:10,13,https://www.tiktok.com/@cigars365/video/7019620625358671109?lang=en,185000,981,560,2700000
cigars,cartersstore,6937387225013928966,7098436327003278598,Top 10 most expensive cigars in the world #aiturofuente #fuente #arturo #cohiba #gurkha #princeofdenmark #regius #mayan #top10 #expensive #cigar #cigars,2022-05-16 13:38:21,94,https://www.tiktok.com/@cartersstore/video/7098436327003278598?lang=en,112900,15200,1796,2700000
cubancigar,cigardaddyy,6841614977779745794,7089309049442929946,hidupku manis karena ada kamu sayang #cigardaddy #cigar #WouldYouLoveYou #cigarro #cigarros #cubancigar #cohiba #tehmanis #esteh #estehmanis,2022-04-21 23:19:50,17,https://www.tiktok.com/@cigardaddyy/video/7089309049442929946?lang=en,105300,634,847,2400000
cigars,tooturnttony,6757817457937499141,6894375885026249990,this is what our behind the scenes look like lol #cigars,2020-11-12 15:00:12,19,https://www.tiktok.com/@tooturnttony/video/6894375885026249990?lang=en,231000,2661,944,2200000
cigars,comedyclipz02,7090496693267055622,7096760276430687494,#tatelangdon #tatebrothers #andrewtate #tate #fyp #foryou #foryourpage #fypage #fypシ #foryoupage #viral #tiktok #cigars #davidoff,2022-05-12 01:14:29,59,https://www.tiktok.com/@comedyclipz02/video/7096760276430687494?lang=en,217900,101,321,2200000
cubancigar,abdulahwhite,6772284649063891974,7131128663881338117,#tristiantate #andrewtate #topg #cubancigar @tristan9tate #faketristiantate #fypシ,2022-08-12 16:01:19,6,https://www.tiktok.com/@abdulahwhite/video/7131128663881338117?lang=en,221300,310,675,2000000
cigars,terencereilly,6681286145177191429,6783982322481106182,Lots of Aganorsa!  Check it out at www.aganorsaleaf.com ! #aganorsa #cigaraficionado #luxury #thegoodlife #cigars,2020-01-20 03:16:15,5,https://www.tiktok.com/@terencereilly/video/6783982322481106182?lang=en,6584,142,42,1900000
cigars,cigarspecialist_,6784132311845602309,7073082387298651398,#cigarspecialist #cigar #cigars #cigaraficionado #cuba#cubancigar #cohiba #habanos #luxury #xyzbca #xyzcba #tiktok#viral #puros #tabaco #cigarlife,2022-03-09 04:52:06,22,https://www.tiktok.com/@cigarspecialist_/video/7073082387298651398?lang=en,100600,602,840,1800000
cigars,dad_doesnt_get_it,6758103178326344709,6816450756762176773,#cigars #cigar #stayhomestaystrong #cuba #distancedance #playwithlife #happyathome #tigerking #levelup #selfcare #foryou #florida #sidehustle #covid,2020-04-16 16:10:18,8,https://www.tiktok.com/@dad_doesnt_get_it/video/6816450756762176773?lang=en,64200,691,157,1800000
cigars,dreamerlifestyle_,6722534749346644997,6928178955916791046,"Reply to @00ethan00 if you have more questions, you the Q&A feature! #fyp #cigartiktok #cigars #comments #smoke",2021-02-11 17:13:02,55,https://www.tiktok.com/@dreamerlifestyle_/video/6928178955916791046?lang=en,293600,1047,2859,1700000
