video_id,video_timestamp,video_length,video_title,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_fn,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount
6744088698243140870,2019-10-04T16:08:37,13,Rolling Aganorsa Leaf in Miami #aganorsa #cigars #cigaraficionado,US,424500,5849,944,35000000,Rolling Aganorsa Leaf in Miami #aganorsa #cigars #cigaraficionado,False,terencereilly_video_6744088698243140870.mp4,terencereilly,Terence Reilly,60600,17,483300,295,250
6991497872038497541,2021-08-01T09:22:30,12,it’s lit. #cigars #booty,US,1700000,32700,12000,32800000,it’s lit. #cigars #booty,False,tooturnttony_video_6991497872038497541.mp4,tooturnttony,Tooturnttony,17700000,940,781000000,1301,14400
7061718909048818991,2022-02-06T13:56:00,29,…wait for it🥺❤️ #granddaddy #cigars,US,869500,2348,5769,8900000,…wait for it🥺❤️ #granddaddy #cigars,False,tooturnttony_video_7061718909048818991.mp4,tooturnttony,Tooturnttony,17700000,940,781000000,1301,14400
6789103723625909509,2020-02-02T22:29:55,15,cigar roller #cigar #cigaraficionado #cigars #tobacco #cuba #cuban #cubancigar #havana,US,119700,3304,481,6800000,cigar roller #cigar #cigaraficionado #cigars #tobacco #cuba #cuban #cubancigar #havana,False,vladimirnesky_video_6789103723625909509.mp4,vladimirnesky,vladimir neski,17400,19,131000,71,452
6789103723625909509,2020-02-02T22:29:55,15,cigar roller #cigar #cigaraficionado #cigars #tobacco #cuba #cuban #cubancigar #havana,US,119700,3304,481,6800000,cigar roller #cigar #cigaraficionado #cigars #tobacco #cuba #cuban #cubancigar #havana,False,vladimirnesky_video_6789103723625909509.mp4,vladimirnesky,vladimir neski,17400,19,131000,71,452
7089080487251021099,2022-04-21T08:32:54,180,##Luxury #cigars #foryou #Handwork #Transformers#fyp #Qikutoex,US,132700,2465,502,6100000,##Luxury #cigars #foryou #Handwork #Transformers#fyp #Qikutoex,False,qikutoex_video_7089080487251021099.mp4,qikutoex,Qikutoex,33000,2243,187900,74,1363
6910756466282466566,2020-12-26T18:24:52,21,"And no, I’m not liking any part of the cigar. We use an organic glue made by ourselves 🔥 #fyp #cigars #owl #viral #handmade",US,290800,2185,1104,5700000,"And no, I’m not liking any part of the cigar. We use an organic glue made by ourselves 🔥 #fyp #cigars #owl #viral #handmade",False,ricamontes.cigars_video_6910756466282466566.mp4,ricamontes.cigars,RicamonteCigars,45300,6,367900,40,722
7124346096943418629,2022-07-25T09:21:31,24,#andrewtate #cigars #NatWestWhatYouWaitingFor #fyp#trending #viral,GB,290700,327,660,4700000,#andrewtate #cigars #NatWestWhatYouWaitingFor #fyp#trending #viral,False,thetopgtates_video_7124346096943418629.mp4,thetopgtates,thetopgtates,13200,0,1100000,103,166
7071322487828647174,2022-03-04T11:02:47,7,Viral video 2022#cigars #santodelrey #trabucuridelux #cigar #trabuc #cigaraficionado #cigarfamily #cigarsociety,RO,99900,346,264,3800000,Viral video 2022#cigars #santodelrey #trabucuridelux #cigar #trabuc #cigaraficionado #cigarfamily #cigarsociety,False,drinkstation.ro_video_7071322487828647174.mp4,drinkstation.ro,Drink Station,3313,318,116100,114,660
6821506169329372421,2020-04-30T07:07:54,46,☕️ would you enjoy a freshly rolled one? #neverfitin #onecommunity #quarantine #love #cigars #cigaraficionado,US,95700,1041,423,3400000,☕️ would you enjoy a freshly rolled one? #neverfitin #onecommunity #quarantine #love #cigars #cigaraficionado,False,habanoscity_video_6821506169329372421.mp4,habanoscity,Habanos City,23900,34,238700,137,1065
