user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
darkriot_13,67658741944307712,7005783761044458754,🖤 inspo: @toniquinne #sober #sobriety #wedorecover #sobrietycheck #sobrietyrocks #c0cain3 #sobrietygang,2021-09-08 21:19:04,14,https://www.tiktok.com/@darkriot_13/video/7005783761044458754?lang=en,247,2,20,1646
decayingangel,6665032663957995525,6887626485302054146,I mean lol parents love me until I get to know them n open up haha #fyp#friendship#parents#juicewrld#juice#c0cain3,2020-10-25 11:28:30,8,https://www.tiktok.com/@decayingangel/video/6887626485302054146?lang=en,243,1,4,2024
zebikalewimok,6889688276195132418,6920273275675348225,#perte #neiperte #c0cain3 #boysvsgirls #vedinelparchetto #gskianto #fyp #mymumsucks #zebikalewimok,2021-01-21 09:54:44,15,https://www.tiktok.com/@zebikalewimok/video/6920273275675348225?lang=en,238,5,6,2552
megan.c0rbett,6724724787493258245,6927336333811797254,damn #Bossit2021 #snow #viral #c0cain3,2021-02-09 10:43:09,5,https://www.tiktok.com/@megan.c0rbett/video/6927336333811797254?lang=en,82,1,4,1629
iskamdasumfeq,6900601142833939457,6929163846443732230,a lot. #aestetics #foryou #foryoupage #snow #winters #snowflake #c0cain3 #astrology #bg #bgtiktok #bgtiktoker #style #bi #frog #cold #fyp #fae #lgbt,2021-02-14 08:54:49,5,https://www.tiktok.com/@iskamdasumfeq/video/6929163846443732230?lang=en,78,0,0,862
deadaccountjajsjdjxjx,6920804214555198469,6925771708595047686,#fyp #givinggirlsc0caine #lilpeep #mask #c0cain3 #peep #fup #foryou,2021-02-05 05:31:42,17,https://www.tiktok.com/@deadaccountjajsjdjxjx/video/6925771708595047686?lang=en,77,0,7,468
butterycr0issants,6748488356672422918,6928151825128393989,The pier is her favorite place and I think it’s adorable #snowdog #c0cain3,2021-02-11 15:27:42,5,https://www.tiktok.com/@butterycr0issants/video/6928151825128393989?lang=en,67,4,4,2054
vlr_valle,6936895565780091909,6940190205739568390,#2021 #dance #trend #c0cain3 lol,2021-03-16 03:02:43,9,https://www.tiktok.com/@vlr_valle/video/6940190205739568390?lang=en,31,0,0,494
randiikenobi,6802751344584279046,7024143842144193798,She is an absolute WEASEL #chihuahua #nicechihuahua #coco #c0cain3 #coke,2021-10-28 08:45:33,15,https://www.tiktok.com/@randiikenobi/video/7024143842144193798?lang=en,26,1,0,346
anacmaio,6812271960199873542,6913327535577140485,#pegar un video de @startupdoc #coke #cocain3 #c0cain3,2021-01-02 16:41:54,4,https://www.tiktok.com/@anacmaio/video/6913327535577140485?lang=en,26,7,0,873
whiteceiling1,6619955704144150533,7124618479189134597,i wasnt finished #fyp #peep #c0cain3,2022-07-26 02:58:34,10,https://www.tiktok.com/@whiteceiling1/video/7124618479189134597?lang=en,22,0,0,277
love_soccer_97,6731241410102363141,6906879645895953665,#c0cain3,2020-12-16 07:40:36,12,https://www.tiktok.com/@love_soccer_97/video/6906879645895953665?lang=en,20,0,1,121
tipuzzailfiato,6822635315686917126,6938352763025837317,#perfect #perte #foryou #mammagiaapippo #c0cain3 #druoga,2021-03-11 03:12:28,11,https://www.tiktok.com/@tipuzzailfiato/video/6938352763025837317?lang=en,20,0,0,486
whiteponyx,6647496470159753222,6903628189638069506,#raveart #afghanheadspin #breakbeat #sevilla #party #c0cAin3 #parati #foryou #break,2020-12-07 13:23:17,28,https://www.tiktok.com/@whiteponyx/video/6903628189638069506?lang=en,18,2,1,271
tipuzzailfiato,6822635315686917126,6946939476417465606,#stitch con @lucamoise10 #nonfunziona #perte #perfect #foryou #duetto #mammagiaapippo #BeUnited #ZamundaChallenge #stitch#funny#c0cain3 #,2021-04-03 07:33:13,11,https://www.tiktok.com/@tipuzzailfiato/video/6946939476417465606?lang=en,11,0,0,758
sammiemaybe,6871218437218534406,6923685599094361350,a close fourth place to HelloFresh #fyp #redhead #costco #botox #c0cain3,2021-01-30 14:36:26,20,https://www.tiktok.com/@sammiemaybe/video/6923685599094361350?lang=en,9,0,1,129
zelll888,6723970977879196678,7091140552372292910,i can’t listen to him anymore but i love him still #lilpeep #fyp #c0cain3,2022-04-26 21:47:01,15,https://www.tiktok.com/@zelll888/video/7091140552372292910?lang=en,311,3,0,1619
captain_poldi,6929075962596803589,6929132948432227589,,2021-02-14 06:54:57,10,https://www.tiktok.com/@captain_poldi/video/6929132948432227589?lang=en,7,4,1,259
