user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
martina2783,6822166364657550342,7100277174627732741,🤣🤣🤭#drink#saturdayvibes #fyp #comedy #viral #tiktok #likes #trending #dankmemes #foryoupage #foryou #party#boatparty#nosecandy#saturday #amberheard#choachella2022 #partyhard,2022-05-21 12:41:45,7,https://www.tiktok.com/@martina2783/video/7100277174627732741?lang=en,49000,6110,981,2100000
brodies100,9690471,6925457403144080646,Ooops #fyp #fake #car #mother #nosecandy #sorrymom,2021-02-04 09:11:55,17,https://www.tiktok.com/@brodies100/video/6925457403144080646?lang=en,30200,406,166,439500
not.trucker_lou,6874964656789308417,7020029620258950406,#goodtimes #nosebeers #peachy #nosecandy #thebag #cheekybump #neversaynever,2021-10-17 06:40:16,6,https://www.tiktok.com/@not.trucker_lou/video/7020029620258950406?lang=en,28200,3944,335,512200
doormanpete_official,6933648928491832326,6935853170061004038,hope you like #peteyblinders #familyblinders #50sc #fyp #trend #trending #nosebeer #nosecandy #foryoupage #fortheboys #ftb #,2021-03-04 09:32:41,10,https://www.tiktok.com/@doormanpete_official/video/6935853170061004038?lang=en,24300,2152,210,572000
dommylongdong,6986299722144433157,7046163569083256111,#greenscreen #MyPlayoffPicks #ShareTheMagic #nosebeers #❄️ #darkhumour #nosecandy,2021-12-26 15:53:20,8,https://www.tiktok.com/@dommylongdong/video/7046163569083256111?lang=en,17500,653,167,304000
alexjames.jpeg,6804779997888578566,7110431682926284038,I CANT BELIEVE MYSELF IN 2017.         #messy #canada #novascotia #alcohol #partyfavors #nosecandy #yikes #newfoundland #newfie,2022-06-17 21:26:35,9,https://www.tiktok.com/@alexjames.jpeg/video/7110431682926284038?lang=en,11900,2,8,37200
dommylongdong,6986299722144433157,7050222169200217391,#nosebeers #YerAWizard #darkhumour #fyp #foryou #❄️ #nosecandy #comedy #,2022-01-06 14:22:46,6,https://www.tiktok.com/@dommylongdong/video/7050222169200217391?lang=en,10800,2328,142,526200
dentistryatmichas,6812254366444487682,6912058192948120834,“Coke” increases tooth decay‼️ #nosecandy #cocaine #tiktokskwela #edutok #edukasyonph #learnontiktok #tiktoku #fypシ #fyp,2020-12-30 06:36:00,59,https://www.tiktok.com/@dentistryatmichas/video/6912058192948120834?lang=en,10700,35,123,199200
not.trucker_lou,6874964656789308417,7003296569311169798,#nosebeers #seshtok #3for100 #nosecandy #thecunningstunts,2021-09-02 04:27:30,6,https://www.tiktok.com/@not.trucker_lou/video/7003296569311169798?lang=en,8002,180,104,194200
not.trucker_lou,6874964656789308417,6951452463740341510,#plugg #nosecandy #funny,2021-04-15 11:25:54,15,https://www.tiktok.com/@not.trucker_lou/video/6951452463740341510?lang=en,6822,226,111,178300
doormanpete3,6961038489766216709,6989205384103775493,#peteyblinders #familyblinders #nosecandy #nosebeer,2021-07-26 05:06:34,26,https://www.tiktok.com/@doormanpete3/video/6989205384103775493?lang=en,5933,449,119,202900
coach.fun,6807016357546247173,7134691029676150062,#donaldtrumpjr #nosecandy #donaldtrump #trump2024 #joebiden #ultramaga  #ryanreynolds #trump,2022-08-22 06:25:12,37,https://www.tiktok.com/@coach.fun/video/7134691029676150062?lang=en,5143,638,881,61000
ofwowww,7003462090560832517,7093564005641473323,#fyp #fypシ #fypage #fypシ゚viral #foryou #foryoupage #foryoupageofficiall #trending #2022 #metgala #billieeilish #billie #cardi #cardib #ohmy #wow #nosecandy #metgala #metgala2022 #met #gala #nothereforit #ohno #chile #explore #celerbities #party #oop #whew,2022-05-03 10:31:15,18,https://www.tiktok.com/@ofwowww/video/7093564005641473323?lang=en,4801,53,119,57200
l0uis__1,6941756713792553990,7063165831609388293,Gota ration it #nosebeers #seshtok #nosecandy,2022-02-10 11:30:47,5,https://www.tiktok.com/@l0uis__1/video/7063165831609388293?lang=en,4028,649,106,120200
doormanpete_official,6933648928491832326,6939275122905746694,have you ever been there #peteyblinders #familyblinders #fyp #foryoupage #trending #trend #50sc #wheeler_fam #nosebeer #nosecandy #off #my #pickle,2021-03-13 14:51:37,8,https://www.tiktok.com/@doormanpete_official/video/6939275122905746694?lang=en,3422,402,80,90800
robertpsmith,6860961404176172038,6987086396674559237,don't ask for permission to do something illegal #spicygymnastics  #truestory #bouncerlife #bouncerclub #bouncer #fyp #nosecandy #striptok,2021-07-20 12:03:46,58,https://www.tiktok.com/@robertpsmith/video/6987086396674559237?lang=en,3191,11,43,40300
dommylongdong,6986299722144433157,7049883660006444334,#nosebeers #YerAWizard #darkhumour #fyp #foryou #❄️ #nosecandy #comedy,2022-01-05 16:29:11,5,https://www.tiktok.com/@dommylongdong/video/7049883660006444334?lang=en,3001,321,29,57700
l0uis__1,6941756713792553990,7019234913895337221,#mandy not #nosebeers #molly not #nosecandy #shredder #funny,2021-10-15 03:16:25,9,https://www.tiktok.com/@l0uis__1/video/7019234913895337221?lang=en,1988,51,73,53300
bwoody69,6744384276118340614,6930412794533661957,#stitch with @sushirobin  #fyp #nosecandy #prettygoodatdrinkingbeer,2021-02-17 17:41:27,7,https://www.tiktok.com/@bwoody69/video/6930412794533661957?lang=en,1615,79,19,14700
not.trucker_lou,6874964656789308417,6952831052683431174,#nosebeers #onthesesh #nosecandy,2021-04-19 04:35:36,8,https://www.tiktok.com/@not.trucker_lou/video/6952831052683431174?lang=en,1506,155,36,28400
xxxbaseyboyxxx,6761028520959755270,7028618682376916229,Good day this was flat out on the 🍺 #nosecandy #fyp #JDSTREET #foryoupage #badboychillercrew,2021-11-09 09:10:13,17,https://www.tiktok.com/@xxxbaseyboyxxx/video/7028618682376916229?lang=en,1425,9,4,51200
_tjnak_,6668992810970873861,7043624424259587334,#REPOST #mentalhealthbreak #80scommercial #cologne #Coty #cringe #nosecandy #beastmaster #genx #907,2021-12-19 19:40:10,53,https://www.tiktok.com/@_tjnak_/video/7043624424259587334?lang=en,1038,20,86,3910
