video_id,video_timestamp,video_length,video_title,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_fn,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount
7043996454494539055,2021-12-20T19:43:49,8,I messed up #ThanksandGiving #xyzbca #bagtok #nosebeers #tattoos #sesh #nosebeer,US,480000,3873,1800,3300000,I messed up #ThanksandGiving #xyzbca #bagtok #nosebeers #tattoos #sesh #nosebeer,False,sugarb69_video_7043996454494539055.mp4,sugarb69,Sugarb69🦋✨,131200,707,3300000,305,41100
7100277174627732741,2022-05-21T12:41:45,7,🤣🤣🤭#drink#saturdayvibes #fyp #comedy #viral #tiktok #likes #trending #dankmemes #foryoupage #foryou #party#boatparty#nosecandy#saturday #amberheard#choachella2022 #partyhard,GB,49000,6110,979,2100000,🤣🤣🤭#drink#saturdayvibes #fyp #comedy #viral #tiktok #likes #trending #dankmemes #foryoupage #foryou #party#boatparty#nosecandy#saturday #amberheard#choachella2022 #partyhard,False,martina2783_video_7100277174627732741.mp4,martina2783,Martina2783,10100,1081,675400,74,17400
7034269314039565573,2021-11-24T14:37:33,7,why do i look like jaffar #aleciabethmoore #nosebeer #uk #glasgow #london,GB,52100,1649,661,910200,why do i look like jaffar #aleciabethmoore #nosebeer #uk #glasgow #london,False,jacqupot_video_7034269314039565573.mp4,jacqupot,Jacques 🌈,50700,333,3300000,295,3416
6963884642525121793,2021-05-18T23:29:07,9,It’s a joke I’m a concreter #tradie #concreter #nosebeer #fyp,AU,95200,197,578,618300,It’s a joke I’m a concreter #tradie #concreter #nosebeer #fyp,False,jacobjohnston30_video_6963884642525121793.mp4,jacobjohnston30,Jacob Johnston,6172,371,111300,1,273
6935853170061004038,2021-03-04T09:32:41,10,hope you like #peteyblinders #familyblinders #50sc #fyp #trend #trending #nosebeer #nosecandy #foryoupage #fortheboys #ftb #,GB,24300,2152,210,572100,hope you like #peteyblinders #familyblinders #50sc #fyp #trend #trending #nosebeer #nosecandy #foryoupage #fortheboys #ftb #,False,doormanpete_official_video_6935853170061004038.mp4,doormanpete_official,Pete,93200,1143,1900000,497,15100
6935853170061004038,2021-03-04T09:32:41,10,hope you like #peteyblinders #familyblinders #50sc #fyp #trend #trending #nosebeer #nosecandy #foryoupage #fortheboys #ftb #,GB,24300,2152,210,572100,hope you like #peteyblinders #familyblinders #50sc #fyp #trend #trending #nosebeer #nosecandy #foryoupage #fortheboys #ftb #,False,doormanpete_official_video_6935853170061004038.mp4,doormanpete_official,Pete,93200,1143,1900000,497,15100
7118904631434120494,2022-07-10T17:25:50,34,#drunk #funny #friends #comedy #party #nosebeer #viral #foryou #fyp,US,54900,1515,123,539100,#drunk #funny #friends #comedy #party #nosebeer #viral #foryou #fyp,False,zachaholic__video_7118904631434120494.mp4,zachaholic_,Zach,20100,2167,1200000,867,4047
7050222169200217391,2022-01-06T14:22:46,6,#nosebeers #YerAWizard #darkhumour #fyp #foryou #❄️ #nosecandy #comedy #,US,10800,2330,142,526300,#nosebeers #YerAWizard #darkhumour #fyp #foryou #❄️ #nosecandy #comedy #,False,dommylongdong_video_7050222169200217391.mp4,dommylongdong,Dommy Long Dong,4081,207,185300,184,1046
7020029620258950406,2021-10-17T06:40:16,6,#goodtimes #nosebeers #peachy #nosecandy #thebag #cheekybump #neversaynever,GB,28200,3944,335,512300,#goodtimes #nosebeers #peachy #nosecandy #thebag #cheekybump #neversaynever,False,not.trucker_lou_video_7020029620258950406.mp4,not.trucker_lou,lou,144000,256,6000000,464,5082
6965372543687527685,2021-05-22T23:43:02,6,#eurovision #italy #nosebeer,GB,16300,2809,307,465500,#eurovision #italy #nosebeer,False,gracehlondon_video_6965372543687527685.mp4,gracehlondon,GraceHLondon,8902,1101,116000,60,7967
6925457403144080646,2021-02-04T09:11:55,17,Ooops #fyp #fake #car #mother #nosecandy #sorrymom,GB,30200,406,166,439500,Ooops #fyp #fake #car #mother #nosecandy #sorrymom,False,brodies100_video_6925457403144080646.mp4,brodies100,Brodie Stott,6379,1245,191000,64,13600
6993616703057825030,2021-08-07T02:24:40,12,3 day bender no surrender #peepshow #meme #comedy #alanjohnson #nosebeer,GB,24300,1077,97,389900,3 day bender no surrender #peepshow #meme #comedy #alanjohnson #nosebeer,False,peepshowtok_video_6993616703057825030.mp4,peepshowtok,Super Hans,44600,10,2200000,299,58
7129875086374391045,2022-08-09T06:56:48,5,#fyp #nosebeer #bag #uk,GB,9433,769,70,394800,#fyp #nosebeer #bag #uk,False,kdawgwillis_video_7129875086374391045.mp4,kdawgwillis,Kitty,2150,421,116200,31,1766
7015268709551869190,2021-10-04T10:45:30,6,#123PandoraME #pub#pint#sesh#after#nosebeer #fyp#foryou,GB,3689,729,81,371300,#123PandoraME #pub#pint#sesh#after#nosebeer #fyp#foryou,False,spower80s_video_7015268709551869190.mp4,spower80s,Sean Power,13400,4614,684200,1635,17800
7050865398496988462,2022-01-08T07:58:50,8,#nosebeers #YerAWizard #boostofhope #darkhumour #fyp #foryou #❄️ #comedy #nosecandy #unionmoney,US,14600,1983,172,336700,#nosebeers #YerAWizard #boostofhope #darkhumour #fyp #foryou #❄️ #comedy #nosecandy #unionmoney,False,dommylongdong_video_7050865398496988462.mp4,dommylongdong,Dommy Long Dong,4081,207,185300,184,1046
7050560158195485998,2022-01-07T12:14:21,6,#beerpong #party #comedy #trend #viral #nosebeer #boostofhope #foryou #fypシ #fyp,US,12900,1528,67,322600,#beerpong #party #comedy #trend #viral #nosebeer #boostofhope #foryou #fypシ #fyp,False,zachaholic__video_7050560158195485998.mp4,zachaholic_,Zach,20100,2167,1200000,867,4047
7105398736804793605,2022-06-04T07:56:04,5,#funny #nosebeer #councilestate #sfkrazys,GB,9654,325,128,305500,#funny #nosebeer #councilestate #sfkrazys,False,kurtscrazys3.0_video_7105398736804793605.mp4,kurtscrazys3.0,Kurtscrazys,3527,51,119500,78,121
7046163569083256111,2021-12-26T15:53:20,8,#greenscreen #MyPlayoffPicks #ShareTheMagic #nosebeers #❄️ #darkhumour #nosecandy,US,17500,653,167,304100,#greenscreen #MyPlayoffPicks #ShareTheMagic #nosebeers #❄️ #darkhumour #nosecandy,False,dommylongdong_video_7046163569083256111.mp4,dommylongdong,Dommy Long Dong,4081,207,185300,184,1046
7104919640685563141,2022-06-03T00:57:03,8,#funny #afters #nosebeer #councilestate #sfkrazys,GB,16600,1223,164,301300,#funny #afters #nosebeer #councilestate #sfkrazys,False,kurtscrazys3.0_video_7104919640685563141.mp4,kurtscrazys3.0,Kurtscrazys,3527,51,119500,78,121
7109533526889860357,2022-06-15T11:21:09,5,#nosebeer #fyp #bag #uk    @danielstamper  maybe it’s a problem,GB,10600,107,66,277500,#nosebeer #fyp #bag #uk    @danielstamper  maybe it’s a problem,False,kdawgwillis_video_7109533526889860357.mp4,kdawgwillis,Kitty,2150,421,116200,31,1766
7043996454494539055,2021-12-20T19:43:49,8,I messed up #ThanksandGiving #xyzbca #bagtok #nosebeers #tattoos #sesh #nosebeer,US,480000,3873,1800,3300000,I messed up #ThanksandGiving #xyzbca #bagtok #nosebeers #tattoos #sesh #nosebeer,False,sugarb69_video_7043996454494539055.mp4,sugarb69,Sugarb69🦋✨,131200,707,3300000,305,41100
7100277174627732741,2022-05-21T12:41:45,7,🤣🤣🤭#drink#saturdayvibes #fyp #comedy #viral #tiktok #likes #trending #dankmemes #foryoupage #foryou #party#boatparty#nosecandy#saturday #amberheard#choachella2022 #partyhard,GB,49000,6110,979,2100000,🤣🤣🤭#drink#saturdayvibes #fyp #comedy #viral #tiktok #likes #trending #dankmemes #foryoupage #foryou #party#boatparty#nosecandy#saturday #amberheard#choachella2022 #partyhard,False,martina2783_video_7100277174627732741.mp4,martina2783,Martina2783,10100,1082,675400,74,17400
7034269314039565573,2021-11-24T14:37:33,7,why do i look like jaffar #aleciabethmoore #nosebeer #uk #glasgow #london,GB,52100,1649,661,910200,why do i look like jaffar #aleciabethmoore #nosebeer #uk #glasgow #london,False,jacqupot_video_7034269314039565573.mp4,jacqupot,Jacques 🌈,50700,333,3300000,295,3416
6963884642525121793,2021-05-18T23:29:07,9,It’s a joke I’m a concreter #tradie #concreter #nosebeer #fyp,AU,95200,197,578,618300,It’s a joke I’m a concreter #tradie #concreter #nosebeer #fyp,False,jacobjohnston30_video_6963884642525121793.mp4,jacobjohnston30,Jacob Johnston,6171,371,111300,1,273
6935853170061004038,2021-03-04T09:32:41,10,hope you like #peteyblinders #familyblinders #50sc #fyp #trend #trending #nosebeer #nosecandy #foryoupage #fortheboys #ftb #,GB,24300,2152,210,572100,hope you like #peteyblinders #familyblinders #50sc #fyp #trend #trending #nosebeer #nosecandy #foryoupage #fortheboys #ftb #,False,doormanpete_official_video_6935853170061004038.mp4,doormanpete_official,Pete,93200,1147,1900000,497,15100
7118904631434120494,2022-07-10T17:25:50,34,#drunk #funny #friends #comedy #party #nosebeer #viral #foryou #fyp,US,54900,1517,123,539300,#drunk #funny #friends #comedy #party #nosebeer #viral #foryou #fyp,False,zachaholic__video_7118904631434120494.mp4,zachaholic_,Zach,20200,2162,1200000,868,4049
7050222169200217391,2022-01-06T14:22:46,6,#nosebeers #YerAWizard #darkhumour #fyp #foryou #❄️ #nosecandy #comedy #,US,10800,2330,142,526300,#nosebeers #YerAWizard #darkhumour #fyp #foryou #❄️ #nosecandy #comedy #,False,dommylongdong_video_7050222169200217391.mp4,dommylongdong,Dommy Long Dong,4081,208,185500,184,1049
7020029620258950406,2021-10-17T06:40:16,6,#goodtimes #nosebeers #peachy #nosecandy #thebag #cheekybump #neversaynever,GB,28200,3944,335,512300,#goodtimes #nosebeers #peachy #nosecandy #thebag #cheekybump #neversaynever,False,not.trucker_lou_video_7020029620258950406.mp4,not.trucker_lou,lou,144700,256,6000000,465,5100
6965372543687527685,2021-05-22T23:43:02,6,#eurovision #italy #nosebeer,GB,16300,2809,307,465500,#eurovision #italy #nosebeer,False,gracehlondon_video_6965372543687527685.mp4,gracehlondon,GraceHLondon,8906,1103,116000,60,7980
6925457403144080646,2021-02-04T09:11:55,17,Ooops #fyp #fake #car #mother #nosecandy #sorrymom,GB,30200,406,166,439500,Ooops #fyp #fake #car #mother #nosecandy #sorrymom,False,brodies100_video_6925457403144080646.mp4,brodies100,Brodie Stott,6379,1245,191000,64,13600
6993616703057825030,2021-08-07T02:24:40,12,3 day bender no surrender #peepshow #meme #comedy #alanjohnson #nosebeer,GB,24300,1077,97,389900,3 day bender no surrender #peepshow #meme #comedy #alanjohnson #nosebeer,False,peepshowtok_video_6993616703057825030.mp4,peepshowtok,Super Hans,44600,10,2200000,299,58
7129875086374391045,2022-08-09T06:56:48,5,#fyp #nosebeer #bag #uk,GB,9459,774,70,395900,#fyp #nosebeer #bag #uk,False,kdawgwillis_video_7129875086374391045.mp4,kdawgwillis,Kitty,2151,421,116200,31,1766
7015268709551869190,2021-10-04T10:45:30,6,#123PandoraME #pub#pint#sesh#after#nosebeer #fyp#foryou,GB,3689,729,81,371300,#123PandoraME #pub#pint#sesh#after#nosebeer #fyp#foryou,False,spower80s_video_7015268709551869190.mp4,spower80s,Sean Power,13400,4614,684200,1635,17800
7050865398496988462,2022-01-08T07:58:50,8,#nosebeers #YerAWizard #boostofhope #darkhumour #fyp #foryou #❄️ #comedy #nosecandy #unionmoney,US,14600,1983,172,336700,#nosebeers #YerAWizard #boostofhope #darkhumour #fyp #foryou #❄️ #comedy #nosecandy #unionmoney,False,dommylongdong_video_7050865398496988462.mp4,dommylongdong,Dommy Long Dong,4081,208,185500,184,1049
7050560158195485998,2022-01-07T12:14:21,6,#beerpong #party #comedy #trend #viral #nosebeer #boostofhope #foryou #fypシ #fyp,US,12900,1528,67,322600,#beerpong #party #comedy #trend #viral #nosebeer #boostofhope #foryou #fypシ #fyp,False,zachaholic__video_7050560158195485998.mp4,zachaholic_,Zach,20200,2162,1200000,868,4049
7105398736804793605,2022-06-04T07:56:04,5,#funny #nosebeer #councilestate #sfkrazys,GB,9654,325,128,305600,#funny #nosebeer #councilestate #sfkrazys,False,kurtscrazys3.0_video_7105398736804793605.mp4,kurtscrazys3.0,Kurtscrazys,3533,51,119500,78,123
