user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
shisharant,6800865933931414533,7103305817033592069,Which type? 🤔 #shisharant #shisha #hookah #asmr #mannheim,2022-05-29 16:34:28,41,https://www.tiktok.com/@shisharant/video/7103305817033592069?lang=en,2100000,15000,7485,37300000
edishisha,136030738709233666,7005583671876930822,#satyisfying #viral #LeftiesSportChallenge #asmrvideo #flavor #asmrtiktoks #edishisha #asmr #hookah #shisha #fyp #smoke #satisfyingsounds #trend,2021-09-08 08:22:37,26,https://www.tiktok.com/@edishisha/video/7005583671876930822?lang=en,2000000,11900,7086,47300000
hookahvilleofficial,6865103218352407558,6954124647495519493,Blueberry unboxing 🫐  #shisha #satisfying #flavor #asmrtiktoks #hookah #asmrvideo #asmr #shishalover #Destinationdepop,2021-04-22 16:15:21,30,https://www.tiktok.com/@hookahvilleofficial/video/6954124647495519493?lang=en,1500000,20300,5841,27400000
hookah.town,6943259012998022146,6958562763048242434,Double Apple  Unboxing #satisfy #shisha #flavour #asmrtiktoks #hookah #asmrvideo #asmr #shishalover #destinationdepop #اكسبلور #foryou #foryourpage,2021-05-04 15:17:35,29,https://www.tiktok.com/@hookah.town/video/6958562763048242434?lang=en,1300000,36000,8793,41700000
nazy20,6795704034553693190,6868847452326317317,Thank me later :)... #fyp #shisha #trendingnow #hookah #afghan,2020-09-04 20:56:25,20,https://www.tiktok.com/@nazy20/video/6868847452326317317?lang=en,929900,40400,6328,10600000
musica.variable,6811709379566781445,7076276068696608005,Hagan su pedido🖤 #hookah #donomar #fypシ #parati,2022-03-17 20:25:14,18,https://www.tiktok.com/@musica.variable/video/7076276068696608005?lang=en,763200,12700,490,7300000
mitsosstra,7068945396710196229,7072292412051279109,#fyp #fy #foryou #hookah,2022-03-07 01:46:38,9,https://www.tiktok.com/@mitsosstra/video/7072292412051279109?lang=en,757800,8375,5187,10700000
hiteshparmar0207,6608541399481991173,6805799656224738562,#HandWashChallenge #@sheetalanjara #tiktok__india #trend #trending #foryourpage #foryoupage #foryou #tattoo #darkstarinktattoostudio #hookah #love,2020-03-18 23:18:37,13,https://www.tiktok.com/@hiteshparmar0207/video/6805799656224738562?lang=en,674300,3801,839,9800000
rh._.25,101211846128361472,6814022284827774213,How to blow the thes rings #foryourpage #smoke #skills #hookah #smokerings #smokeringschallenge #justforfun #tiktot #fyp,2020-04-10 03:06:38,10,https://www.tiktok.com/@rh._.25/video/6814022284827774213?lang=en,640100,20200,8476,5600000
toocha_vape,6906746527445369857,7065590943386291458,ХАХАХА #рек #кальнщик #hookah #hookah #hqd,2022-02-17 00:21:28,7,https://www.tiktok.com/@toocha_vape/video/7065590943386291458?lang=en,626000,3952,3885,4100000
nazy20,6795704034553693190,6888549566371728646,Orange Head Shisha! #fyp #foryourpage #viral #trendingnow #shisha #hookahlounge #exprESSIEyourself #hookah #arabtiktok #afghan #istanbul #arabmusic,2020-10-27 23:12:38,43,https://www.tiktok.com/@nazy20/video/6888549566371728646?lang=en,611400,21900,1941,10200000
nedo_shisha,6822262907012383749,6965247866495421701,#shisha #hookah #nargila #viral #fypシ #aryf #nedoshisha,2021-05-22 15:39:07,10,https://www.tiktok.com/@nedo_shisha/video/6965247866495421701?lang=en,585200,29500,3213,14500000
spacesmoke.world,6968493296918856705,7044616727287647489,#asmr #asmrsounds #fyp #foryoupage #hookah,2021-12-22 11:50:48,21,https://www.tiktok.com/@spacesmoke.world/video/7044616727287647489?lang=en,570600,14700,2284,18400000
mark.gzs,6764176914803590149,6886222390116896006,Reply to @yung_playboi_sneaks #fyp #FallDIY #ThatWitch #foryou #foryoupage #hookah #koolkid #clouds #musttry,2020-10-21 16:40:33,39,https://www.tiktok.com/@mark.gzs/video/6886222390116896006?lang=en,543800,6646,2684,2100000
lizoodell,6802901233340285958,6974439543730703621,Reply to @blakeroisen we back! #hookah #mixology #smokeddrinks #PrimeDayShowPJParty #fyp #tequilanation,2021-06-16 10:07:31,17,https://www.tiktok.com/@lizoodell/video/6974439543730703621?lang=en,534700,17500,1479,9100000
edishisha,136030738709233666,7011884736033328389,#asmrsounds #asmr #fyp #viral #asmrvideo #asmrtiktoks #satisfying #flavor #hookah #smoke #trend,2021-09-25 07:53:57,21,https://www.tiktok.com/@edishisha/video/7011884736033328389?lang=en,516000,3373,1730,16700000
guavaworld,4149082,6907105809453403398,PT:1  SETTING YOUR HOOKAH !!  👅💦 #fyp #nyc #hookah #fypシ #hooks #hookahhookah #foryoupage #jersey,2020-12-16 22:19:05,59,https://www.tiktok.com/@guavaworld/video/6907105809453403398?lang=en,465700,3497,1277,3200000
shisharant,6800865933931414533,7122334193606069510,Find the mistake 🧐 #shisharant #asmr #shisha #hookah #mannheim,2022-07-19 23:14:29,42,https://www.tiktok.com/@shisharant/video/7122334193606069510?lang=en,461100,2199,1797,13100000
edishisha,136030738709233666,6961095928598285574,#shisha #satisfying #asmrtiktoks #asmr #asmrvideo #hookah #smoke #satisfyingvideo #viral #flavor #edishisha,2021-05-11 11:07:29,17,https://www.tiktok.com/@edishisha/video/6961095928598285574?lang=en,427500,3641,2366,12200000
edishisha,136030738709233666,7059012011430038790,#shisha #satisfyingsounds #satisfyingvideo #asmr #asmrsounds #asmrvideo #asmrtiktoks #asmrviral #shishaedi #shisha #edishisha #hookah #mint #trend,2022-01-30 06:51:51,17,https://www.tiktok.com/@edishisha/video/7059012011430038790?lang=en,381000,2758,1798,15600000
spacesmoke.world,6968493296918856705,7071190159164853505,#shisha #hookah #fyp #foryou #foryoupage,2022-03-04 02:29:17,13,https://www.tiktok.com/@spacesmoke.world/video/7071190159164853505?lang=en,377300,7286,964,7400000
