user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
hookahvilleofficial,6865103218352407558,6892121141167656198,Blueberry Unboxing💙 #shisha #satisfying #fyp #flavor #hookahcloud #hookah #UnwrapTheDeals,2020-11-06 13:10:42,27,https://www.tiktok.com/@hookahvilleofficial/video/6892121141167656198?lang=en,354800,15300,3443,8600000
hookahvilleofficial,6865103218352407558,6884402467249900805,"Reply to @drdank22  For Everyone Asking Why We Juice Our Hookah, I Hope This Helps #fyp #shisha #hookah #smoke #mint #smoke #flavor #hookahcloud",2020-10-16 18:58:18,52,https://www.tiktok.com/@hookahvilleofficial/video/6884402467249900805?lang=en,177900,8256,766,3000000
hookahvilleofficial,6865103218352407558,6883645168990358790,Mint Flavor Unboxing🚨                                  #hookah #Shisha #mint #smoke #flavor #fyp #hookahcloud #vape #satisfying,2020-10-14 17:59:33,50,https://www.tiktok.com/@hookahvilleofficial/video/6883645168990358790?lang=en,164800,11100,1059,3800000
hookahvilleofficial,6865103218352407558,6893651352812129542,Vanilla Mint Unboxing 🤍💚 #shisha #satisfying #fyp #flavor #hookahcloud #mint #vanilla,2020-11-10 16:08:39,59,https://www.tiktok.com/@hookahvilleofficial/video/6893651352812129542?lang=en,104000,3129,548,1600000
queeenrayy__,5237221,6905261154671660294,Una hookita a mi manera ❤️🥰 #hookah #bussin #fyp #fypシ #foryou #foryoupage #feen #dontletitflop #tutorial #dominican #hookahcloud #latinos #👁👄👁,2020-12-11 23:00:51,58,https://www.tiktok.com/@queeenrayy__/video/6905261154671660294?lang=en,80900,3456,303,640300
ratohookah,6813751257069716486,6952261259660119301,#compreiumarsenaldepeça #fy #tiktok #hookahcloud #viral #foryou #fyp #hookah #shisha #nargis #shishamo #funk #memehub,2021-04-17 15:44:27,9,https://www.tiktok.com/@ratohookah/video/6952261259660119301?lang=en,65600,1926,249,1600000
basharderbas,6645106406193102853,6905348992431934721,#foryoupage #hookahhookah #hookahcloud #shisha #fyp#hookahexpert #arghileh #hooka #arghile,2020-12-12 04:40:52,25,https://www.tiktok.com/@basharderbas/video/6905348992431934721?lang=en,28700,5829,290,996200
basharderbas,6645106406193102853,7080497741083741441,Longer lasting Shisha #fyp #cloud #shisha #fypシ #russiantiktok #dubai #hookahexpert #hookahfun #hookahcloud,2022-03-29 05:27:28,36,https://www.tiktok.com/@basharderbas/video/7080497741083741441?lang=en,26300,1190,299,1500000
queeenrayy__,5237221,6905107862050147589,#hookah #bussin #fyp #fypシ #foryou #foryoupage #feen #dontletitflop #tutorial #dominican #hookahcloud #latinos #👁👄👁,2020-12-11 13:05:25,48,https://www.tiktok.com/@queeenrayy__/video/6905107862050147589?lang=en,17300,2307,135,155000
ratohookah,6813751257069716486,6954843354282691845,#allthewayup #fy #tiktok #hookahcloud #viral #foryou #fyp #hookah #shisha #nargis #shishamo #memehub #funk,2021-04-24 14:44:18,12,https://www.tiktok.com/@ratohookah/video/6954843354282691845?lang=en,15600,716,62,244300
edishisha,136030738709233666,7023310458228591877,#shisha #fruit #flavor #shishatikok #viral #foryou #asmr #asmrsounds #asmrtiktoks #edishisha #shishaedi #hookah #hookahcloud #narguilé,2021-10-26 02:51:37,18,https://www.tiktok.com/@edishisha/video/7023310458228591877?lang=en,13300,907,95,303500
edishisha,136030738709233666,7036746966193245445,#shisha #hookah #asmr #edishisha #asmrsounds #viral #asmrvideo #foryou #foryoupage #fyp #shishatikok #asmrtiktoks #shishaedi #hookahcloud #trend,2021-12-01 06:52:06,17,https://www.tiktok.com/@edishisha/video/7036746966193245445?lang=en,12600,53,28,182100
disuckin,6703042571742495750,6899719422206938370,Нетерпеливый какой🤣#гость #общепит #кальянныймастер #типичныйкальянщик #кальян #hookahcloud,2020-11-27 00:35:16,11,https://www.tiktok.com/@disuckin/video/6899719422206938370?lang=en,10100,15,4,89600
ratohookah,6813751257069716486,6937031382170471686,#discoarranhado #hookahcloud #viral #foryou #fyp #fy #hookah #shishamo #arguile #arguilebr #arguiles #narguilerosa #nargis #shisha #narguile #nargui,2021-03-07 13:44:45,15,https://www.tiktok.com/@ratohookah/video/6937031382170471686?lang=en,9625,88,54,229400
