user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
guavaworld,4149082,6907105809453403398,PT:1  SETTING YOUR HOOKAH !!  👅💦 #fyp #nyc #hookah #fypシ #hooks #hookahhookah #foryoupage #jersey,2020-12-16 22:19:05,59,https://www.tiktok.com/@guavaworld/video/6907105809453403398?lang=en,465700,3497,1277,3200000
mitrosher,6767072866099921926,6900094253691620610,#собака #dog #hooka #hookahhookah #dogsoftiktok #trick #hookahtricks,2020-11-28 00:49:48,12,https://www.tiktok.com/@mitrosher/video/6900094253691620610?lang=en,122400,1115,302,461800
ambroci.ca,6853518697564144646,6858303487587929350,#foryou #fy #foryoupage #рек #hookah #fiveclub #narghilea #hookahtime #hookahrooms #hookahlounge #hookahhookah,2020-08-07 11:00:20,15,https://www.tiktok.com/@ambroci.ca/video/6858303487587929350?lang=en,94900,535,548,1600000
teelabay,6822368252276327430,6828303200655805702,#fumari #hookah #bowl. Just my methods. #shisha #alfakher #hookahhookah #myahookah #inhale #pear #mint #fyp #foryou #howto,2020-05-18 14:43:51,58,https://www.tiktok.com/@teelabay/video/6828303200655805702?lang=en,86500,434,480,616900
steph_mike,6791597995713971205,6909238787725905158,Prepping bowl for your hookah  part 1 #hookahhookah #hallsinyourbowl #prepyourbowl #hookah #fyp,2020-12-22 16:15:29,15,https://www.tiktok.com/@steph_mike/video/6909238787725905158?lang=en,71100,1862,281,851600
ndeanicole,6813033569020724225,6869980069238951173,How i clean my Hookah after a session 🤘🏾#hookah #hookahqueen #hooka_lover #fyp #shisha #blacktiktokcommunity #blacktiktok #hookahhookah #hookahtime,2020-09-07 22:11:38,19,https://www.tiktok.com/@ndeanicole/video/6869980069238951173?lang=en,34700,111,152,393100
samchowtravels,6781193243436696582,6986611918316260613,Shisha lounges are now fully open 👏🏽 #shishalounge #hookahhookah #londonrestaurants #aesthetic #london #sitbackdown #fypp,2021-07-19 05:22:37,13,https://www.tiktok.com/@samchowtravels/video/6986611918316260613?lang=en,33900,4453,812,358500
naymahussein,146731500246495233,6850595134417947910,#smoke #shisha #hookahhookah #foryou #fypシ,2020-07-17 16:27:57,27,https://www.tiktok.com/@naymahussein/video/6850595134417947910?lang=en,31900,187,169,316100
thehfamily_,6806481637967512582,6884849078623046917,Things to do in Vegas. Discopu55y ! #housemusic #vegas #hookahhookah #drinks #discopu55y #foryoupage #fyp,2020-10-17 23:52:13,15,https://www.tiktok.com/@thehfamily_/video/6884849078623046917?lang=en,30100,1881,118,397100
basharderbas,6645106406193102853,6905348992431934721,#foryoupage #hookahhookah #hookahcloud #shisha #fyp#hookahexpert #arghileh #hooka #arghile,2020-12-12 04:40:52,25,https://www.tiktok.com/@basharderbas/video/6905348992431934721?lang=en,28700,5829,290,996200
geegeehabibty,6769903472831628293,6831375378183982342,Is this ur happy place too? #aggy #fyp  #shisha #hookahhookah,2020-05-26 21:25:39,10,https://www.tiktok.com/@geegeehabibty/video/6831375378183982342?lang=en,28300,63,45,804800
shamsmajeed73,6864044254872830977,6894678679683697922,Audeek Aundi eid de ! Nhi a mazak a 😂apnay ko pubg Vedio he suit krti ha #illu #foryou #pubgpakistan #hookahhookah,2020-11-13 10:34:36,15,https://www.tiktok.com/@shamsmajeed73/video/6894678679683697922?lang=en,28100,32,10,44000
shamsmajeed73,6864044254872830977,6894675619297168641,Chithiyan 😂💯 #foryou #illu #pubgpakistan #hookahhookah #toptrending #karan aujla #sadsong #FreeYourAwesome #funny #foryoupage,2020-11-13 10:22:44,15,https://www.tiktok.com/@shamsmajeed73/video/6894675619297168641?lang=en,25200,32,8,47100
shamsmajeed73,6864044254872830977,6892917727128800514,Habibi 😍❤️😂 show some love ❤️ #funny #foryou #foryoupage #pubgpakistan #pubgpakistan #hookahhookah #pubgmobile #pakistani,2020-11-08 16:41:15,60,https://www.tiktok.com/@shamsmajeed73/video/6892917727128800514?lang=en,25100,48,31,42900
