hashtag,user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
shisha,shisharant,6800865933931414533,7085399085657705733,🔊 1 or 2? #shisharant #fyp #asmr #shisha,2022-04-11 10:27:11,16,https://www.tiktok.com/@shisharant/video/7085399085657705733?lang=en,2500000,13100,18700,50300000
hookah,edishisha,136030738709233666,7005583671876930822,#satyisfying #viral #LeftiesSportChallenge #asmrvideo #flavor #asmrtiktoks #edishisha #asmr #hookah #shisha #fyp #smoke #satisfyingsounds #trend,2021-09-08 08:22:37,26,https://www.tiktok.com/@edishisha/video/7005583671876930822?lang=en,2000000,11900,7086,47300000
hookah,hookah.town,6943259012998022146,6958562763048242434,Double Apple  Unboxing #satisfy #shisha #flavour #asmrtiktoks #hookah #asmrvideo #asmr #shishalover #destinationdepop #اكسبلور #foryou #foryourpage,2021-05-04 15:17:35,29,https://www.tiktok.com/@hookah.town/video/6958562763048242434?lang=en,1300000,36000,8793,41700000
hookah,shisharant,6800865933931414533,7103305817033592069,Which type? 🤔 #shisharant #shisha #hookah #asmr #mannheim,2022-05-29 16:34:28,41,https://www.tiktok.com/@shisharant/video/7103305817033592069?lang=en,2100000,15000,7485,37300000
shisha,ranjjabar,6777651883383243781,7051683619772878085,#asmr #viral #fypシ #sheffield #manchester #uk #kurdish #london #fyp #kurdishboy🇹🇯🇬🇧 #kurdishuk #foryou #shisha #shishalover #flavour #make #ever,2022-01-10 12:53:57,15,https://www.tiktok.com/@ranjjabar/video/7051683619772878085?lang=en,369800,2831,554,28300000
hookah,hookahvilleofficial,6865103218352407558,6954124647495519493,Blueberry unboxing 🫐  #shisha #satisfying #flavor #asmrtiktoks #hookah #asmrvideo #asmr #shishalover #Destinationdepop,2021-04-22 16:15:21,30,https://www.tiktok.com/@hookahvilleofficial/video/6954124647495519493?lang=en,1500000,20300,5841,27400000
hookah,aj_hookah,6973880980574684166,7046547579584253190,#hookah#shisha#time#monday#night#mood#blue#clouds#space#paste#k18hairflip#fyp#foryou#foryouoage#4u,2021-12-27 16:43:30,17,https://www.tiktok.com/@aj_hookah/video/7046547579584253190?lang=en,1300000,65100,7690,22800000
shisha,yasincengiz38,6588175121001054213,7104621795315027202,#daimtobacco #hookahtobacco #shisha #mersinnn33  #bygöbekshow #göbekshow #LiveForTheChallenge #kayseriii #38 #38baby #türkiyem🇹🇷🇹🇷🇹🇷 #ramania🇷🇴 #azerbaycan🇦🇿 #ukrayna🇺🇦 #rusya🇷🇺 #cezayir🇹🇷الجزائر🇩🇿 #ıraq🇾🇪 #bulgaristan🇧🇬❤️,2022-06-02 05:41:07,8,https://www.tiktok.com/@yasincengiz38/video/7104621795315027202?lang=en,523000,8076,2685,19600000
hookah,spacesmoke.world,6968493296918856705,7044616727287647489,#asmr #asmrsounds #fyp #foryoupage #hookah,2021-12-22 11:50:48,21,https://www.tiktok.com/@spacesmoke.world/video/7044616727287647489?lang=en,570600,14700,2284,18400000
hookah,ramisfarooqui,6733990478029161477,7013467698751376646,Palestinians plz ask your baba may I have his phone number 😳🇵🇸 #fypシ #foryou #foru #foryoupage #hookah #lemonade #lemon #foreign,2021-09-29 14:16:39,5,https://www.tiktok.com/@ramisfarooqui/video/7013467698751376646?lang=en,151300,260,129,18200000
shisha,ranjjabar,6777651883383243781,7097321389681659142,#kurdishuk #kurdistan #uk #fyp #foryoupag #foryou #kurdishforyoupage #asmr #viral #sheffield #fypシ #kurdishlondon #manchester #kurdishboy🇹🇯🇬🇧 #kurdanitarawga🇬🇧🇬🇧 #kurd #slemani #hawler #u #nergala #shisha #shishalover #iraq #irani #germany #uae,2022-05-13 13:31:49,14,https://www.tiktok.com/@ranjjabar/video/7097321389681659142?lang=en,138100,943,141,17100000
shisha,shahid__751,6665319963635712005,6909173975809625346,#shisha #lover #fan #SochSeyZyaada,2020-12-22 12:03:47,13,https://www.tiktok.com/@shahid__751/video/6909173975809625346?lang=en,1200000,38400,6656,16900000
hookah,edishisha,136030738709233666,7011884736033328389,#asmrsounds #asmr #fyp #viral #asmrvideo #asmrtiktoks #satisfying #flavor #hookah #smoke #trend,2021-09-25 07:53:57,21,https://www.tiktok.com/@edishisha/video/7011884736033328389?lang=en,516000,3373,1730,16700000
hookah,aliosman_acar,6648289353071869957,7050878614253980930,Nargile camlari her serviste itina İLE yıkanirmi??#nargilee #aliosmaanacar #keşfet #hookah #yücelcetesi #divanenargileevi,2022-01-08 08:50:07,15,https://www.tiktok.com/@aliosman_acar/video/7050878614253980930?lang=en,261000,3873,2129,16700000
hookah,edishisha,136030738709233666,7059012011430038790,#shisha #satisfyingsounds #satisfyingvideo #asmr #asmrsounds #asmrvideo #asmrtiktoks #asmrviral #shishaedi #shisha #edishisha #hookah #mint #trend,2022-01-30 06:51:51,17,https://www.tiktok.com/@edishisha/video/7059012011430038790?lang=en,381000,2758,1798,15600000
shisha,shisharant,6800865933931414533,7086219478127676678,What do you say? 🤔 #shisharant #asmr #asmrsounds #shisha,2022-04-13 15:30:45,16,https://www.tiktok.com/@shisharant/video/7086219478127676678?lang=en,405100,7040,4902,15000000
hookah,samisweetest,6847929423518385157,7047877741756026158,@riaaalexandra #coldfeet #cold #bestfriends #bestfriendscheck #imissyou  #hookah,2021-12-31 06:45:14,6,https://www.tiktok.com/@samisweetest/video/7047877741756026158?lang=en,188700,3042,1108,14700000
hookah,nedo_shisha,6822262907012383749,6965247866495421701,#shisha #hookah #nargila #viral #fypシ #aryf #nedoshisha,2021-05-22 15:39:07,10,https://www.tiktok.com/@nedo_shisha/video/6965247866495421701?lang=en,585200,29500,3213,14500000
hookah,hookah.town,6943259012998022146,6962659955585469698,"On Followers Request, Once Again #satisfy #shisha #flavour #asmrtiktoks #hookah #asmrvideo #asmr #shishalover #destinationdepop #اكسبلور #foryou #fyp",2021-05-15 16:16:48,38,https://www.tiktok.com/@hookah.town/video/6962659955585469698?lang=en,362300,19200,3865,13900000
shisha,maryamalraii0,6724159493250909189,6793495497538571526,Shisha time #shisha#fakher,2020-02-14 18:32:11,15,https://www.tiktok.com/@maryamalraii0/video/6793495497538571526?lang=en,277200,39600,2033,13900000
