user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
shisharant,6800865933931414533,7085399085657705733,🔊 1 or 2? #shisharant #fyp #asmr #shisha,2022-04-11 10:27:11,16,https://www.tiktok.com/@shisharant/video/7085399085657705733?lang=en,2500000,13100,18700,50300000
shisharant,6800865933931414533,7103305817033592069,Which type? 🤔 #shisharant #shisha #hookah #asmr #mannheim,2022-05-29 16:34:28,41,https://www.tiktok.com/@shisharant/video/7103305817033592069?lang=en,2100000,15000,7485,37300000
edishisha,136030738709233666,7005583671876930822,#satyisfying #viral #LeftiesSportChallenge #asmrvideo #flavor #asmrtiktoks #edishisha #asmr #hookah #shisha #fyp #smoke #satisfyingsounds #trend,2021-09-08 08:22:37,26,https://www.tiktok.com/@edishisha/video/7005583671876930822?lang=en,2000000,11900,7086,47300000
hookahvilleofficial,6865103218352407558,6954124647495519493,Blueberry unboxing 🫐  #shisha #satisfying #flavor #asmrtiktoks #hookah #asmrvideo #asmr #shishalover #Destinationdepop,2021-04-22 16:15:21,30,https://www.tiktok.com/@hookahvilleofficial/video/6954124647495519493?lang=en,1500000,20300,5841,27400000
hookah.town,6943259012998022146,6958562763048242434,Double Apple  Unboxing #satisfy #shisha #flavour #asmrtiktoks #hookah #asmrvideo #asmr #shishalover #destinationdepop #اكسبلور #foryou #foryourpage,2021-05-04 15:17:35,29,https://www.tiktok.com/@hookah.town/video/6958562763048242434?lang=en,1300000,36000,8793,41700000
shahid__751,6665319963635712005,6909173975809625346,#shisha #lover #fan #SochSeyZyaada,2020-12-22 12:03:47,13,https://www.tiktok.com/@shahid__751/video/6909173975809625346?lang=en,1200000,38400,6656,16900000
nazy20,6795704034553693190,6868847452326317317,Thank me later :)... #fyp #shisha #trendingnow #hookah #afghan,2020-09-04 20:56:25,20,https://www.tiktok.com/@nazy20/video/6868847452326317317?lang=en,929900,40400,6328,10600000
nazy20,6795704034553693190,6888549566371728646,Orange Head Shisha! #fyp #foryourpage #viral #trendingnow #shisha #hookahlounge #exprESSIEyourself #hookah #arabtiktok #afghan #istanbul #arabmusic,2020-10-27 23:12:38,43,https://www.tiktok.com/@nazy20/video/6888549566371728646?lang=en,611400,21900,1941,10200000
shahid__751,6665319963635712005,6912865285133323521,#shisha #lover #fan #SochSeyZyaada,2021-01-01 10:47:56,8,https://www.tiktok.com/@shahid__751/video/6912865285133323521?lang=en,601900,9274,2033,10000000
nedo_shisha,6822262907012383749,6965247866495421701,#shisha #hookah #nargila #viral #fypシ #aryf #nedoshisha,2021-05-22 15:39:07,10,https://www.tiktok.com/@nedo_shisha/video/6965247866495421701?lang=en,585200,29500,3213,14500000
