user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
shayyy_jjj,28200516,7033488354578599174,❄️💊 #funnypill #mdmatok #💊 #fördig,2021-11-22 12:07:02,6,https://www.tiktok.com/@shayyy_jjj/video/7033488354578599174?lang=en,5696,261,197,93800
cheyennedeincrush_,58749006201233408,7136130427076627718,Lmao #fypシ #mdmatok,2022-08-26 03:30:46,8,https://www.tiktok.com/@cheyennedeincrush_/video/7136130427076627718?lang=en,1681,3,6,11000
thatmushybish,7041277978244072453,7137649197712428293,"Cant actually believe half the stuff i used to put in my body, please dont sniff md its literally not worth it at all #seshtok #mollytokk #m0llytok #mdmatok ",2022-08-30 05:44:23,4,https://www.tiktok.com/@thatmushybish/video/7137649197712428293?lang=en,1483,6,37,9199
lurasidonemilkdrops,7056235868705244207,7104671076382149934,duet me your tats!! #picklestats #tattoos #hellokitty #centipede #selfdesignedtattoo #dagger #picklespungentpp #bandage #trending #🆓c🥛mm #cidtok🎆 #mollywater #mdmatok (mars i tagged you cause your name😭),2022-06-02 08:52:21,7,https://www.tiktok.com/@lurasidonemilkdrops/video/7104671076382149934?lang=en,485,0,10,2124
starrs.priv,6923551267458237445,7040156966978686213,the  ❄ drought is over #bpdtiktok #bpd #mdmatok #mandy,2021-12-10 11:24:39,13,https://www.tiktok.com/@starrs.priv/video/7040156966978686213?lang=en,152,1,4,4755
oinkdaddy12,7019696851411747846,7086133052740521222,we all miss it ig #molly #drxg #mdmatok #roll #,2022-04-13 09:55:21,7,https://www.tiktok.com/@oinkdaddy12/video/7086133052740521222?lang=en,86,2,5,1990
yatzki_stoned,6538723057661247494,7067588050372578566,⚠️fake pills 💊 @besitosdelola #ilove  #mdmatok #fyp #ironie #goviral,2022-02-22 09:31:16,18,https://www.tiktok.com/@yatzki_stoned/video/7067588050372578566?lang=en,75,2,12,1166
iwishmynamewasemma,6616724074502946821,6947888551786777862,#mdmatok,2021-04-05 20:56:10,7,https://www.tiktok.com/@iwishmynamewasemma/video/6947888551786777862?lang=en,28,0,0,2046
lsdeeznuts666,6806527274998875141,7116267490358922501,#mdmatok #rolling #trini_tiktoks #fypシ #💊,2022-07-03 14:52:25,31,https://www.tiktok.com/@lsdeeznuts666/video/7116267490358922501?lang=en,32,1,0,429
killkate17,6646917528893816838,7011666128678259973,i had no idea what was happening but had such a good time #highskoo #mdmatok,2021-09-24 17:45:39,8,https://www.tiktok.com/@killkate17/video/7011666128678259973?lang=en,2285,10,52,11300
spo0kypisces,6832052199792575494,7055098721868238126,LOL #CloseYourRings #ArbysDiabloDare #fyp #youpage #mdmatok #euphoria,2022-01-19 17:46:17,7,https://www.tiktok.com/@spo0kypisces/video/7055098721868238126?lang=en,161,5,7,2482
