hashtag,user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
m0llytok,marcash420,6784312901350048774,6988962057873853701,Best birthday idea ever🎉🥵 #21stbirthday #rave #diyrave #m0llytok,2021-07-25 13:22:17,33,https://www.tiktok.com/@marcash420/video/6988962057873853701?lang=en,764900,34000,6337,4700000
m0lly,sober_tears,6813903097900319750,7117099457103187246,true story #recoverytok #m0lly #highschool,2022-07-05 20:40:50,6,https://www.tiktok.com/@sober_tears/video/7117099457103187246?lang=en,399500,5965,2964,2500000
m0llytok,mentallyillwho,6551410261016712192,7019009724121107717,miss the feeling tho #mdtok #pingtok💊 #m0llytok #rolling #mandy #foryou #foryoupage,2021-10-14 12:42:33,10,https://www.tiktok.com/@mentallyillwho/video/7019009724121107717?lang=en,234200,678,2045,946800
m0llytok,thatmushybish,7041277978244072453,7130523039392910598,Worst thing i did was ignore that rule #m0llytok #mandytok #pinger #pingtok #seshtok,2022-08-11 00:51:16,5,https://www.tiktok.com/@thatmushybish/video/7130523039392910598?lang=en,78500,688,1152,729300
m0llytok,eddiesflow,6786138326548464645,6967167007389191430,just drink water ok #fypシ #m0llytok #e #roll #foryoupage,2021-05-27 19:46:24,8,https://www.tiktok.com/@eddiesflow/video/6967167007389191430?lang=en,75800,515,898,668900
m0llytok,camdawghh,6648284442640154630,7005946182434376965,5 gum got me looking like a creature #m0llytok #pingtok #CinderellaMovie #5gum #fyp #fypシ #uk,2021-09-09 07:49:20,6,https://www.tiktok.com/@camdawghh/video/7005946182434376965?lang=en,30800,690,488,380900
m0lly,ayyylexi,6649928427426545670,6964946113732332805,we don’t eat carbs 🤫 #euphoria #m0lly #cassie #maddi,2021-05-21 20:08:22,6,https://www.tiktok.com/@ayyylexi/video/6964946113732332805?lang=en,80600,1193,1649,296300
m0llytok,toadallybpd,6812092090252526598,7032554154333769007,#m0lly #molly #m0llytok #serotonin #bpd #fyp #foryoupage #substance  #bpdtiktok #drvg #drvgaddiction #CowboyBebop,2021-11-19 23:41:55,9,https://www.tiktok.com/@toadallybpd/video/7032554154333769007?lang=en,29200,373,478,276400
m0lly,fw.6.john,7016064210049549318,7122895463858064682,Stop.#addictionrecovery #adiction #xan#m0lly,2022-07-21 11:32:18,13,https://www.tiktok.com/@fw.6.john/video/7122895463858064682?lang=en,58300,171,861,231300
m0llytok,goffbaws,6615650181780635653,7016382329228692742,😐 #foryou #foryoupage #fyp #pingtok #m0llytok,2021-10-07 10:46:55,15,https://www.tiktok.com/@goffbaws/video/7016382329228692742?lang=en,29000,222,644,201800
m0llytok,lieberdruffwiesuff,7121638146836481030,7121769379569700102,stay hydrated‘ 💞 || #addicted #dontdodrxgs #tanteemma #rave #tecno #m0llytok #dontdodrugs #🧩,2022-07-18 10:42:31,12,https://www.tiktok.com/@lieberdruffwiesuff/video/7121769379569700102?lang=en,45000,203,323,164500
m0llytok,dingshabenwirnochpepps,6831519280459482118,7113132250132270342,#german #fy #fyp #techno #rave #foryoupage #foryou #ravetok #ravertok #englishvsgerman #m0llytok #emma,2022-06-25 04:06:05,7,https://www.tiktok.com/@dingshabenwirnochpepps/video/7113132250132270342?lang=en,17600,130,242,152100
m0llytok,eddiesflow,6786138326548464645,6935013636649913606,LIKE IF YOU MISS RAVING🥲 #ravers #edmlifestyle #edmtiktok #edmtok #fypシ #m0llytok #VideoSnapChallenge #foryou,2021-03-02 03:15:20,10,https://www.tiktok.com/@eddiesflow/video/6935013636649913606?lang=en,13800,448,204,133900
m0llytok,thatmushybish,7041277978244072453,7130692053977025798,Why is it so comfy for i spent half of my time on the floor #mollytokk #m0llytok #seshtok #pingerzzzz,2022-08-11 11:47:03,7,https://www.tiktok.com/@thatmushybish/video/7130692053977025798?lang=en,19800,295,357,113400
m0llytok,camdawghh,6648284442640154630,7023384932332375301,my best friend #m0llytok #pingtok #ExpectingGen1 #ASOSAlterEgo #fyp #trending #fypシ,2021-10-26 07:40:36,11,https://www.tiktok.com/@camdawghh/video/7023384932332375301?lang=en,13500,136,214,111300
m0llytok,sexsuperstar,7085591653039932462,7128695586458586414,#m0llytok  #m0lly #rave #fyp,2022-08-06 02:39:57,6,https://www.tiktok.com/@sexsuperstar/video/7128695586458586414?lang=en,20000,152,285,106700
m0lly,b0ngwater.666,6752841877370029062,6908861565915680006,it’s a ￼slippery slope #m0lly #fyp,2020-12-21 15:51:40,14,https://www.tiktok.com/@b0ngwater.666/video/6908861565915680006?lang=en,13200,165,153,96500
mdmatok,shayyy_jjj,28200516,7033488354578599174,❄️💊 #funnypill #mdmatok #💊 #fördig,2021-11-22 12:07:02,6,https://www.tiktok.com/@shayyy_jjj/video/7033488354578599174?lang=en,5696,261,197,93800
m0llytok,teddy.toff,7020405698506277893,7093206719844584710,#fyp #foryou #foryoupage #fypシ #onlyinmycalvins #recoveringaddict #pingtok #pingtok💊 #addictionrecovery #addictionhumour #addict #seshtok #m0llytok,2022-05-02 11:24:47,5,https://www.tiktok.com/@teddy.toff/video/7093206719844584710?lang=en,6820,40,111,85700
m0llytok,eddiesflow,6786138326548464645,6973968859686554885,Go big or go home😂 #raver #ravebaby #ravemom #fypシ #m0llytok #e,2021-06-15 03:41:07,9,https://www.tiktok.com/@eddiesflow/video/6973968859686554885?lang=en,10200,79,89,82700
