hashtag,user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
magicfungi,cartoon.mimosa,7033864695758357510,7125912377995971846,My noodles look funny #magicfungi #psychedelictok,2022-07-29 14:39:29,10,https://www.tiktok.com/@cartoon.mimosa/video/7125912377995971846?lang=en,700200,7222,7917,4500000
mushies,yaboi_toby_toad,6801065967621571590,7109495329828982062,#potions #toad #frogtok #mushies #cottagecoreaesthetic,2022-06-15 08:52:55,10,https://www.tiktok.com/@yaboi_toby_toad/video/7109495329828982062?lang=en,848000,18500,23000,4200000
magicfungi,cartoon.mimosa,7033864695758357510,7129916458758327558,Magic mushrooms #magicfungi #psychedelictok #trippy,2022-08-09 09:37:21,19,https://www.tiktok.com/@cartoon.mimosa/video/7129916458758327558?lang=en,456300,11700,8312,3200000
shrooms,smeshbro.mma,7112893589214331910,7114210381635144966,Izzy knows about the shroooooms 😵‍💫😂 #ufc #mma #isrealadesanya #stylebender #adesanya #ufcedits #ufcedit #mushrooms #ufcmushrooms #shrooms,2022-06-28 01:49:49,59,https://www.tiktok.com/@smeshbro.mma/video/7114210381635144966?lang=en,256600,3450,1167,2000000
shrooms,jeffwalker0707,6971423812109894661,7126298517596949766,#travel #shrooms #tired #mushrooms #ohno,2022-07-30 15:37:55,8,https://www.tiktok.com/@jeffwalker0707/video/7126298517596949766?lang=en,3872,99,45,1500000
mushies,therestlesswitch,6582728466499174406,7109525302489009414,Pls keep name requets to the pinned video! Keep an eye out for restock info!👀#synesthesia #chromesthesia #fiberart #synesthesiaart #nameart #tactileart #mushroomfidget #crochetmushroom #mushies,2022-06-15 10:49:16,38,https://www.tiktok.com/@therestlesswitch/video/7109525302489009414?lang=en,202600,874,22200,1100000
mushies,trixelthepixel,6745164712566342662,7110028676846193963,Audio by @jar_oh_me #howtowashrice #mushies #mushiefriends #cooking #comic,2022-06-16 19:22:34,21,https://www.tiktok.com/@trixelthepixel/video/7110028676846193963?lang=en,98700,1426,231,511700
mushies,yeolderockshop.com,6916925826476131334,7078321786227526917,Find your Crystal name with me! #crystalname #crystals #crystaltok🔮 #ooopretty #mushies,2022-03-23 08:43:38,34,https://www.tiktok.com/@yeolderockshop.com/video/7078321786227526917?lang=en,52400,919,31200,509300
mushies,therestlesswitch,6582728466499174406,7103338457128373510,This one’s on its way to its home 🍄✨ #synesthesia #nameart #mushies #crochet #crochetmushroom #fidgetmushroom #mushroomfidget #chromestheisa #autisticartist,2022-05-29 18:41:08,17,https://www.tiktok.com/@therestlesswitch/video/7103338457128373510?lang=en,59300,604,8155,472400
magicfungi,cartoon.mimosa,7033864695758357510,7135415210239708422,Magic mushrooms #magicfungi #psychedelictok #trippy ,2022-08-24 05:15:24,15,https://www.tiktok.com/@cartoon.mimosa/video/7135415210239708422?lang=en,81700,805,3646,432900
magicfungi,cartoon.mimosa,7033864695758357510,7138452467485920518,Magic mushrooms🍄 #magicfungi #psychedelic #trippy ,2022-09-01 09:41:29,16,https://www.tiktok.com/@cartoon.mimosa/video/7138452467485920518?lang=en,28800,983,2263,419600
mushies,theinspiredunemployed,6734233147922383877,6871105258928557314,Make sure to eat your vegetables #mushies,2020-09-10 22:57:45,37,https://www.tiktok.com/@theinspiredunemployed/video/6871105258928557314?lang=en,41400,8320,685,392700
mushies,cedarthebarefoot,6759772952969053190,7033073584654552366,Reply to @catzza3 @floppycatcreations just wait til I visit YOUR house!!! #gerblinempire #prankswithfriends #treasurehunt #crystals #mushies #bear?,2021-11-21 09:17:32,59,https://www.tiktok.com/@cedarthebarefoot/video/7033073584654552366?lang=en,77900,92,503,343700
mushies,silverfrancisart,7058080307939968046,7062897031056117038,Some bits of the process for one of my most detailed pieces to date💗 Stay tuned for the full process vid! #artok #artprocess #oilpainting #mushroomartwork #mushies #fypシ,2022-02-09 18:12:54,24,https://www.tiktok.com/@silverfrancisart/video/7062897031056117038?lang=en,61600,343,703,342000
mushies,ashershawy,6738569162110960646,7047749874946804993,#mushies #sunnycoast #pissboy #milf,2021-12-30 22:29:01,5,https://www.tiktok.com/@ashershawy/video/7047749874946804993?lang=en,47600,1458,1006,331600
mushies,trixelthepixel,6745164712566342662,7102186795382705454,Oh no! People! Audio by @katreyla #mushies #ohnopeople #mushiefriends #comic,2022-05-26 16:12:04,5,https://www.tiktok.com/@trixelthepixel/video/7102186795382705454?lang=en,41200,477,104,327200
shrooms,orlandospeciality,6618948651741200390,7116592759481322757,Reflections are crazy #fyp #acid #acidtok #shrooms #high,2022-07-04 11:54:35,7,https://www.tiktok.com/@orlandospeciality/video/7116592759481322757?lang=en,48000,175,522,297300
mushies,jennyscreepies,6936286863776056325,7068749523555765546,Made to order Spooky Spring wreath!✨🧚🏽‍♀️🍄✨ #fyp #fairydecor #mossart #alttiktok #mushroomart #spookytok #etsyshop #clayartist #cottagecore #spookydecor #wreathmaking #mushies,2022-02-25 12:38:22,35,https://www.tiktok.com/@jennyscreepies/video/7068749523555765546?lang=en,32000,1221,347,202900
mushies,farmboyslim,6810463686664471557,7023160441916427526,#farmboyslim #triptokk #mushies,2021-10-25 17:09:27,6,https://www.tiktok.com/@farmboyslim/video/7023160441916427526?lang=en,28700,39,254,202200
mushies,chloedeutscher,6891785203451560961,7096249956046048518,Psychedelic assisted therapy✨🍄💊 #psychedelictok #mushroom #psychedelictherapy #mushies #consciousness #microdoselife #microdosingbenefits #shaman #plantmedicine #healingjourney,2022-05-10 16:14:07,54,https://www.tiktok.com/@chloedeutscher/video/7096249956046048518?lang=en,10500,659,1263,196600
