user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
smeshbro.mma,7112893589214331910,7114210381635144966,Izzy knows about the shroooooms 😵‍💫😂 #ufc #mma #isrealadesanya #stylebender #adesanya #ufcedits #ufcedit #mushrooms #ufcmushrooms #shrooms,2022-06-28 01:49:49,59,https://www.tiktok.com/@smeshbro.mma/video/7114210381635144966?lang=en,256600,3450,1167,2000000
orlandospeciality,6618948651741200390,7116592759481322757,Reflections are crazy #fyp #acid #acidtok #shrooms #high,2022-07-04 11:54:35,7,https://www.tiktok.com/@orlandospeciality/video/7116592759481322757?lang=en,48000,175,522,297300
orlandospeciality,6618948651741200390,7129576973835209989,I dont but dont even joke about that 😐 #fyp #acid #psychedelictok #shrooms #hallucinations #acidtok,2022-08-08 11:39:59,5,https://www.tiktok.com/@orlandospeciality/video/7129576973835209989?lang=en,24900,131,921,150800
mikeinoid,6674268789620655109,7133669753662737710,#duet with @Spenny Over 50 Shroombooms are present! We're ready for war!!! #skylanders #skylandersgiants #activision #toystolife #toysforbob #shroomboom #shrooms #gaming #retrogaming,2022-08-19 12:22:04,10,https://www.tiktok.com/@mikeinoid/video/7133669753662737710?lang=en,19100,52,102,146000
alususcreations,7052887521433519151,7134702668013915434,Check my bio ! I can make your hat fantasies come true ! Also saving for a car 🚗 💨.#crochet #customcrochet #crochethat #cute #blacktok #mymelody #sanrio #kuromi #fiberart#cottegecore #y2k #aesthetic #buckethat #cowhat #mooshroom #mushroom #shrooms #moobloom #minecraft #steve #mushroomhat #mooshrooms #bunny #bunnyhat #rabbit #rabbitears #bunnyears,2022-08-22 07:10:19,14,https://www.tiktok.com/@alususcreations/video/7134702668013915434?lang=en,8932,56,146,26600
alususcreations,7052887521433519151,7135979373177490730,Get them from my bio! Also custom hats thru insta DM! #crochet #customcrochet #crochethat #cute #blacktok #mymelody #sanrio #kuromi #fiberart#cottegecore #y2k #aesthetic #buckethat #cowhat #mooshroom #mushroom #shrooms #moobloom #minecraft #steve #mushroomhat #mooshrooms #bunny #bunnyhat #rabbit #rabbitears #bunnyears,2022-08-25 17:44:33,8,https://www.tiktok.com/@alususcreations/video/7135979373177490730?lang=en,6180,32,48,24400
orlandospeciality,6618948651741200390,7122157103229291781,let me watch focus on the patterns stop asking me if im okay 😵‍💫 #acidtok #fyp #psychedelictok #tabs #shrooms #high,2022-07-19 11:47:07,6,https://www.tiktok.com/@orlandospeciality/video/7122157103229291781?lang=en,5560,28,91,24400
jeffwalker0707,6971423812109894661,7126298517596949766,#travel #shrooms #tired #mushrooms #ohno,2022-07-30 15:37:55,8,https://www.tiktok.com/@jeffwalker0707/video/7126298517596949766?lang=en,3872,99,45,1500000
amieleighton99,6947800458992894981,7120999669009878278,Starting my campaign 101 #legalisation #costofliving #inflation #mentalhealth #adhd #adhdgirl #shrooms,2022-07-16 08:55:41,8,https://www.tiktok.com/@amieleighton99/video/7120999669009878278?lang=en,3195,10,111,44000
minelauvartmimic,7070956832370099205,7114873733659102469,#answer to @undergroundrailroad_ I work with art... I think? #psychedelic #acid #shrooms,2022-06-29 20:43:57,32,https://www.tiktok.com/@minelauvartmimic/video/7114873733659102469?lang=en,2490,40,43,16400
petertriantos,6842095753062892550,7126357275672923398,#fenderstratocaster  #crazy #trenfing #tv #shrooms #oaxaca #hendrix,2022-07-30 19:25:57,153,https://www.tiktok.com/@petertriantos/video/7126357275672923398?lang=en,4178,2,12,19700
orlandospeciality,6618948651741200390,7133560395842866437,The only thing im thinking of is how many hours i have left #acid #shrooms #acidtok #psychedelictok #trip ,2022-08-19 05:17:44,12,https://www.tiktok.com/@orlandospeciality/video/7133560395842866437?lang=en,2091,11,129,16700
ceoofbordel,7053560103139853317,7124663725046500614,toimii#4you #shrooms #hommatvituiks,2022-07-26 05:54:06,6,https://www.tiktok.com/@ceoofbordel/video/7124663725046500614?lang=en,1670,3,32,13700
ozzybengg,6831415897417434118,7118053565138062598,Grzyby gryzby grzyby #funvideo #trap #rap #shrooms #grzyby #patorap #beka #bmw #lol,2022-07-08 10:23:18,15,https://www.tiktok.com/@ozzybengg/video/7118053565138062598?lang=en,1511,3,5,6566
smeshbro.mma,7112893589214331910,7115142083660352773,At a legal age 😂 #ufc276 #ufc #stylebender #isrealadesanya #adesanya #shrooms #mushrooms #mma,2022-06-30 14:05:14,34,https://www.tiktok.com/@smeshbro.mma/video/7115142083660352773?lang=en,1505,140,47,29500
rileychasetattoos,6851536789732803590,7115040553137343786,#yes #my #paintings #art #originals #forsale #prints #comission #orders #alternative #rock #nirvana #thedoors #hendrix #johnnydepp #pirates #timburton #90skids #cartoon #rugrats #rockosmodernlife #rocko #chucky #wasted #youth #series #purchase #hiphop#gangsta #trippin #shrooms #psychedelic #nostalgic #fyp #fypシ #foryoupage #foryou #viral #trending #painting #glow #blacklight #hyperlapse  #artist #painter #tattoo #tattooartist #actor #musician #creator #model #tattoomodel #cleveland #local,2022-06-30 07:31:16,13,https://www.tiktok.com/@rileychasetattoos/video/7115040553137343786?lang=en,1488,21,209,8535
chefaustin27,6960890392557192198,7113658927056719146,#shrooms#nakiri #cheflife #culinary #shun,2022-06-26 14:09:45,178,https://www.tiktok.com/@chefaustin27/video/7113658927056719146?lang=en,1459,0,1,4116
dirteaworld,6964119311402664961,7118015308241128705,Mushroom Facts ! Without Fungi nothing on earth would or could exist. Mushrooms are vital in decomposing dead matter. #mushroomfacts #mushrooms #shrooms #mushroomhealth #reishi #chaga #mushroomcoffee #dirteaworld,2022-07-08 07:54:51,4,https://www.tiktok.com/@dirteaworld/video/7118015308241128705?lang=en,1331,12,7,18000
benbenpaigna,6581057396566441985,7111949752769498395,mas okay nanang isa keysa daghan☮️💚 #shrooms,2022-06-21 23:37:23,20,https://www.tiktok.com/@benbenpaigna/video/7111949752769498395?lang=en,1240,4,27,17100
alususcreations,7052887521433519151,7136711038434692394,Get one through my bio! I also take customs thru insta DM of anything <3 #crochet #customcrochet #crochethat #cute #blacktok #mymelody #sanrio #kuromi #fiberart#cottegecore #y2k #aesthetic #buckethat #cowhat #mooshroom #mushroom #shrooms #moobloom #minecraft #steve #mushroomhat #mooshrooms #bunny #bunnyhat #rabbit #rabbitears #bunnyears,2022-08-27 17:03:47,8,https://www.tiktok.com/@alususcreations/video/7136711038434692394?lang=en,1247,9,2,4079
quickresponce123,7078068076323882027,7133798925567331627,#rogerwaters #pinkfloyd #darksideofthemoon #thewall #animals #thisisnotadrill #rogerwatersthisisnotadrill #foryou #DoritosDareToBeBurned #OLAFLEX #foryourpage #sydbarret #nickmason #richardwright #davidgilmore #classicrock #wishyouwerehere #usandthem #concert #raleigh #ncstate #pncarena #pncarenanc #legend #phycodelics #phycodelicmusic #comfortablynumb #nuggets #shrooms #hash #rockandrollhalloffame #rockandroll #thepinkfloyd #runlikehellpinkfloyd #runlikehell #notnowjohn #thisisnotadrill #rogerwatersthisisnotadrill #whichoneispink #thewallpinkfloyd ,2022-08-19 20:43:17,78,https://www.tiktok.com/@quickresponce123/video/7133798925567331627?lang=en,1052,1,8,3725
mommyhollyn,6830300996993909766,7109845057984843054,#shrooms,2022-06-16 07:30:03,8,https://www.tiktok.com/@mommyhollyn/video/7109845057984843054?lang=en,1940,23,120,34500
tranzendant,7120759229464724485,7121013917551250694,POV : light dose of shrooms 🍄#psylocibin #psylicybin #shrooms #shroooms #trippy #trippyvisuals #psychadelicvisuals #🍄🍄 #🍄,2022-07-16 09:50:58,41,https://www.tiktok.com/@tranzendant/video/7121013917551250694?lang=en,934,62,162,42300
reflector_1111,7025574943111578630,7123934814310255877,We save ourselves. 🙏#❤️ #🙏 #😍 #awakening #healingjourney #reality #888 #44 #freedom #awaken #loveyouself #starseed #beautyhacks #struggling #help #kindness #loveisall #888 #numerology #freedom #akashicrecords #wakeup #matrix #guides #suffering #PerfectPartner #coldwater #wimhof #chaga #polypore #shrooms #hopeless #spirituality #spiritual #meditation #acention #positivity #woodland #wood #nature #love #harmony #kindness #loveisall #bliss#joy,2022-07-24 06:45:31,58,https://www.tiktok.com/@reflector_1111/video/7123934814310255877?lang=en,902,18,98,3925
eure_muetter_official,6852065790934975493,7122844270163135749,#euremuetter #comedy #livecomedy #euremuettercomedy #ichfindjadiealtengeil #trending #derhamster #shrooms,2022-07-21 08:13:39,20,https://www.tiktok.com/@eure_muetter_official/video/7122844270163135749?lang=en,892,39,20,25400
orlandospeciality,6618948651741200390,7133216443725810949,Good luck with derealization ig 🙁 #acid #psychedelictok #shrooms #tabs #acidtok #derealization ,2022-08-18 07:03:00,5,https://www.tiktok.com/@orlandospeciality/video/7133216443725810949?lang=en,872,4,43,9634
deadlydeville,6919669023244715013,7128834962975034670,#shrooms #mushrooms #wtf #tedtalk #alttiktok #gothtok #graveyard #sketch #shady #gothforyou #nope #gross #gothfyp #gothmotd,2022-08-06 11:40:36,14,https://www.tiktok.com/@deadlydeville/video/7128834962975034670?lang=en,808,10,82,4361
amberlundeen1,6873969943857595398,7118914671385578798,Lets just get weird af #weird #humans #spirituality #neurodivergent #autistic #adhd #mentalhealth #shrooms #ego #fyp #justarandomthought #witchtok #magick,2022-07-10 18:04:47,18,https://www.tiktok.com/@amberlundeen1/video/7118914671385578798?lang=en,764,17,86,3375
buzzdnutrition,6925183659394991106,7124874606812433669,An actual nervous WRECK inside.. #toronto #canadiansmallbusiness #torontobusiness #confidencetips #superfoods #turmeric #shrooms,2022-07-26 19:32:30,46,https://www.tiktok.com/@buzzdnutrition/video/7124874606812433669?lang=en,713,3,24,13100
orlandospeciality,6618948651741200390,7122557925364714758,Not something I was ready for #acid #tabs #psychedelictok #shrooms #acidtok #hallucinations,2022-07-20 13:42:30,6,https://www.tiktok.com/@orlandospeciality/video/7122557925364714758?lang=en,691,6,91,5714
stevecasino,6790828778870670342,7108019172168486190,It’s international #shroomdrop day. Here’s my very first one. #mushrooms #shrooms #customtoys #infestations,2022-06-11 09:24:40,30,https://www.tiktok.com/@stevecasino/video/7108019172168486190?lang=en,613,3,6,8951
safe_use,7072908922222527534,7134491234432814379,Which substance should I cover next? #shrooms #mushrooms #psychedelictok #psychadelic #triptok #triptips,2022-08-21 17:29:48,13,https://www.tiktok.com/@safe_use/video/7134491234432814379?lang=en,605,6,30,6899
alususcreations,7052887521433519151,7119598845113257259,"How many yes’s do you count? Psst, yes JULY8 is a discount code :) #crochet #customcrochet #crochethat #cute #blacktok #mymelody #sanrio #kuromi #fiberart#cottegecore #y2k #aesthetic #buckethat #cowhat #mooshroom #mushroom #shrooms #moobloom #minecraft #steve #mushroomhat #mooshrooms #bunny #bunnyhat #rabbit #rabbitears #bunnyears",2022-07-12 14:19:44,9,https://www.tiktok.com/@alususcreations/video/7119598845113257259?lang=en,562,6,6,2101
iamlove711,6998714080841597957,7134153949749316869,#itstrue #mushrooms #shrooms #magic #fungi,2022-08-20 19:41:06,11,https://www.tiktok.com/@iamlove711/video/7134153949749316869?lang=en,531,1,1,2827
trippyhippiegoddess,6807134994797216774,7112315968612830510,DAY 2 #mushroomsociety #shrooms #trippy #selflove #selflove #spitituality #fypシ #selfhealingjourney #healing #crystaltok🔮 #psychadelic #psychology #depression #depression #anxiety #ptsdawareness #awareness #selfcare #pridemonth @trippyhippiegoddess,2022-06-22 23:18:26,30,https://www.tiktok.com/@trippyhippiegoddess/video/7112315968612830510?lang=en,509,3,17,2087
mysticreflections,7088756324624466990,7121026051609906475,"Reply to @radioactiverabbitink  Answering questions about my mushroom pals. If you have any other questions, put them in the comments and I’d be happy to reply! 😊 #polymerclay #mushroom #mushroompals #shrooms #handmade #sculpture #mysticreflections #arttok #artistsoftiktok",2022-07-16 10:38:02,79,https://www.tiktok.com/@mysticreflections/video/7121026051609906475?lang=en,500,13,19,1523
thespiritualplug1111,7028671059134874630,7112466370092092714,Gates talking some real facts on here 💯 👁 #spirituality #spiritualtiktok #woketok #plantmedicine #shrooms #ayahuasca #dmt #breathwork #kevingates #khaza #bootlegkev #fyp #viral,2022-06-23 09:02:03,535,https://www.tiktok.com/@thespiritualplug1111/video/7112466370092092714?lang=en,492,51,25,5143
ambur_marie143,6643897235077890053,7121079625215905070,#FilmTeyvatIslands #happyfourthofjuly #womanempowerment #heaven#fypシ #shrooms#mushrooms#mushroomsociety #delaware#seaforddelaware#shein#freedomisntfree #rideofyourlife#thick#fatty#bellysummer #butterme#buttermybiscuits,2022-07-16 14:05:56,5,https://www.tiktok.com/@ambur_marie143/video/7121079625215905070?lang=en,489,0,22,5597
gibranish,6753278059041260549,7130078478329793834,Dont do 🍄s kids.. #mudwater #shrooms #trampwall #comedy #skit,2022-08-09 20:06:04,12,https://www.tiktok.com/@gibranish/video/7130078478329793834?lang=en,480,1,4,3715
dystopianfairyy,6948203011542942726,7112512335389936939,Minusss welll #psychedelictok #shrooms #lgbt🌈 #phantomm,2022-06-23 12:00:27,9,https://www.tiktok.com/@dystopianfairyy/video/7112512335389936939?lang=en,480,4,16,1851
goodhigh420,7115188244790592554,7138907117854969134,🍄🍄🍄 #mushroom #shrooms #foryou #foryoupage #thoughts #🍄  #tips #advice #talk #xyb #xybzca #xybcafyp #xycbca #viralforyou #🍄🍄 #🍄🍄🍄 #🍄🍄🍄🍄🍄 ,2022-09-02 15:05:41,180,https://www.tiktok.com/@goodhigh420/video/7138907117854969134?lang=en,487,6,13,2723
katttsuarezzz,6639214464598573061,7129940530267458859,#lgbtq #libra #shrooms,2022-08-09 11:10:46,5,https://www.tiktok.com/@katttsuarezzz/video/7129940530267458859?lang=en,468,0,2,2283
alususcreations,7052887521433519151,7112891493471456558,Likeee its righ here bae on my s!te 😩 #crochet #customcrochet #crochethat #cute #blacktok #mymelody #sanrio #kuromi #fiberart#cottegecore #y2k #aesthetic #buckethat #cowhat #mooshroom #mushroom #shrooms #moobloom #minecraft #steve #mushroomhat #mooshrooms #bunny #bunnyhat #rabbit #rabbitears #bunnyears #yum #spaghetti #crochetfood,2022-06-24 12:31:46,5,https://www.tiktok.com/@alususcreations/video/7112891493471456558?lang=en,451,3,4,2710
