video_id,video_timestamp,video_length,video_title,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_fn,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount
7125912377995971846,2022-07-29T14:39:29,10,My noodles look funny #magicfungi #psychedelictok,GB,701300,7237,7867,4500000,My noodles look funny #magicfungi #psychedelictok,False,cartoon.mimosa_video_7125912377995971846.mp4,cartoon.mimosa,𝓐𝓽𝓶𝓸𝓼𝓹𝓱𝓮𝓻𝓮🍄💫,51300,40,2200000,209,36000
7109495329828982062,2022-06-15T08:52:55,10,#potions #toad #frogtok #mushies #cottagecoreaesthetic,US,849200,18600,23000,4200000,#potions #toad #frogtok #mushies #cottagecoreaesthetic,False,yaboi_toby_toad_video_7109495329828982062.mp4,yaboi_toby_toad,Toby Toad,618500,190,21700000,422,3893
7129916458758327558,2022-08-09T09:37:21,19,Magic mushrooms #magicfungi #psychedelictok #trippy,GB,457000,11700,8380,3200000,Magic mushrooms #magicfungi #psychedelictok #trippy,False,cartoon.mimosa_video_7129916458758327558.mp4,cartoon.mimosa,𝓐𝓽𝓶𝓸𝓼𝓹𝓱𝓮𝓻𝓮🍄💫,51300,40,2200000,209,36000
7114210381635144966,2022-06-28T01:49:49,59,Izzy knows about the shroooooms 😵‍💫😂 #ufc #mma #isrealadesanya #stylebender #adesanya #ufcedits #ufcedit #mushrooms #ufcmushrooms #shrooms,GB,256600,3452,1164,2000000,Izzy knows about the shroooooms 😵‍💫😂 #ufc #mma #isrealadesanya #stylebender #adesanya #ufcedits #ufcedit #mushrooms #ufcmushrooms #shrooms,False,smeshbro.mma_video_7114210381635144966.mp4,smeshbro.mma,smeshbro.mma,19600,33,1600000,134,363
7126298517596949766,2022-07-30T15:37:55,8,#travel #shrooms #tired #mushrooms #ohno,CA,3875,99,45,1500000,#travel #shrooms #tired #mushrooms #ohno,False,jeffwalker0707_video_7126298517596949766.mp4,jeffwalker0707,jeffwalker0707,168,30,5601,10,46
7109525302489009414,2022-06-15T10:49:16,38,Pls keep name requets to the pinned video! Keep an eye out for restock info!👀#synesthesia #chromesthesia #fiberart #synesthesiaart #nameart #tactileart #mushroomfidget #crochetmushroom #mushies,CA,202700,874,22200,1100000,Pls keep name requets to the pinned video! Keep an eye out for restock info!👀#synesthesia #chromesthesia #fiberart #synesthesiaart #nameart #tactileart #mushroomfidget #crochetmushroom #mushies,False,therestlesswitch_video_7109525302489009414.mp4,therestlesswitch,Kai they/them,91700,3223,946200,784,124000
7110028676846193963,2022-06-16T19:22:34,21,Audio by @jar_oh_me #howtowashrice #mushies #mushiefriends #cooking #comic,US,98800,1427,230,512300,Audio by @jar_oh_me #howtowashrice #mushies #mushiefriends #cooking #comic,False,trixelthepixel_video_7110028676846193963.mp4,trixelthepixel,Trixel the Pixel,272800,1961,7400000,578,118300
7078321786227526917,2022-03-23T08:43:38,34,Find your Crystal name with me! #crystalname #crystals #crystaltok🔮 #ooopretty #mushies,CA,52400,920,31200,509700,Find your Crystal name with me! #crystalname #crystals #crystaltok🔮 #ooopretty #mushies,False,yeolderockshop.com_video_7078321786227526917.mp4,yeolderockshop.com,Jacobs Trading,80300,178,1600000,847,148
7103338457128373510,2022-05-29T18:41:08,17,This one’s on its way to its home 🍄✨ #synesthesia #nameart #mushies #crochet #crochetmushroom #fidgetmushroom #mushroomfidget #chromestheisa #autisticartist,CA,59300,604,8153,472400,This one’s on its way to its home 🍄✨ #synesthesia #nameart #mushies #crochet #crochetmushroom #fidgetmushroom #mushroomfidget #chromestheisa #autisticartist,False,therestlesswitch_video_7103338457128373510.mp4,therestlesswitch,Kai they/them,91700,3223,946200,784,124000
7135415210239708422,2022-08-24T05:15:24,15,Magic mushrooms #magicfungi #psychedelictok #trippy ,GB,84100,830,3480,453400,Magic mushrooms #magicfungi #psychedelictok #trippy ,False,cartoon.mimosa_video_7135415210239708422.mp4,cartoon.mimosa,𝓐𝓽𝓶𝓸𝓼𝓹𝓱𝓮𝓻𝓮🍄💫,51300,40,2200000,209,36000
7138452467485920518,2022-09-01T09:41:29,16,Magic mushrooms🍄 #magicfungi #psychedelic #trippy ,GB,32600,1180,2649,501600,Magic mushrooms🍄 #magicfungi #psychedelic #trippy ,False,cartoon.mimosa_video_7138452467485920518.mp4,cartoon.mimosa,𝓐𝓽𝓶𝓸𝓼𝓹𝓱𝓮𝓻𝓮🍄💫,51300,40,2200000,209,36000
6871105258928557314,2020-09-10T22:57:45,37,Make sure to eat your vegetables #mushies,AU,41400,8320,685,392800,Make sure to eat your vegetables #mushies,False,theinspiredunemployed_video_6871105258928557314.mp4,theinspiredunemployed,T.I.U ,1400000,2,28500000,398,568
7033073584654552366,2021-11-21T09:17:32,59,Reply to @catzza3 @floppycatcreations just wait til I visit YOUR house!!! #gerblinempire #prankswithfriends #treasurehunt #crystals #mushies #bear?,US,77900,92,503,343700,Reply to @catzza3 @floppycatcreations just wait til I visit YOUR house!!! #gerblinempire #prankswithfriends #treasurehunt #crystals #mushies #bear?,False,cedarthebarefoot_video_7033073584654552366.mp4,cedarthebarefoot,cedarthebarefoot,862700,5507,26400000,872,30400
7062897031056117038,2022-02-09T18:12:54,24,Some bits of the process for one of my most detailed pieces to date💗 Stay tuned for the full process vid! #artok #artprocess #oilpainting #mushroomartwork #mushies #fypシ,US,61600,343,703,342100,Some bits of the process for one of my most detailed pieces to date💗 Stay tuned for the full process vid! #artok #artprocess #oilpainting #mushroomartwork #mushies #fypシ,False,silverfrancisart_video_7062897031056117038.mp4,silverfrancisart,Silver Francis,22600,16,222900,30,455
7047749874946804993,2021-12-30T22:29:01,5,#mushies #sunnycoast #pissboy #milf,AU,47600,1458,1006,331600,#mushies #sunnycoast #pissboy #milf,False,ashershawy_video_7047749874946804993.mp4,ashershawy,asher,513,823,47800,7,55600
7102186795382705454,2022-05-26T16:12:04,5,Oh no! People! Audio by @katreyla #mushies #ohnopeople #mushiefriends #comic,US,41200,477,103,327300,Oh no! People! Audio by @katreyla #mushies #ohnopeople #mushiefriends #comic,False,trixelthepixel_video_7102186795382705454.mp4,trixelthepixel,Trixel the Pixel,272800,1961,7400000,578,118300
7116592759481322757,2022-07-04T11:54:35,7,Reflections are crazy #fyp #acid #acidtok #shrooms #high,GB,48000,175,522,297300,Reflections are crazy #fyp #acid #acidtok #shrooms #high,False,orlandospeciality_video_7116592759481322757.mp4,orlandospeciality,SquidNerd,16800,4,828600,102,2085
7068749523555765546,2022-02-25T12:38:22,35,Made to order Spooky Spring wreath!✨🧚🏽‍♀️🍄✨ #fyp #fairydecor #mossart #alttiktok #mushroomart #spookytok #etsyshop #clayartist #cottagecore #spookydecor #wreathmaking #mushies,US,32000,1221,347,203000,Made to order Spooky Spring wreath!✨🧚🏽‍♀️🍄✨ #fyp #fairydecor #mossart #alttiktok #mushroomart #spookytok #etsyshop #clayartist #cottagecore #spookydecor #wreathmaking #mushies,False,jennyscreepies_video_7068749523555765546.mp4,jennyscreepies,Jenny’s Creepies,8992,352,92400,400,3090
7023160441916427526,2021-10-25T17:09:27,6,#farmboyslim #triptokk #mushies,US,28700,39,254,202200,#farmboyslim #triptokk #mushies,False,farmboyslim_video_7023160441916427526.mp4,farmboyslim,Farmboy Slim,536800,121,5800000,255,5024
7096249956046048518,2022-05-10T16:14:07,54,Psychedelic assisted therapy✨🍄💊 #psychedelictok #mushroom #psychedelictherapy #mushies #consciousness #microdoselife #microdosingbenefits #shaman #plantmedicine #healingjourney,CA,10600,660,1265,196900,Psychedelic assisted therapy✨🍄💊 #psychedelictok #mushroom #psychedelictherapy #mushies #consciousness #microdoselife #microdosingbenefits #shaman #plantmedicine #healingjourney,False,chloedeutscher_video_7096249956046048518.mp4,chloedeutscher,Chloe | Human Potential✨,72400,447,440700,276,401
