user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
holyfiber.worldwide,7092953457632805914,7102235535384562970,HOLY FIBER - YOU DESERVE THE BEST  #lucu #parodi #videolucu #viral #fyp #tiktok #ngakak #vape #holyfiber #holyfibergang,2022-05-26 19:21:12,60,https://www.tiktok.com/@holyfiber.worldwide/video/7102235535384562970?lang=en,1654,17,12,26500
cryforhealth,6819640941712786433,7114856347849592090,"coiling king coil 👑 by znake, mantep juga nih coil gak kalah sama supersonson😂 #asmrsounds #vapeasmr #holyfibergang #fyp #foryoupage #fypシ #asmr",2022-06-29 19:36:29,38,https://www.tiktok.com/@cryforhealth/video/7114856347849592090?lang=en,1227,4,36,26300
cryforhealth,6819640941712786433,7115203659461299483,morning wick wick rta drv2 #fyp #vapelife #vape #vapeasmr #asmrsounds #holyfibergang #lostvape #deadrabbit #wicking,2022-06-30 18:04:11,72,https://www.tiktok.com/@cryforhealth/video/7115203659461299483?lang=en,1727,2,37,25000
holyfiber.worldwide,7092953457632805914,7111239808608947483,Ada yang make holy juga? Pinjol buat nyetok holy fiber 😂 #holyfiber #holyfiberworldwide #videoviral #lucu #videolucu #fyp #vape #kapasvape #holyfibergang #pinjol #parodi #kapas #tfypシ #viral?,2022-06-20 01:42:25,12,https://www.tiktok.com/@holyfiber.worldwide/video/7111239808608947483?lang=en,650,13,29,24200
holyfiber.worldwide,7092953457632805914,7098535342499745051,"Staggered Staple Fused Clapton (SSFC)This coil is the next level of getting massive flavor, with soo many juice wells and the ribbon cores, The SSFC takes flavor to a new height, offering massive surface area, this coil will take your juice to a new league.📹: @btkssy 🔥#holyfibergang #holyfiber #holyfiberworldwide #coilbuilder #coilbuilders #coilvapes #coilclass #coilbuildinglifestyle #coilporn #coilbuilding #coilarchitect #indonesiacoilbuilder",2022-05-16 20:02:33,30,https://www.tiktok.com/@holyfiber.worldwide/video/7098535342499745051?lang=en,497,2,3,25000
userpico2,7033185983295423515,7138400921440111898,recoil dulu ges #istickpico75w #rdaalexa #masagaksixteen #ejuicemurah #vapeindo #alexanation #coilmletek #freshwick #holyfibergang #vapemurah #fypシ,2022-09-01 06:21:25,68,https://www.tiktok.com/@userpico2/video/7138400921440111898?lang=en,297,1,15,5303
cstyleindonesia,6914147598672626690,7093700029222784258,Coba tebak ada brp pcs kapas @holyfiber.worldwide ? #vape #vapecotton #kapasvape #holyfiber #holyfibergang #vapemod #vapepod #vapelife #vapers #vaping,2022-05-03 19:19:04,18,https://www.tiktok.com/@cstyleindonesia/video/7093700029222784258?lang=en,198,7,13,6426
userpico2,7033185983295423515,7136924373725809947,set up murah aja ges #istickpico75w #rdaalexa #holyfibergang #coilmletek #vapemurah,2022-08-28 06:51:41,60,https://www.tiktok.com/@userpico2/video/7136924373725809947?lang=en,159,2,10,3512
cstyleindonesia,6914147598672626690,7000936685416631579,holyfiber gang 😎😎#holyfiberworldwide #holyfibergang #mvp #honda #glproindonesia,2021-08-26 19:49:55,9,https://www.tiktok.com/@cstyleindonesia/video/7000936685416631579?lang=en,157,6,2,11800
cstyleindonesia,6914147598672626690,6923044365493341442,holyfibergang. #vaping_vibes #vapetricks #vapebali #holyfiber #holyfiberworldwide #holyfibergang #vapebar #vape,2021-01-28 21:07:59,4,https://www.tiktok.com/@cstyleindonesia/video/6923044365493341442?lang=en,148,4,2,11100
cstyleindonesia,6914147598672626690,7089295938744896795,Sebuah kolaborasi antara Cstyle Indonesia dengan salah satu komunitas vespa yang lagi happening di Bali ! Siapa sangka mereka juga adalah seorang vapers lho! Tonton selengkapnya di YT kita : CSTYLE INDONESIA Penasaran sama komunitas yang satu ini? kalian bisa check lebih lanjut di Official Instagram mereka ya @skuutsvespa!#vape #vapeindonesia #holyfibergang #vespa #komunitas #komunitasvespa #vespacommunity #vapecommunity #vespamatic #viral #bali,2022-04-21 22:28:58,39,https://www.tiktok.com/@cstyleindonesia/video/7089295938744896795?lang=en,127,2,8,8889
holyfiber.worldwide,7092953457632805914,7107440121288477978,HOLY FIBER - YOU DESERVE THE BEST #lucu #parodi #videolucu #viral #fyp #tiktok #ngakak #vape #holyfiber #holyfibergang #holyfiberworldwide #kapasvape #vapecotton #cotton,2022-06-09 19:57:39,59,https://www.tiktok.com/@holyfiber.worldwide/video/7107440121288477978?lang=en,96,10,4,1132
cstyleindonesia,6914147598672626690,7001038338471906586,holyfiber #holyfiberworldwide #holyfibergang,2021-08-27 02:24:23,6,https://www.tiktok.com/@cstyleindonesia/video/7001038338471906586?lang=en,178,4,2,12100
holyfiber.worldwide,7092953457632805914,7093698938242419970,Stok Holy Fiber Buat Sekabupaten 😂 #vape #vapeindo #vapeindonesia #kapasvape #vapepod #vapemod #vapecotton #vapelife #holyfiber #holyfibergang,2022-05-03 19:14:51,18,https://www.tiktok.com/@holyfiber.worldwide/video/7093698938242419970?lang=en,79,3,9,3716
holyfiber.worldwide,7092953457632805914,7101503574831664410,Kasih vape tricks dulu yuk! #fyp #vapetricks #vapetrick #vapemod #vapepod #pod #vapeindo #vapeindonesia #vapecotton #vapelyfe #vapeon #holyfiber #holyfibergang,2022-05-24 20:00:49,41,https://www.tiktok.com/@holyfiber.worldwide/video/7101503574831664410?lang=en,70,0,2,1219
jana_lalung,6739117789582722049,7130648897394986267,Goo night #r234 #hotcig #the0ramajuice #supersonixcoil #deadrabbit #holyfibergang,2022-08-11 08:59:38,76,https://www.tiktok.com/@jana_lalung/video/7130648897394986267?lang=en,56,0,1,1757
verrill11,6950132843449238530,7091528561802202395,#stitch dengan @ridwanbee ajarin mber dong bang#fypシ #abcxyz #vapers #vapegresik #modcapocigpet#ijoy #artharda#babyalien#holyfibergang,2022-04-27 22:52:40,15,https://www.tiktok.com/@verrill11/video/7091528561802202395?lang=en,101,2,4,8759
holyfiber.worldwide,7092953457632805914,7099655338991013147,SIAP DI AJAK SUNMORI #holyfibergang #holyfiber #holyfiberworldwide #vape #glpro #sunmori #ride #riding #vapecommunity #vapeindo #vapeindonesia #vapeon #vapelife,2022-05-19 20:28:43,9,https://www.tiktok.com/@holyfiber.worldwide/video/7099655338991013147?lang=en,45,0,2,2326
holyfiber.worldwide,7092953457632805914,7116770284484562202,NYIKSA HOLY FIBER PAKE 250 WATT 🔥🔥🔥 #Eksperimen #HolyFiber #HolyFiberGang #Vape #Rekomendasikapasvape #vapetrickkeren #vapeterbaru #viral #fyp #vapeviral #videoviral #viraltiktok,2022-07-04 23:23:30,46,https://www.tiktok.com/@holyfiber.worldwide/video/7116770284484562202?lang=en,40,5,7,309
rafliansz,7096033808508060698,7130432975220657434,Di ganti jangan males #vapelife #fypシ #tiktokindia #tiktokindonesia #mrboxmod #holyfibergang #asmrgagal,2022-08-10 19:01:47,82,https://www.tiktok.com/@rafliansz/video/7130432975220657434?lang=en,37,0,3,1505
_podhouse_,6814329472805700614,6952174036982107398,😎💨 #holyfiber  #holyfiberperu  #holyfibergang  #holyfiberfamily  #holyfiberhouse #vape #lima #fypシ #viral #parati #store @d.degetto,2021-04-17 10:05:59,20,https://www.tiktok.com/@_podhouse_/video/6952174036982107398?lang=en,32,4,3,915
adigunawaan,6938213755697628161,7119480995665005851,Fresh wick 🤤 #wickingvape #pandavee2 #holyfibergang #holyfiberworldwide #fyp,2022-07-12 06:42:27,34,https://www.tiktok.com/@adigunawaan/video/7119480995665005851?lang=en,28,0,2,482
cimadownn,6813664941830095874,6857105909387152642,Stuck with u #holyfibergang #fyp,2020-08-04 05:33:12,34,https://www.tiktok.com/@cimadownn/video/6857105909387152642?lang=en,25,2,1,247
rafliansz,7096033808508060698,7129660277007584538,Fresh wick #vapebukanrokok #holyfibergang #muffinandxes #fyp #nitrousrda @mrboxmod @holyfiber.worldwide @kokosarangvape,2022-08-08 17:03:18,54,https://www.tiktok.com/@rafliansz/video/7129660277007584538?lang=en,16,0,2,846
caesarmuhammad4,6689540438912812033,6998132455580405018,freshwick dulu Bosque 🙈#sayapilihvape #stopsmokingstartvaping #holyfibergang #wotofo #vaporessogen #ngeboelliquid,2021-08-19 06:28:04,14,https://www.tiktok.com/@caesarmuhammad4/video/6998132455580405018?lang=en,14,0,1,100
burlybear_01,7044072342397944834,7119518649932614939,record slalu malam karena lebih tenang #waspnanov2 #holyfibergang #legendboxmod,2022-07-12 09:08:35,168,https://www.tiktok.com/@burlybear_01/video/7119518649932614939?lang=en,8,0,1,87
motorkae,6792090466064172034,7097921493987757339,mainan baru #GoyangGemasMochiBaby  #vape #vaporizer #pulseaio #aio #holyfibergang #holyfiber,2022-05-15 04:20:30,100,https://www.tiktok.com/@motorkae/video/7097921493987757339?lang=en,4,0,0,53
flavour_chaser,7127029526010233882,7138443315631967514,Coiling Artha V1.5 by @IG : @FATRIIO#RDALover #RDA #rdaarthav1 #fatriio #advken #forsebrew #rabbitvap3 #holyfiber #holyfibergang #holyfiberworldwide #flavourchaser #mletek,2022-09-01 09:05:58,134,https://www.tiktok.com/@flavour_chaser/video/7138443315631967514?lang=en,3,0,0,10
wareg_tenan,6558734591493439490,7089445546510912795,#Holyfiber Solusi kapas enak untuk teman ngevape sehari hari~ #vape #vapor #holyfiberworldwide #holyfibergang #tanyambahdukun #solusikapasenak #comedy #comedyhoror #komedi #shortvideo #videopendek #followforfollow #salingbantu #beranda,2022-04-22 08:09:30,63,https://www.tiktok.com/@wareg_tenan/video/7089445546510912795?lang=en,2,0,0,23
lordarthur05,6930574250941514754,7127555911337512219,Kapas taekk #cattonkendo #holyfibergang #muserda #thelemaquest,2022-08-03 00:57:16,7,https://www.tiktok.com/@lordarthur05/video/7127555911337512219?lang=en,2,0,0,141
