hashtag,user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
vape,thatsfra_vape,6831967183972844549,7028664560760425734,#asmr #vape #vaping #svapo #viral #relax #relaxing #vaper #diy,2021-11-09 12:08:15,117,https://www.tiktok.com/@thatsfra_vape/video/7028664560760425734?lang=en,3600000,21600,15000,45800000
vape,steveioe,6771086544600220678,6915102403939323142,Thoughts from the ER #vape #vaping #smoke #health #healthy #tips #data #cigarette #asian #emergency #nicotine #pack #cough #headache #relief #teeth,2021-01-07 11:29:16,57,https://www.tiktok.com/@steveioe/video/6915102403939323142?lang=en,7500000,256700,122100,36200000
vapetricks,nixonvicky,6974630936500159494,6989079364184902917,Follow me not to get lost #vape #vapetricks #fyp #FidelVapes #foryou,2021-07-25 20:57:33,35,https://www.tiktok.com/@nixonvicky/video/6989079364184902917?lang=en,4500000,48100,27100,35400000
vape,thatsfra_vape,6831967183972844549,7038252805680876805,Rispondi a @alone_boy844 10/10 ngl 🔥💨 #vaper #relaxing #relax #viral #svapo #vaping #vape #asmr #diy,2021-12-05 08:15:32,47,https://www.tiktok.com/@thatsfra_vape/video/7038252805680876805?lang=en,2600000,12100,12700,35000000
vape,juulix_official,7072577966371570730,7117104480008637738,Get a new Alien Clapton#DIY #vaping #vaper #relax #juulix #asmrvideo #fyp #vape #asmr,2022-07-05 21:00:20,25,https://www.tiktok.com/@juulix_official/video/7117104480008637738?lang=en,1200000,2153,2082,32500000
vape,thatsfra_vape,6831967183972844549,6953688165597056261,#asmr #vaping #svapo #vape #viral #vaper,2021-04-21 12:01:34,30,https://www.tiktok.com/@thatsfra_vape/video/6953688165597056261?lang=en,1700000,7427,3709,31800000
vape,bruhcantt,6997732875668096006,7118410567311772933,For all the kids that vape #fyp #vape #lol #comedy,2022-07-09 09:28:37,5,https://www.tiktok.com/@bruhcantt/video/7118410567311772933?lang=en,969200,65200,28400,30400000
vape,fosvr_,7082073314455700526,7117006253150244142,Vape bad #vape #vaping #foryou #fyp,2022-07-05 14:39:09,5,https://www.tiktok.com/@fosvr_/video/7117006253150244142?lang=en,1500000,2966,4409,29200000
vape,garzon.pico,6825000887753933829,7124034448475065606,#trending #fypシ #foryoupage #vape #4u #chiuahua,2022-07-24 13:12:09,6,https://www.tiktok.com/@garzon.pico/video/7124034448475065606?lang=en,2100000,32400,10200,27700000
vape,rincoe_indonesia,7091164497973675010,7111910042621709594,Tebak apa yang sedang dibuat？#factory #pod #fyp #relax #vape #jellyboxfkit #foryou,2022-06-21 21:03:17,7,https://www.tiktok.com/@rincoe_indonesia/video/7111910042621709594?lang=en,725800,1350,1309,24500000
vapetricks,jonlado,89205021157765120,6859064117005700358,EZ👁👄👁                                                              #foryourpage #parati #duel #vapetricks #vape,2020-08-09 12:11:58,18,https://www.tiktok.com/@jonlado/video/6859064117005700358?lang=en,2000000,43500,7438,24400000
vape,isjumx,7055465045169898501,7104761697025395973,asco vapear e🤮🤢#trending#fyp#fypシ#vape#maskking#maskkingpromax#vapingisbad#vapemancam#vapingistheworse#maskkingpro,2022-06-02 14:44:01,10,https://www.tiktok.com/@isjumx/video/7104761697025395973?lang=en,953600,37400,14000,24000000
vape,vitoriabrazm,156939326734508032,6981066809428430085,tinha gente me olhando KKKKKK #foryou #foryoupage #vape #fy,2021-07-04 06:44:44,7,https://www.tiktok.com/@vitoriabrazm/video/6981066809428430085?lang=en,3500000,80400,63500,23800000
vapetricks,jaxellfrias,90251920409260033,6937262087190170885,Responder a @_nicole.perez aquí lo tienes de nuevo 🔥 Gracias a tod@s por los 299K editado por @cloudworksjoe  #fyp #vaperz_edge #vape #vapetricks,2021-03-08 04:40:03,14,https://www.tiktok.com/@jaxellfrias/video/6937262087190170885?lang=en,2100000,26200,7618,21300000
vape,yngreef.off,6896198111572755462,7109950920783416582,#viral #vape #danger,2022-06-16 14:20:52,37,https://www.tiktok.com/@yngreef.off/video/7109950920783416582?lang=en,656700,26800,17500,20400000
vapetricks,jaxellfrias,90251920409260033,6933542286877871366,"Responder a @me_samuel_sad este es mi mejor tornado, usando el Drag 3 de voopoo #vaperz_edge #vape #vapetricks #vapediy #parati #viral #fyp #parati",2021-02-26 04:05:39,16,https://www.tiktok.com/@jaxellfrias/video/6933542286877871366?lang=en,2200000,50700,9629,20200000
vape,sashoupss,6768413313741308934,7128733323001613570,this is your sign to quit vaping..#vape #foryou #foryoupage,2022-08-06 05:06:13,33,https://www.tiktok.com/@sashoupss/video/7128733323001613570?lang=en,1400000,24300,29500,19800000
vape,santiagopinagg,6974510316189271046,6974534076699020549,#fyp #parati #vape #maskking,2021-06-16 16:14:22,7,https://www.tiktok.com/@santiagopinagg/video/6974534076699020549?lang=en,1300000,29800,22300,19400000
vape,ems_kurama,6728861913508512774,7101360623065304326,#elfbar #elfbars #coke #queencoke #vape @kbalesz @aptrvcsrbrt @becy6667.2.0 @kevinvoq,2022-05-24 10:46:07,8,https://www.tiktok.com/@ems_kurama/video/7101360623065304326?lang=en,1700000,78300,39800,18600000
vapetricks,vile.vxxn,6548819069120812047,6897989696463326470,DONT vape kids. #vape #vapetricks #foryou,2020-11-22 08:43:44,7,https://www.tiktok.com/@vile.vxxn/video/6897989696463326470?lang=en,1200000,24900,29200,17500000
