user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
shainapalle,88614577118081024,7020984150286994714,its the nic for me #puffplus #disposablepods #WorldRemitNamamasko #fypシ #nicotine #tiktokph #selectedph #copylink #trend,2021-10-19 20:24:19,11,https://www.tiktok.com/@shainapalle/video/7020984150286994714?lang=en,82900,949,929,1100000
alanatrotto,6726173387805312005,6848284837523082501,Cheers mum #fyp #puffplus #iykyk #ColorCustomizer,2020-07-11 11:02:48,8,https://www.tiktok.com/@alanatrotto/video/6848284837523082501?lang=en,38700,212,259,365400
pashk0nder,6837090692364321797,6969937826729250053,#одноразки #электронки #hqd #elfbar #puffplus,2021-06-04 06:58:35,8,https://www.tiktok.com/@pashk0nder/video/6969937826729250053?lang=en,33000,522,468,271700
catmancini,6617421799771095045,6857476330003401989,this is what happens when he lets me drive the car while he’s at hockey #fyp #GotMilkChallenge #boyfriend #rating #puffplus,2020-08-05 05:30:36,42,https://www.tiktok.com/@catmancini/video/6857476330003401989?lang=en,24500,37,51,190700
shane_namlik,6616081600210911237,6807858947903474950,finallyyyyy #MySkinandME #fyp #puffplus,2020-03-24 12:29:42,10,https://www.tiktok.com/@shane_namlik/video/6807858947903474950?lang=en,19600,865,155,626600
iva_nidziks,7045089601611187202,7063417379828665601,#qatar #mar #рекоме #zoommyface #pyfツ #ivanidziki #elbfuso #рекомендации #foryou #puffplus #duet #клавиотура #рекомендации❤️❤️ #marvel #elb #дуэт,2022-02-11 03:46:56,14,https://www.tiktok.com/@iva_nidziks/video/7063417379828665601?lang=en,13000,169,360,112600
longestyeaboiever,6812482487903585286,6867709446546574597,lol #puffplus #vapetricks #fyp,2020-09-01 19:20:24,8,https://www.tiktok.com/@longestyeaboiever/video/6867709446546574597?lang=en,5610,65,81,305200
iva_nidziks,7045089601611187202,7062736568590634242,Ответ пользователю @ff_certane #foryo #лолбит #рекомендации❤️❤️ #gta5 #GTA5 #рекомендации #дуэт #zoommyface #football #qatar #рекоме #qatar #puffplus,2022-02-09 07:45:02,22,https://www.tiktok.com/@iva_nidziks/video/7062736568590634242?lang=en,4222,18,234,74200
phenom.bullyz,6898789379164177414,6903366236919319813,,2020-12-06 20:27:28,38,https://www.tiktok.com/@phenom.bullyz/video/6903366236919319813?lang=en,2750,195,132,61600
jane_star69,6855602399001986053,7049369499694271749,#fyp #danger #benoit_chevalier #fyp #puffplus #nicotine #attention #⚠️,2022-01-04 07:13:59,43,https://www.tiktok.com/@jane_star69/video/7049369499694271749?lang=en,2387,64,105,51600
zeazon,6959879877281530882,6966175244331519233,,2021-05-25 03:37:48,51,https://www.tiktok.com/@zeazon/video/6966175244331519233?lang=en,2302,61,56,19900
lailagraceeee,6821393139161498630,6859140217052400901,#puffplus,2020-08-09 17:07:18,7,https://www.tiktok.com/@lailagraceeee/video/6859140217052400901?lang=en,2149,12,10,34700
yomami1111,24957153,6885275543483337986,HOLY GRAIL!! #asmr #satisfying #puffplus,2020-10-19 03:25:39,15,https://www.tiktok.com/@yomami1111/video/6885275543483337986?lang=en,1952,63,96,51100
siidorova,312038175881859072,6877446821870947586,🥳 #говорящиевещи #рекомендации #хочуврек #хочувтоп #учкуду #puffplus #мама #болею,2020-09-28 01:06:14,6,https://www.tiktok.com/@siidorova/video/6877446821870947586?lang=en,1697,14,19,35500
