user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
steveioe,6771086544600220678,6915102403939323142,Thoughts from the ER #vape #vaping #smoke #health #healthy #tips #data #cigarette #asian #emergency #nicotine #pack #cough #headache #relief #teeth,2021-01-07 11:29:16,57,https://www.tiktok.com/@steveioe/video/6915102403939323142?lang=en,7500000,256700,122100,36200000
nixonvicky,6974630936500159494,6989079364184902917,Follow me not to get lost #vape #vapetricks #fyp #FidelVapes #foryou,2021-07-25 20:57:33,35,https://www.tiktok.com/@nixonvicky/video/6989079364184902917?lang=en,4500000,48100,27100,35400000
thatsfra_vape,6831967183972844549,7028664560760425734,#asmr #vape #vaping #svapo #viral #relax #relaxing #vaper #diy,2021-11-09 12:08:15,117,https://www.tiktok.com/@thatsfra_vape/video/7028664560760425734?lang=en,3600000,21600,15000,45800000
vitoriabrazm,156939326734508032,6981066809428430085,tinha gente me olhando KKKKKK #foryou #foryoupage #vape #fy,2021-07-04 06:44:44,7,https://www.tiktok.com/@vitoriabrazm/video/6981066809428430085?lang=en,3500000,80400,63500,23800000
thatsfra_vape,6831967183972844549,7038252805680876805,Rispondi a @alone_boy844 10/10 ngl 🔥💨 #vaper #relaxing #relax #viral #svapo #vaping #vape #asmr #diy,2021-12-05 08:15:32,47,https://www.tiktok.com/@thatsfra_vape/video/7038252805680876805?lang=en,2600000,12100,12700,35000000
vcallmedaddy,6796940155544601606,7007604184660839682,vape mate #fypシ#foryoupage#foryourpage#vape#bad#fart#gun#peakaboo#vdaddy#xyzbca,2021-09-13 19:03:15,7,https://www.tiktok.com/@vcallmedaddy/video/7007604184660839682?lang=en,2400000,81500,59600,12300000
skorb_na,6635989416929132549,7031948305085173038,One thing I truly won't understand 😪 #cars #711 #7eleven #miata #vape #arizonaicedtea @drinkarizona,2021-11-18 08:30:52,11,https://www.tiktok.com/@skorb_na/video/7031948305085173038?lang=en,2300000,46300,28800,14100000
homiegtok,6939023811787293702,6939434190928645381,#viral #homie #cooldadtiktok #YesDayChallenge #fypシ #famous #21plusonly #vape #foryoupage #nicotine #fried,2021-03-14 01:08:57,26,https://www.tiktok.com/@homiegtok/video/6939434190928645381?lang=en,2200000,32300,19600,6900000
jaxellfrias,90251920409260033,6933542286877871366,"Responder a @me_samuel_sad este es mi mejor tornado, usando el Drag 3 de voopoo #vaperz_edge #vape #vapetricks #vapediy #parati #viral #fyp #parati",2021-02-26 04:05:39,16,https://www.tiktok.com/@jaxellfrias/video/6933542286877871366?lang=en,2200000,50700,9629,20200000
rxintherapper,6765330933631386630,7072920811845307690,Reply to @obeyblusher123  the nerve of some of them man 🙃 #fyp #foryou #comedy #funny #vape,2022-03-08 18:25:06,58,https://www.tiktok.com/@rxintherapper/video/7072920811845307690?lang=en,2100000,1282,3931,12700000
