user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
user627291017653901,7126261299835536389,7126958159511506182,#vapeasmr #fyp,2022-08-01 10:17:39,15,https://www.tiktok.com/@user627291017653901/video/7126958159511506182?lang=en,36800,477,1244,197000
elolovape,6981045170494800901,6984106673027747074,,2021-07-12 11:20:57,57,https://www.tiktok.com/@elolovape/video/6984106673027747074?lang=en,9360,14,55,91900
cryforhealth,6819640941712786433,7129457769102576922,welkambek welkambek don porget rewik yor atomijer ygy @vaporessoindonesia #gen200 #vaporessogen200 #nitrous #vapeasmr #vape #asmr,2022-08-08 03:57:26,164,https://www.tiktok.com/@cryforhealth/video/7129457769102576922?lang=en,4993,22,72,71800
cryforhealth,6819640941712786433,7113765698588970266,Unboxing DeadRabbit RTA V2 By @Hellvape_official #asmr #unboxingasmr #hellvape #vapeasmr #asmrsounds,2022-06-26 21:04:11,81,https://www.tiktok.com/@cryforhealth/video/7113765698588970266?lang=en,3212,24,57,71900
cryforhealth,6819640941712786433,7115670595076967707,fresh wick drv3 #asmr #asmrsounds #vapeasmr #fyp #fypシ,2022-07-02 00:16:08,54,https://www.tiktok.com/@cryforhealth/video/7115670595076967707?lang=en,2938,17,35,66400
cryforhealth,6819640941712786433,7137624749735152923,"welkom bek welkom bek kita asemer lagi, tanggal belom memuda ygy jd belom ada mainan baru😂 #vapeasmr #satisfying #wicking ",2022-08-30 04:09:28,136,https://www.tiktok.com/@cryforhealth/video/7137624749735152923?lang=en,4284,13,93,42500
cryforhealth,6819640941712786433,7112761133290835226,nyobain liquid nikmat by @Itjal febryan #asmr #vapeasmr #supersonixcoil,2022-06-24 04:05:57,78,https://www.tiktok.com/@cryforhealth/video/7112761133290835226?lang=en,1953,7,45,42700
cryforhealth,6819640941712786433,7114856347849592090,"coiling king coil 👑 by znake, mantep juga nih coil gak kalah sama supersonson😂 #asmrsounds #vapeasmr #holyfibergang #fyp #foryoupage #fypシ #asmr",2022-06-29 19:36:29,38,https://www.tiktok.com/@cryforhealth/video/7114856347849592090?lang=en,1227,4,36,26300
elolovape,6981045170494800901,6986645426774494465,,2021-07-19 07:32:36,51,https://www.tiktok.com/@elolovape/video/6986645426774494465?lang=en,1028,6,32,7927
cryforhealth,6819640941712786433,7116151901271411995,Reply to @idamanmu_991 agak males si wicking atomix 😂 #asmrvape #vapeasmr #asmrsounds #fypシ,2022-07-03 07:23:51,43,https://www.tiktok.com/@cryforhealth/video/7116151901271411995?lang=en,915,5,31,24300
cryforhealth,6819640941712786433,7115203659461299483,morning wick wick rta drv2 #fyp #vapelife #vape #vapeasmr #asmrsounds #holyfibergang #lostvape #deadrabbit #wicking,2022-06-30 18:04:11,72,https://www.tiktok.com/@cryforhealth/video/7115203659461299483?lang=en,1727,2,37,25000
cryforwealth,6969147269447025665,7135493225342569754,Close up 👀 #asmr #asmrsounds #asmrvideo #vape #vapeasmr #fyp ,2022-08-24 10:18:12,41,https://www.tiktok.com/@cryforwealth/video/7135493225342569754?lang=en,734,1,18,11400
cryforhealth,6819640941712786433,7114519579614924059,wick wick DRrtaV2 @Hellvape_official @Lostvape.tech #asmr #asmrsounds #vapeasmr #fypシ,2022-06-28 21:49:37,29,https://www.tiktok.com/@cryforhealth/video/7114519579614924059?lang=en,1227,8,23,26000
cryforhealth,6819640941712786433,7113204049175973147,malem minggu cocok buat wick wick #asmr #vapeasmr #asmrsounds #thelemasolo #bismillahtahundepanhexom,2022-06-25 08:44:43,106,https://www.tiktok.com/@cryforhealth/video/7113204049175973147?lang=en,547,1,20,15900
cryforwealth,6969147269447025665,7135770234241240346,wicking satisfying. follow my main account @Irfan for more satisfying videos #asmr #asmrsounds #satisfying #vape #vapeasmr #wickingvape ,2022-08-25 04:13:01,36,https://www.tiktok.com/@cryforwealth/video/7135770234241240346?lang=en,445,3,7,6320
vapealaddin,6966496525431505925,7116129890188954885,Building on my old recoil rda. Time for some clouds 🤌🏼 #vape #vapelife #coilbuilder #vapeasmr #asmr #asmrsounds,2022-07-03 05:58:27,41,https://www.tiktok.com/@vapealaddin/video/7116129890188954885?lang=en,256,2,0,8318
1337justfox,6631236064370688005,6936910399275126018,,2021-03-07 05:55:15,151,https://www.tiktok.com/@1337justfox/video/6936910399275126018?lang=en,239,0,7,5730
sinningsaurus,7063275764745028614,7067850534639750401,Just a little vape #asmr for your enjoyment. #vapenationsa #vapeasmr #vapebatteries,2022-02-23 02:29:50,43,https://www.tiktok.com/@sinningsaurus/video/7067850534639750401?lang=en,182,0,8,2633
georgedoesasmr,6979622951465731078,7030140079834189062,Wow guys we are almost at 100 followers! 🥳 I have been having 2 weeks of exams but I’m BACK to relax you ❤️ #maleasmr #layeredasmr #vapeasmr #asmr,2021-11-13 11:34:00,58,https://www.tiktok.com/@georgedoesasmr/video/7030140079834189062?lang=en,131,1,4,4132
