user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
nixonvicky,6974630936500159494,6989079364184902917,Follow me not to get lost #vape #vapetricks #fyp #FidelVapes #foryou,2021-07-25 20:57:33,35,https://www.tiktok.com/@nixonvicky/video/6989079364184902917?lang=en,4500000,48100,27100,35400000
jaxellfrias,90251920409260033,6933542286877871366,"Responder a @me_samuel_sad este es mi mejor tornado, usando el Drag 3 de voopoo #vaperz_edge #vape #vapetricks #vapediy #parati #viral #fyp #parati",2021-02-26 04:05:39,16,https://www.tiktok.com/@jaxellfrias/video/6933542286877871366?lang=en,2200000,50700,9629,20200000
jaxellfrias,90251920409260033,6937262087190170885,Responder a @_nicole.perez aquí lo tienes de nuevo 🔥 Gracias a tod@s por los 299K editado por @cloudworksjoe  #fyp #vaperz_edge #vape #vapetricks,2021-03-08 04:40:03,14,https://www.tiktok.com/@jaxellfrias/video/6937262087190170885?lang=en,2100000,26200,7618,21300000
mvapeofficial,6588777718174072837,6891942805208435969,#RedBullDanceYourStyle #dampfen #vape #vapetricks #vaper #fyp #foryou #foryoupage #foryourpage #vapetrick #4u #4you #viral #fy #f #wow,2020-11-06 01:38:02,19,https://www.tiktok.com/@mvapeofficial/video/6891942805208435969?lang=en,2000000,33800,23000,11500000
jonlado,89205021157765120,6859064117005700358,EZ👁👄👁                                                              #foryourpage #parati #duel #vapetricks #vape,2020-08-09 12:11:58,18,https://www.tiktok.com/@jonlado/video/6859064117005700358?lang=en,2000000,43500,7438,24400000
longvapez,6629105261767524357,6835921352143211781,Alla fine sono fuggito😅 COMMENTA CON “🌶 ” se ti è PIACIUTO il VIDEO ‼️ #vapetricks #vape #foryou #perte,2020-06-08 03:26:12,19,https://www.tiktok.com/@longvapez/video/6835921352143211781?lang=en,1300000,44800,11000,9700000
guefcomedy,6615189289163636742,6938145937873325317,i did it better😱😮🤯 #vapetricks #fyp #foryou #dayinmylife #foryoupage #viral #wow,2021-03-10 13:49:48,13,https://www.tiktok.com/@guefcomedy/video/6938145937873325317?lang=en,849100,13700,9341,8000000
jonlado,89205021157765120,6873966037772143874,Some spams 🥶 #fyp #vapetricks #xyzbca #viral #parati #foryourpage,2020-09-18 15:59:02,11,https://www.tiktok.com/@jonlado/video/6873966037772143874?lang=en,791700,7906,1473,6700000
gustavodovil,6789056687975629829,6899662047911382273,Responder a @darlingpottercontrerad  Hecho😄👌🏼 #parati #vapediy #fyp #viral #trucos #mexico #vape #vapor #vapetricks #vapetime #vapetrick,2020-11-26 20:52:39,14,https://www.tiktok.com/@gustavodovil/video/6899662047911382273?lang=en,750200,7207,4030,7000000
tonezvision,6657558354845990918,6755283169987120389,Everything hot 🥵 #vapetricks #foryou #foryoupage #fyp #trending #virał #color,2019-11-03 19:08:54,12,https://www.tiktok.com/@tonezvision/video/6755283169987120389?lang=en,670500,13500,2603,5600000
jonlado,89205021157765120,6881570048415223041,Donutman 🤔😂 #Admin #haha  #foryou #foryourpage #vapetricks #xyzbca #parati,2020-10-09 03:46:25,14,https://www.tiktok.com/@jonlado/video/6881570048415223041?lang=en,593100,8804,3106,4200000
m.caann,6736214599831929858,6886073568245910785,"ayo fyp, puyenk bikinnya🥴💃🏻 #fyp #vapetricks",2020-10-21 07:02:22,15,https://www.tiktok.com/@m.caann/video/6886073568245910785?lang=en,566900,20200,13300,7000000
